channel,0.5-4.0Hz_dB,4.0-8.0Hz_dB,8.0-12.0Hz_dB,12.0-30.0Hz_dB,30.0-70.0Hz_dB,70.0-150.0Hz_dB
nH_L1,-99.17834636720711,-104.92715773865874,-107.29186455318472,-112.90171262953086,-126.88969055919169,-135.39317567974217
nH_L2,-99.47634430486958,-104.99120210900958,-107.45172564435661,-112.80660660360805,-126.69171616700483,-135.40516040901207
nH_L3,-97.13977034386585,-103.7194001418507,-106.42790984448766,-111.92206846046766,-125.0599697720518,-134.4766953594419
nH_L4,-99.02301883478337,-103.78926144020429,-105.99634010623144,-111.88183730887299,-125.3018299692636,-134.40436516442801
nH_L5,-98.47160351081006,-103.05214444537556,-105.35453932767733,-110.45497974078182,-121.81040776333472,-131.14222553475582
nH_L6,-94.45966379612791,-100.2068796487958,-102.61358768797935,-107.74691173746463,-118.69126061721745,-129.05187037805985
nH_L7,-93.04828757483291,-99.4086041428349,-101.18664140752523,-107.07778419476617,-117.0081444087698,-128.24722972729722
nH_L8,-93.12913238078576,-99.18082805386749,-101.31592452707062,-106.87856679867782,-117.73457106863668,-129.29831109060981
pfc_R1,-92.0920587847418,-100.87639553161782,-104.8195018538585,-113.81180038556687,-126.2797423194806,-134.04699411248552
pfc_R2,-91.76912710930138,-100.22039443858279,-103.806558439826,-114.10452687133635,-126.65205488309252,-134.20337141696115
pfc_R3,-90.85442035197035,-98.83809835165971,-102.49870732742097,-113.1565199980198,-125.7400385926323,-133.99240382536323
pfc_R4,-90.0411942793594,-97.51131866361399,-102.43645742365919,-113.20068415034068,-125.04092384531683,-133.66841426656114
pfc_R5,-89.25826350167408,-95.71174996236404,-100.40483727878693,-112.49137722937886,-125.08567679844968,-133.95118913755172
pfc_R6,-88.51474768855046,-94.94455371999098,-99.840326575284,-111.14283449123371,-123.5777644710118,-133.58631724356528
pfc_R7,-87.1992870753518,-94.00622993475343,-99.75755465426583,-109.52499556015326,-122.67536749542629,-133.01262898370823
pfc_R8,-87.14888705298232,-94.80639158548138,-101.21754554163225,-109.8518121570886,-123.9589358595526,-133.47660060706872
pfc_R9,-95.19311664826111,-102.36231037637212,-106.64191675500192,-113.9279234304791,-126.66156774474678,-134.24682040682487
pfc_R10,-95.55759498540579,-103.03837515492461,-108.64114874578252,-116.1228270582599,-126.22899177073023,-129.2850825101259
pfc_R11,-98.3300427324766,-107.42492484743886,-113.739540883111,-118.95871184920783,-124.69094715440733,-127.71633758266978
pfc_R12,-100.02002189833533,-109.35194380137797,-115.01705001314562,-119.1005848081276,-124.82686097043984,-127.79732793276177
A_R1,-92.09548476950057,-101.45691383156247,-106.657130353866,-113.96592021971752,-124.88086606291142,-133.62124630266925
A_R2,-92.23142150438777,-101.78473775522848,-106.52949886677106,-113.87936198675938,-125.30424056571583,-133.6430440091576
A_R3,-91.88887318460108,-101.50914971563766,-105.45021040522386,-113.87171157392277,-125.54892478287653,-133.51920197111457
