,aud|1-4Hz,aud|4-8Hz,aud|8-13Hz,aud|13-20Hz,aud|20-30Hz,aud|30-50Hz,aud|50-70Hz,aud|70-100Hz,aud|100-130Hz,aud|130-170Hz,aud|170-220Hz,aud|220-270Hz,aud|270-320Hz,aud|320-360Hz,aud|360-400Hz,pic|1-4Hz,pic|4-8Hz,pic|8-13Hz,pic|13-20Hz,pic|20-30Hz,pic|30-50Hz,pic|50-70Hz,pic|70-100Hz,pic|100-130Hz,pic|130-170Hz,pic|170-220Hz,pic|220-270Hz,pic|270-320Hz,pic|320-360Hz,pic|360-400Hz,rea|1-4Hz,rea|4-8Hz,rea|8-13Hz,rea|13-20Hz,rea|20-30Hz,rea|30-50Hz,rea|50-70Hz,rea|70-100Hz,rea|100-130Hz,rea|130-170Hz,rea|170-220Hz,rea|220-270Hz,rea|270-320Hz,rea|320-360Hz,rea|360-400Hz
17Networks_1,0.0020717936773225103,0.0009225574048975971,-0.0020052263674572315,-0.003037724736974401,0.0005566918587211153,0.000532425520905344,0.0020984891723389546,0.0019855029792972836,0.0014909605121588368,0.0002036918806856271,0.0005358943588645144,0.0012685116063256981,0.0009211641491436636,0.0001671126636185928,5.279573547422404e-05,0.0014171344677795347,0.0005637754168560783,-0.000324668919066118,-0.0002263124284040012,-0.0015981978203462425,-3.0293769094782522e-05,0.00025850999505470283,0.00145838921466056,0.003565507135675574,0.003512087204651206,-0.00046494367013028947,0.0003052179806912736,-0.0012501033578011128,0.0001259385949945007,0.00048475171632129667,0.001122034707126178,0.001249865144979121,0.001689375620194622,1.2590258273932087e-05,0.000785281504342166,0.001022106822492079,0.0014765342974679477,0.0013520982231124202,-3.7120431406034347e-05,-0.00038565899119824787,-0.0007250904594864084,0.00015187055284234733,0.0004746147829448424,-0.0006955351860492363,-8.626446198200975e-05
17Networks_10,0.0003866959774804601,0.001477487004769669,0.0019355413683853062,-0.003233504641904055,-0.000802886946562304,0.0009516645937592709,0.0011337062624541322,-0.005472763310920329,0.0013488972200816286,0.0014494043910588121,0.0012604776899262423,0.0006982755581108054,0.0003394635941662896,-0.0009288978978425533,0.00012016740367478386,0.00023309285040241137,-0.0007851054277835792,0.0011574592187277885,0.0010044178018800453,0.00015909594876664624,-0.00013722732316836934,-0.00021849097434673123,-0.0006807241879372845,-0.0004490659147859009,0.0008245705472017554,0.000755119834346287,0.000767981519919396,0.0004239457769258449,0.0006740795057183924,0.00030643536371107626,0.0014723454421572608,0.0024748042817848274,-0.004299290476927782,-0.0013111568067287573,-0.0007456746983688957,-0.0013335526514920892,-0.0002850237034181702,0.0008661281919683583,0.00025857159964759013,0.0018458503836043664,0.0012015947878184557,0.001029245239827096,-0.0005942943230729094,-0.0006440559415365756,-0.0006220040991193331
17Networks_11,0.0013592399755153306,0.0010861464204241684,0.0008865338368061685,-0.0003684250791987804,-0.001107828857946085,0.0005219199408586938,0.0010788676675880981,0.002174091448925357,0.001200742747909766,0.0005546573418746191,0.0004596339489188963,0.002437987535730255,0.0020909379163822185,-0.0005755326275161475,-0.00017908945010283356,0.0011654439632600097,0.0012418378590386134,0.0009928219151307972,-0.00043724333807189467,-0.001343006765556586,0.00017862938225275788,0.0013138835239669704,0.0017465011999840607,0.0022618328622622677,0.0012839252574407289,-0.0005418244467907086,0.0005408138750832845,-8.965354273623846e-05,-0.00033419528725659424,-0.0007308234081369755,0.0009834643316420089,0.0010560431660111883,0.0005946697351821845,-0.0014866964861684514,-0.0016827663937213592,-0.0005258355485444686,0.001138135836872014,0.0014650417452050592,0.0007572214264127811,0.0002544945492532166,-0.0002184560623359686,-0.0002562940549022001,-0.0005552112698656679,-0.0006954255184054905,-3.981595213562665e-05
17Networks_12,-0.0016218296903428612,-0.0019780635985106685,0.0005434364100515358,0.00037363113168214373,-0.001826809747916364,-0.0037197819102453775,0.00056869007597572,-0.0007075601971172474,0.00021190481543463915,0.0003239497964939042,-0.0010635372134055472,-0.0028963224452285712,-0.0029955801915594322,0.0004370855868259337,-1.4983146495198112e-05,-0.0027354281940690267,-0.0004475151899105386,0.001659170687659586,-0.0022794282780276886,-0.0024003198176393856,-0.001993789391243933,0.0019253719215898406,-0.0007154988127696053,-0.0011984406838086187,0.002370297149791813,-0.001228531370461094,0.0016408729922983427,-0.0019437379918899392,-0.0001064736689162668,-5.3007780319500966e-05,-0.0029012713137093146,-0.0038203961566968363,-0.003079568219905923,-0.0006976598239072245,0.0036987680800603193,0.0019599060787976637,0.0032099286454134205,-0.00047075231038753995,-0.0009489765296898297,0.0007181050542617335,0.0009167251286030798,0.001847088336722118,-0.0018490517273008064,0.0011601719920265273,0.002357575477628916
17Networks_13,-0.0011430008760609151,0.003171693563067116,-0.0008374109424808307,-0.0022137439706567414,0.0006162728668766128,0.0022844608631225147,-0.0021184196812142867,-0.0013205904315437833,-0.0031379502423586475,-0.0010433915961927487,-0.002508783765600673,-0.004873686928473817,-0.0015321854736744312,0.003150964523574154,-0.002413928650046313,-0.002025562493010607,-0.00024413251941475273,-0.0019818518241323285,0.002639259877307602,0.0032732744923865183,-0.001140055038770935,-0.003722753461996889,0.00030810128804404025,0.00036694486585863394,-0.0027130743230946988,-0.002533033417855643,-0.00023176508015603569,-0.00046756604123188394,0.0022601793919595358,-0.0022729636019005305,0.000896449043659532,0.0004004282656839747,-0.0003070249539238203,-0.00043351748635507575,0.006798056812062693,0.004631955910220019,-0.002306447894336443,-0.0020047396717076185,0.00015671167868001046,-0.0003119133205180916,0.00027167174024913133,-0.00037580250540008946,0.0004678249766761428,0.0020103607732360686,-0.0020616703819856725
17Networks_14,0.003192385450677979,0.0024979315325157746,-0.0006124358117135816,-0.0020712237258614027,0.00035007959367749794,0.0010095433514423523,0.002145652367990223,0.0019659369096595588,0.0024914444939625204,-0.0004172683204604932,0.00011100623628714899,0.001966423216288724,0.001345119290542715,0.0007095298234362677,-0.0007289592323228037,0.0016212561110744517,0.0003474879684535554,-0.001677560652848975,1.2796311182300587e-05,-0.0017366580399248677,-0.0006963191151150443,-0.0015240524643317251,-0.00029325329512898797,-0.00041586589792066975,-0.000354018077168762,0.0005270575347487076,-0.00018533103086773491,0.0002863088264262619,0.0007698418917448806,0.0006077244906338896,0.0005191041089102315,0.0016915962682410826,0.0002575289256452009,8.796868832149603e-05,-0.0030223429443658892,-0.0005996720835395388,1.634271336150665e-05,0.0010153788946832144,0.0012998520138146343,0.0007468067782251331,0.00038010494766662045,-0.0014292574093356437,0.002572067177168883,-0.0012850763345607086,-0.00016077429833439655
17Networks_15,-0.0019922300683696405,-0.0009431144956790454,0.00022208023149825932,0.002573818934424049,0.0011492815780196866,0.00033015588127246163,0.0005384732538527015,0.001419043051298747,0.0008265065856535918,-0.00044871009718644634,-0.00028137799254252904,-0.00013729480017753834,0.0011966254101079257,0.0002825609877006369,-0.0006757458506210794,-0.0024159564184109785,0.003824622725051577,4.034921601071777e-05,-0.003291142387321639,-0.00086421971648266,-0.00014319642605752265,-0.0001162602474905843,-0.0005998474030645812,-0.000707502907929097,0.0018482508518373167,0.0004972271825989035,-0.0004024442674053367,-0.0013076463517931146,0.00029179717027681223,8.88702022556658e-05,0.001385020018470793,0.004020625663844273,-0.0001339741206045497,0.0020845958213341143,0.0016934523767634976,-0.0017939444500275148,-0.0003757097327625235,0.0003666989493722202,-0.0007294488674283243,-5.373505075815313e-05,0.0017372021329612668,0.0030675952454399793,0.002499587141617266,0.0018495190908002508,0.0003487679431950617
17Networks_16,0.0007525259507528991,-0.0010596823877210009,5.425701499393513e-05,0.0009106724294455336,0.0018975181716070599,-0.0009324724238384067,0.0012732808546968143,0.0006968426617692869,-4.499801324094291e-05,-0.00011453103826843244,-0.00060268359082717,-0.002659954161047607,-0.0018923734012340216,-0.00017036788889956403,0.00124087402070506,0.0001125763829076576,0.00015282336709449294,0.0005013839407031105,0.005753091109205205,0.00031086414168150924,3.250263634600223e-05,0.0003040437372745441,2.0322415675457135e-05,-0.0010868265532602954,-0.0005777980862970601,0.0010357134201750254,-3.9548735328894523e-05,-0.00030795588764696516,-1.4338111409413027e-06,0.0006818448869290686,0.002500730828802146,-0.00012238983222393696,-0.0004248513889677391,-0.0018771134166970672,-3.154121052202086e-05,-0.0002165553104746785,-0.0018980661178792254,-0.0037797990756128596,-0.0020081200888243315,-0.001917222813192696,0.00039127603321759943,0.0023773150117407265,0.0025054058074980997,0.001771203208250099,0.001862031118085995
17Networks_17,-0.00013324545234111705,-0.0019021282900651038,0.00033018748066947776,0.001386819690273175,0.0016470883299897785,-0.001606019354544964,-0.006043544888339438,-0.004369997521692832,-0.002339645705771405,-0.0048978957769360626,-0.004445731247038423,-0.0021646757559214786,-0.003283072358451567,-0.0016764496030950825,-0.0013524599751400237,-0.0029324322532939804,0.0006729044309277661,0.0046943620193330695,0.005189097911813414,0.002037044251883988,0.0036708948944039104,0.0003638026703017925,-0.0016684517486339286,-0.002990773152950455,-0.004248017816445788,-0.0008333109414704761,-0.004648405324280486,-0.0012620975582954546,-0.0003357312933582046,-0.00045690586586884,0.0036916170158064684,0.0003644410841778215,0.0006212521171337966,-0.0007819290584673644,-9.341992913964351e-05,-0.003094575279545901,-0.0036324302091466027,-0.003807943652049381,-0.002528491811499213,-0.0033556028012578978,-0.004034449986084389,-0.0026380165806006097,0.0006460711232788215,-0.0009661058231540023,-0.00023239523444036533
17Networks_2,0.0035125502596768943,0.0004456873246510178,-0.0013094629369242495,-0.0003797936751413734,0.0008952505160060177,0.0014072813693888485,0.0012069559094201668,0.0014781820342600871,0.0011210315680419752,0.0008609498027203896,0.000580848762080494,0.00024726340728878344,0.0011996917292789748,-0.00043076667703098473,-8.064940539812805e-05,0.0005347699051541663,0.00036800300773232476,-0.0005005474583441832,-0.002538026060908245,-1.3455748483698626e-05,0.0009643709702842566,0.0009988185034943131,0.0006822047205325224,0.0005365824423622882,0.0009356464886681796,0.0007869241886680502,0.0006453623692036528,0.0002870111821041976,0.0003163790177856905,0.0002920649373350238,-0.0002254969346524784,-0.0001622986952431945,0.00022050859840498484,0.0009046580247611436,0.0003581964291069212,4.303565171230863e-05,-6.755992675494352e-05,0.0010904026247906594,0.0009602435192800172,-0.0008930755858644477,0.0004255299979242249,5.1466719625714634e-05,-0.0006731590327134755,-0.00075791908222024,-0.000628482289270114
