,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
7Networks_1,19,5,0,3,2,5,6
7Networks_2,7,83,1,9,2,6,37
7Networks_3,2,5,9,9,7,8,12
7Networks_4,2,8,7,17,7,12,16
7Networks_5,10,18,8,17,62,29,37
7Networks_6,4,7,3,26,35,15,24
7Networks_7,9,87,21,36,66,45,93
