group,feature,condition,level,n,median,ci_lo,ci_hi
kmeans_concat_hg,peak_lat,audio,2.0,51,0.5400000000000027,0.5200000000000027,0.5600000000000027
kmeans_concat_hg,peak_lat,audio,3.0,208,0.7000000000000028,0.6800000000000028,0.7800000000000029
kmeans_concat_hg,peak_lat,audio,5.0,124,0.6600000000000028,0.4700000000000026,0.860000000000003
kmeans_concat_hg,peak_lat,audio,0.0,79,3.4000000000000057,2.900000000000005,3.5800000000000054
kmeans_concat_hg,peak_lat,audio,1.0,664,1.250000000000003,1.0100000000000031,1.4800000000000035
kmeans_concat_hg,peak_lat,audio,4.0,83,2.240000000000004,1.940000000000004,2.2800000000000047
kmeans_concat_hg,peak_lat,picture,2.0,51,0.5400000000000027,0.5200000000000027,0.5600000000000027
kmeans_concat_hg,peak_lat,picture,3.0,208,0.7800000000000029,0.7500000000000029,0.8000000000000029
kmeans_concat_hg,peak_lat,picture,5.0,117,1.0600000000000032,0.5200000000000027,2.940000000000005
kmeans_concat_hg,peak_lat,picture,0.0,74,0.840000000000003,0.7700000000000029,0.910000000000003
kmeans_concat_hg,peak_lat,picture,1.0,639,1.240000000000003,1.1200000000000032,1.4600000000000035
kmeans_concat_hg,peak_lat,picture,4.0,81,1.2200000000000033,1.1000000000000032,1.3200000000000034
kmeans_concat_hg,peak_lat,reading,2.0,51,0.6000000000000028,0.5200000000000027,0.6400000000000028
kmeans_concat_hg,peak_lat,reading,3.0,208,0.7000000000000028,0.6800000000000028,0.7800000000000029
kmeans_concat_hg,peak_lat,reading,5.0,124,1.620000000000004,0.940000000000003,2.980000000000005
kmeans_concat_hg,peak_lat,reading,0.0,80,1.0700000000000032,0.9500000000000031,1.2600000000000033
kmeans_concat_hg,peak_lat,reading,1.0,669,1.560000000000004,1.4000000000000037,1.8800000000000043
kmeans_concat_hg,peak_lat,reading,4.0,115,2.440000000000005,2.3800000000000043,2.600000000000005
kmeans_concat_hg,onset_lat,audio,2.0,45,0.2400000000000024,0.2200000000000024,0.2600000000000024
kmeans_concat_hg,onset_lat,audio,5.0,77,0.1600000000000023,0.1200000000000023,0.3200000000000025
kmeans_concat_hg,onset_lat,audio,3.0,198,0.4000000000000026,0.3800000000000025,0.4200000000000026
kmeans_concat_hg,onset_lat,audio,0.0,73,0.6200000000000028,0.5600000000000027,0.8000000000000029
kmeans_concat_hg,onset_lat,audio,1.0,177,0.5600000000000027,0.5400000000000027,0.6800000000000028
kmeans_concat_hg,onset_lat,audio,4.0,10,1.250000000000003,0.5200000000000027,2.180000000000004
kmeans_concat_hg,onset_lat,picture,2.0,51,0.2200000000000024,0.2000000000000024,0.2400000000000024
kmeans_concat_hg,onset_lat,picture,5.0,103,0.2400000000000024,0.1600000000000023,0.3600000000000025
kmeans_concat_hg,onset_lat,picture,3.0,197,0.4200000000000026,0.3800000000000025,0.5000000000000027
