group,feature,condition,level,n,median,ci_lo,ci_hi
kmeans_concat_hg,onset_lat,picture,0.0,64,0.5000000000000027,0.4197500000000026,0.6000000000000028
kmeans_concat_hg,onset_lat,picture,1.0,200,0.5300000000000027,0.4300000000000026,0.6300000000000028
kmeans_concat_hg,onset_lat,picture,4.0,28,0.840000000000003,0.7800000000000029,1.000000000000003
kmeans_concat_hg,onset_lat,reading,2.0,51,0.2600000000000024,0.2200000000000024,0.3000000000000025
kmeans_concat_hg,onset_lat,reading,5.0,98,0.3400000000000025,0.24000000000000238,0.46000000000000263
kmeans_concat_hg,onset_lat,reading,3.0,170,0.5200000000000027,0.4797500000000026,0.5600000000000027
kmeans_concat_hg,onset_lat,reading,0.0,56,0.6400000000000028,0.5500000000000027,0.7400000000000029
kmeans_concat_hg,onset_lat,reading,1.0,264,0.7600000000000029,0.6800000000000028,0.880000000000003
kmeans_concat_hg,onset_lat,reading,4.0,16,2.140000000000004,1.4800000000000035,2.6200000000000045
hier_concat_hg,peak_lat,audio,3.0,340,0.7000000000000028,0.6600000000000028,0.7400000000000029
hier_concat_hg,peak_lat,audio,2.0,49,3.6600000000000055,3.5000000000000053,3.840000000000005
hier_concat_hg,peak_lat,audio,1.0,656,0.920000000000003,0.7800000000000029,1.0900000000000032
hier_concat_hg,peak_lat,audio,0.0,164,2.0100000000000042,1.900000000000004,2.2000000000000046
hier_concat_hg,peak_lat,picture,3.0,340,0.7200000000000029,0.6800000000000028,0.7600000000000029
hier_concat_hg,peak_lat,picture,2.0,42,0.910000000000003,0.860000000000003,0.9600000000000032
hier_concat_hg,peak_lat,picture,1.0,629,1.3200000000000034,1.1000000000000032,1.6800000000000033
hier_concat_hg,peak_lat,picture,0.0,159,1.2200000000000033,1.2000000000000033,1.3400000000000034
hier_concat_hg,peak_lat,reading,3.0,340,0.7000000000000028,0.6800000000000028,0.7400000000000029
hier_concat_hg,peak_lat,reading,2.0,50,1.1300000000000032,0.920000000000003,1.3700000000000034
hier_concat_hg,peak_lat,reading,1.0,658,1.5800000000000036,1.4200000000000037,1.9300000000000042
hier_concat_hg,peak_lat,reading,0.0,199,2.5800000000000045,2.400000000000004,2.640000000000004
hier_concat_hg,onset_lat,audio,3.0,281,0.4000000000000026,0.3800000000000025,0.4200000000000026
hier_concat_hg,onset_lat,audio,1.0,224,0.5100000000000027,0.4400000000000026,0.5400000000000027
hier_concat_hg,onset_lat,audio,2.0,47,0.6000000000000028,0.5400000000000027,0.7400000000000029
hier_concat_hg,onset_lat,audio,0.0,28,1.2600000000000031,0.5200000000000027,2.1200000000000045
hier_concat_hg,onset_lat,picture,3.0,314,0.3400000000000025,0.3000000000000025,0.3600000000000025
hier_concat_hg,onset_lat,picture,1.0,231,0.4600000000000026,0.4000000000000026,0.5600000000000027
hier_concat_hg,onset_lat,picture,2.0,38,0.5200000000000027,0.4400000000000026,0.6500000000000028
hier_concat_hg,onset_lat,picture,0.0,60,0.920000000000003,0.7800000000000029,0.9600000000000032
hier_concat_hg,onset_lat,reading,3.0,265,0.4800000000000026,0.4600000000000026,0.5200000000000027
hier_concat_hg,onset_lat,reading,1.0,303,0.6200000000000028,0.5800000000000027,0.7000000000000028
hier_concat_hg,onset_lat,reading,2.0,39,0.6000000000000028,0.5200000000000027,0.9800000000000032
hier_concat_hg,onset_lat,reading,0.0,48,2.560000000000004,2.160000000000004,2.6200000000000045
cnmf_lead,peak_lat,audio,6.0,150,0.5600000000000027,0.5500000000000027,0.5800000000000027
cnmf_lead,peak_lat,audio,5.0,290,0.8100000000000029,0.7400000000000029,0.890000000000003
cnmf_lead,peak_lat,audio,2.0,186,0.6000000000000028,0.5900000000000027,0.7200000000000029
cnmf_lead,peak_lat,audio,1.0,168,3.2800000000000047,3.0000000000000053,3.4800000000000058
cnmf_lead,peak_lat,audio,0.0,133,1.3200000000000034,0.820000000000003,1.8800000000000043
cnmf_lead,peak_lat,audio,4.0,158,2.0500000000000043,1.860000000000004,2.240000000000004
cnmf_lead,peak_lat,audio,3.0,124,2.4500000000000046,1.4800000000000035,2.5800000000000045
cnmf_lead,peak_lat,picture,6.0,150,0.5600000000000027,0.5400000000000027,0.6200000000000028
cnmf_lead,peak_lat,picture,5.0,290,0.7800000000000029,0.7600000000000029,0.8000000000000029
cnmf_lead,peak_lat,picture,2.0,182,1.6000000000000036,1.059750000000003,3.180000000000005
cnmf_lead,peak_lat,picture,1.0,155,0.940000000000003,0.860000000000003,1.0600000000000032
cnmf_lead,peak_lat,picture,0.0,118,1.7600000000000031,1.0700000000000032,2.8802500000000038
cnmf_lead,peak_lat,picture,4.0,152,1.2800000000000034,1.2000000000000033,1.4400000000000035
cnmf_lead,peak_lat,picture,3.0,123,2.520000000000005,1.7200000000000042,2.720000000000004
cnmf_lead,peak_lat,reading,6.0,152,0.7000000000000028,0.6500000000000028,0.7900000000000029
cnmf_lead,peak_lat,reading,5.0,291,0.8000000000000029,0.7400000000000029,0.860000000000003
cnmf_lead,peak_lat,reading,2.0,186,1.4200000000000037,1.0800000000000032,1.8800000000000043
cnmf_lead,peak_lat,reading,1.0,169,1.2800000000000034,1.1800000000000033,1.4000000000000037
cnmf_lead,peak_lat,reading,0.0,134,2.9600000000000044,2.249750000000004,3.300500000000002
cnmf_lead,peak_lat,reading,4.0,191,2.600000000000005,2.400000000000004,2.720000000000004
cnmf_lead,peak_lat,reading,3.0,124,1.4000000000000037,1.1900000000000033,2.180000000000004
cnmf_lead,onset_lat,audio,6.0,82,0.2600000000000024,0.2300000000000024,0.35000000000000253
cnmf_lead,onset_lat,audio,2.0,78,0.3100000000000025,0.1500000000000023,0.5000000000000027
cnmf_lead,onset_lat,audio,0.0,45,0.1600000000000023,0.1200000000000023,0.3200000000000025
cnmf_lead,onset_lat,audio,5.0,222,0.4200000000000026,0.4000000000000026,0.4400000000000026
cnmf_lead,onset_lat,audio,1.0,114,0.7600000000000029,0.6200000000000028,1.0300000000000031
cnmf_lead,onset_lat,audio,3.0,18,0.6300000000000028,0.5600000000000027,1.1600000000000033
cnmf_lead,onset_lat,audio,4.0,21,1.2800000000000034,1.1600000000000033,2.1200000000000045
cnmf_lead,onset_lat,picture,6.0,121,0.2600000000000024,0.2400000000000024,0.2800000000000024
cnmf_lead,onset_lat,picture,2.0,76,0.2400000000000024,0.2200000000000024,0.3600000000000025
cnmf_lead,onset_lat,picture,0.0,81,0.4200000000000026,0.2600000000000024,0.7200000000000029
cnmf_lead,onset_lat,picture,5.0,222,0.5400000000000027,0.4400000000000026,0.5800000000000027
cnmf_lead,onset_lat,picture,1.0,81,0.5000000000000027,0.4400000000000026,0.6000000000000028
cnmf_lead,onset_lat,picture,3.0,18,0.7200000000000029,0.5600000000000027,1.4200000000000035
cnmf_lead,onset_lat,picture,4.0,44,0.930000000000003,0.799750000000003,1.1102500000000017
cnmf_lead,onset_lat,reading,6.0,97,0.3800000000000025,0.3200000000000025,0.4400000000000026
cnmf_lead,onset_lat,reading,2.0,82,0.4400000000000026,0.3200000000000025,0.6300000000000028
cnmf_lead,onset_lat,reading,0.0,69,0.5600000000000027,0.4200000000000026,0.9600000000000032
cnmf_lead,onset_lat,reading,5.0,187,0.5600000000000027,0.5200000000000027,0.5800000000000027
cnmf_lead,onset_lat,reading,1.0,77,0.6800000000000028,0.6000000000000028,0.880000000000003
cnmf_lead,onset_lat,reading,3.0,100,0.6700000000000028,0.6000000000000028,0.7500000000000029
cnmf_lead,onset_lat,reading,4.0,43,2.560000000000004,2.3400000000000043,2.6200000000000045
role,peak_lat,audio,phonological_encoding,3,0.5200000000000027,0.5200000000000027,0.6000000000000028
role,peak_lat,audio,tag_hga_activation,64,0.5700000000000027,0.5300000000000027,0.6000000000000028
role,peak_lat,audio,picture_stim,5,0.4200000000000026,0.1600000000000023,4.700000000000006
role,peak_lat,audio,motor,21,0.5200000000000027,0.4800000000000026,0.7600000000000029
role,peak_lat,audio,pic_stim,2,,,
role,peak_lat,audio,premotor planning,46,0.5400000000000027,0.3200000000000025,0.8000000000000029
role,peak_lat,audio,auditory_v2,1,,,
role,peak_lat,audio,motor_v2,22,0.860000000000003,0.6100000000000028,0.9800000000000031
role,peak_lat,audio,ultra_hfa,40,0.820000000000003,0.8000000000000029,0.820000000000003
role,peak_lat,audio,NN,10,0.4600000000000026,0.4400000000000026,1.0500000000000032
role,peak_lat,audio,auditory,123,3.4800000000000058,3.3200000000000056,3.560000000000006
role,peak_lat,audio,tag_theta_tracking,169,0.9800000000000032,0.7800000000000029,1.3400000000000034
role,peak_lat,audio,tag_beta_erd,296,1.8800000000000043,1.3800000000000034,2.1200000000000045
role,peak_lat,audio,none,1436,1.4800000000000035,1.3200000000000034,1.6900000000000035
role,peak_lat,audio,tag_low_f_erd,239,1.8400000000000036,1.4000000000000037,2.100000000000004
role,peak_lat,audio,visual_picture,17,0.2000000000000024,0.1800000000000023,0.3800000000000025
role,peak_lat,audio,deactivation,0,,,
role,peak_lat,audio,lexical_semantic,1,,,
role,peak_lat,picture,phonological_encoding,3,0.3600000000000025,0.3600000000000025,0.5200000000000027
role,peak_lat,picture,tag_hga_activation,64,0.5900000000000027,0.5500000000000027,0.7600000000000029
role,peak_lat,picture,picture_stim,5,0.6600000000000028,0.3200000000000025,4.500000000000006
role,peak_lat,picture,motor,21,0.7200000000000029,0.6600000000000028,0.7800000000000029
role,peak_lat,picture,pic_stim,2,,,
role,peak_lat,picture,premotor planning,43,2.6600000000000046,0.5200000000000027,3.560000000000006
role,peak_lat,picture,auditory_v2,1,,,
role,peak_lat,picture,motor_v2,22,0.7900000000000029,0.6200000000000028,0.880000000000003
role,peak_lat,picture,ultra_hfa,40,1.0900000000000032,0.860000000000003,4.340000000000006
role,peak_lat,picture,NN,9,0.900000000000003,0.880000000000003,0.940000000000003
role,peak_lat,picture,auditory,111,0.880000000000003,0.820000000000003,0.9600000000000032
role,peak_lat,picture,tag_theta_tracking,169,1.5000000000000036,1.2000000000000033,2.2000000000000046
role,peak_lat,picture,tag_beta_erd,296,1.0100000000000031,0.910000000000003,1.2600000000000033
role,peak_lat,picture,none,1387,1.2800000000000034,1.240000000000003,1.3400000000000034
role,peak_lat,picture,tag_low_f_erd,234,1.230000000000003,1.1600000000000033,1.3600000000000034
role,peak_lat,picture,visual_picture,13,3.4800000000000058,2.9200000000000053,3.6600000000000055
role,peak_lat,picture,deactivation,0,,,
role,peak_lat,picture,lexical_semantic,1,,,
role,peak_lat,reading,phonological_encoding,3,0.5200000000000027,0.5000000000000027,0.6600000000000028
role,peak_lat,reading,tag_hga_activation,64,0.7100000000000029,0.6697500000000028,0.820000000000003
role,peak_lat,reading,picture_stim,5,3.300000000000005,0.3000000000000025,4.880000000000006
role,peak_lat,reading,motor,21,0.8000000000000029,0.6800000000000028,1.0800000000000032
role,peak_lat,reading,pic_stim,2,,,
role,peak_lat,reading,premotor planning,47,0.860000000000003,0.5600000000000027,2.7400000000000047
role,peak_lat,reading,auditory_v2,1,,,
role,peak_lat,reading,motor_v2,22,0.870000000000003,0.7600000000000029,1.3400000000000034
role,peak_lat,reading,ultra_hfa,41,1.1000000000000032,1.0600000000000032,1.3600000000000034
role,peak_lat,reading,NN,27,2.400000000000004,1.6000000000000032,2.720000000000004
role,peak_lat,reading,auditory,130,1.3500000000000034,1.249750000000003,1.6000000000000032
role,peak_lat,reading,tag_theta_tracking,175,1.4200000000000037,1.3200000000000034,1.900000000000004
role,peak_lat,reading,tag_beta_erd,299,1.5200000000000031,1.3200000000000034,1.9600000000000044
role,peak_lat,reading,none,1556,2.070000000000004,1.8800000000000043,2.330000000000004
role,peak_lat,reading,tag_low_f_erd,252,2.600000000000005,2.2500000000000044,2.760000000000005
role,peak_lat,reading,visual_picture,17,3.2800000000000047,0.840000000000003,4.360000000000007
role,peak_lat,reading,deactivation,1,,,
role,peak_lat,reading,lexical_semantic,1,,,
role,onset_lat,audio,lexical_semantic,1,,,
role,onset_lat,audio,visual_picture,12,0.1200000000000023,0.1200000000000023,0.1600000000000023
role,onset_lat,audio,phonological_encoding,3,0.2200000000000024,0.2000000000000024,0.2200000000000024
role,onset_lat,audio,tag_hga_activation,57,0.2200000000000024,0.2200000000000024,0.2600000000000024
role,onset_lat,audio,pic_stim,0,,,
role,onset_lat,audio,motor,21,0.2600000000000024,0.1800000000000023,0.3200000000000025
role,onset_lat,audio,premotor planning,22,0.1600000000000023,0.1200000000000023,0.5600000000000027
role,onset_lat,audio,motor_v2,20,0.4200000000000026,0.3800000000000025,0.4600000000000026
role,onset_lat,audio,auditory_v2,1,,,
role,onset_lat,audio,tag_theta_tracking,28,0.49000000000000266,0.3600000000000025,1.0300000000000031
role,onset_lat,audio,NN,9,0.3800000000000025,0.3200000000000025,0.4200000000000026
role,onset_lat,audio,ultra_hfa,32,0.49000000000000266,0.4100000000000026,0.5600000000000027
role,onset_lat,audio,tag_beta_erd,37,0.5200000000000027,0.4600000000000026,0.7600000000000029
role,onset_lat,audio,none,266,0.5200000000000027,0.5000000000000027,0.5400000000000027
role,onset_lat,audio,auditory,96,0.6600000000000028,0.5900000000000027,0.900000000000003
role,onset_lat,audio,tag_low_f_erd,35,0.7800000000000029,0.5400000000000027,1.6600000000000037
role,onset_lat,audio,picture_stim,0,,,
role,onset_lat,audio,deactivation,0,,,
role,onset_lat,picture,lexical_semantic,1,,,
role,onset_lat,picture,visual_picture,13,0.1000000000000023,2.220446049250313e-15,0.5200000000000027
role,onset_lat,picture,phonological_encoding,3,0.2000000000000024,0.1800000000000023,0.2200000000000024
role,onset_lat,picture,tag_hga_activation,64,0.2400000000000024,0.2200000000000024,0.3600000000000025
role,onset_lat,picture,pic_stim,1,,,
role,onset_lat,picture,motor,21,0.2800000000000024,0.2400000000000024,0.4400000000000026
role,onset_lat,picture,premotor planning,28,0.3200000000000025,0.19000000000000233,0.850000000000003
role,onset_lat,picture,motor_v2,22,0.35000000000000253,0.24975000000000244,0.3800000000000025
role,onset_lat,picture,auditory_v2,1,,,
role,onset_lat,picture,tag_theta_tracking,43,0.4000000000000026,0.3800000000000025,0.4800000000000026
role,onset_lat,picture,NN,8,0.860000000000003,0.7400000000000029,0.860000000000003
role,onset_lat,picture,ultra_hfa,36,0.5400000000000027,0.5000000000000027,0.5800000000000027
role,onset_lat,picture,tag_beta_erd,83,0.5200000000000027,0.4000000000000026,0.6800000000000028
role,onset_lat,picture,none,333,0.6400000000000028,0.5800000000000027,0.6800000000000028
role,onset_lat,picture,auditory,70,0.5400000000000027,0.5000000000000027,0.6000000000000028
role,onset_lat,picture,tag_low_f_erd,55,0.3400000000000025,0.2800000000000024,0.6600000000000028
role,onset_lat,picture,picture_stim,4,1.8300000000000036,0.2800000000000024,4.460000000000006
role,onset_lat,picture,deactivation,0,,,
role,onset_lat,reading,lexical_semantic,1,,,
role,onset_lat,reading,visual_picture,14,0.6500000000000028,0.1800000000000023,1.5800000000000036
role,onset_lat,reading,phonological_encoding,3,0.2000000000000024,2.220446049250313e-15,0.2000000000000024
role,onset_lat,reading,tag_hga_activation,61,0.3600000000000025,0.2800000000000024,0.4400000000000026
role,onset_lat,reading,pic_stim,0,,,
role,onset_lat,reading,motor,21,0.4000000000000026,0.3400000000000025,0.5200000000000027
role,onset_lat,reading,premotor planning,30,0.4400000000000026,0.22000000000000236,0.5600000000000027
role,onset_lat,reading,motor_v2,19,0.4200000000000026,0.3600000000000025,0.6000000000000028
role,onset_lat,reading,auditory_v2,1,,,
role,onset_lat,reading,tag_theta_tracking,29,0.6800000000000028,0.5400000000000027,1.1000000000000032
role,onset_lat,reading,NN,8,0.5200000000000027,0.4600000000000026,0.5200000000000027
role,onset_lat,reading,ultra_hfa,18,0.6400000000000028,0.5500000000000027,0.8000000000000029
role,onset_lat,reading,tag_beta_erd,56,0.6800000000000028,0.5200000000000027,0.9900000000000031
role,onset_lat,reading,none,392,0.6400000000000028,0.6000000000000028,0.7000000000000028
role,onset_lat,reading,auditory,64,0.7000000000000028,0.6000000000000028,0.9600000000000032
role,onset_lat,reading,tag_low_f_erd,50,0.7200000000000029,0.6200000000000028,1.3600000000000034
role,onset_lat,reading,picture_stim,0,,,
role,onset_lat,reading,deactivation,0,,,
