feature,cond_a,cond_b,n,spearman_rho,p
onset_lat,audio,picture,616,0.3359135628465974,1.0303532981494439e-17
onset_lat,audio,reading,535,0.39904314996937135,7.225945724533658e-22
onset_lat,picture,reading,577,0.38439260776053796,9.328132348784172e-22
peak_lat,audio,picture,2884,0.12466897639756462,1.837225424496332e-11
peak_lat,audio,reading,2959,0.20464220327550114,2.4130653349327819e-29
peak_lat,picture,reading,2884,0.10416311684765307,2.0623023044073245e-08
