channel,0.5-4.0Hz_dB,4.0-8.0Hz_dB,8.0-12.0Hz_dB,12.0-30.0Hz_dB,30.0-70.0Hz_dB,70.0-150.0Hz_dB
A_L1,21.687273114669814,14.301160292667507,11.4967338479989,4.7356003875405674,-5.918531355599927,-17.39113714102759
A_L10,21.90600834056924,12.786207567713399,13.211604965231617,6.840083915826531,-6.419636265763683,-14.346948485056009
A_L11,20.673381373298586,10.255256369438074,9.73094111781171,3.5686922405602144,-7.507906706093257,-10.75526756948457
A_L12,20.464699531025218,8.428839395888925,6.044175555069751,-0.5943789316051192,-5.558007572833691,-6.439337823239674
A_L2,19.639659190022115,11.642692076616626,8.7081510178528,1.7876496650419667,-8.686853788317144,-18.906588481684963
A_L3,17.97689911494869,10.140225406399889,6.994824655038858,-0.2888666970474335,-11.341866719727802,-20.48322456226463
A_L4,17.472753596455732,9.382005576017978,5.993322101578477,-1.4750825620896064,-12.67034994632182,-21.050851755784297
A_L5,16.912798209059897,8.579176830969242,4.881441323823731,-2.916972783245516,-14.135505748852546,-20.968720396897265
A_L6,16.573560366915306,8.11082046433769,5.0706585317013575,-2.884617176436878,-14.31770012878314,-20.627037972700453
A_L7,17.682748038592425,8.844858305722083,7.498499427985238,1.2290535474457516,-9.96647460600197,-17.942598210234195
A_L8,19.14416595450911,10.082721536155109,9.942306747135525,4.11764485620926,-8.876981711331855,-17.143518730544503
A_L9,20.412387327982376,11.203153678295063,11.879270583777565,5.125486437169234,-8.293175414927903,-16.183093116253904
A_R1,28.47247144681236,18.36334599970811,13.71940505814878,6.807224928709651,-3.4300056902305704,-15.969119660528827
A_R10,20.09588462582507,10.168134769443263,8.786156019958595,5.042021767021363,-4.0856038096334695,-13.495618589475177
A_R11,20.816481456500178,12.103072939454648,10.605733433989462,7.281661633596187,-3.0652297012204923,-13.117169857894936
A_R12,20.59522383349776,10.173046204058867,8.539093675693923,4.906400389152484,-4.93340085321982,-13.394579517289156
A_R13,22.02655594105042,12.111233098577415,10.372286992808874,6.900679946040196,-2.7579564861172665,-12.345322139576592
A_R14,21.01980236376173,10.692972693867105,8.999888440656832,5.3729360299618385,-4.317834264790034,-12.17102414409992
A_R15,51.9806716525812,43.701212580195644,39.359656742006386,32.73969443325817,25.067268853634978,19.38972181892283
