channel,0.5-4.0Hz_dB,4.0-8.0Hz_dB,8.0-12.0Hz_dB,12.0-30.0Hz_dB,30.0-70.0Hz_dB,70.0-150.0Hz_dB
TPD1,26.447764690525045,20.583762659187457,12.582905350476837,6.721779248633897,-4.655758128617195,-11.89229528037659
TPD2,23.362558505273505,17.796600320999463,9.930016083324695,6.647347464897786,-3.073870525055345,-11.676255864791461
TPD3,23.658969579297576,18.389417156068642,10.497913831753625,6.414521923970785,-4.116799679863279,-11.894478324172859
TPD4,26.541823108465646,22.984983690800483,15.17858449074837,5.226785324614721,-7.425121495719599,-13.729207080167214
TPD5,28.318061086346315,22.534405417124212,16.10239699450739,5.777176942780993,-6.691074501120764,-13.516196772031055
TPD6,29.279393386965687,25.153955483123376,19.298545154939685,9.634841308423765,-4.615178891712269,-13.236645918017265
TPD7,29.897171165990763,22.044077242675293,17.146834063978403,8.580002867670046,-4.687844564473624,-13.478703513414654
TPD8,24.610699512013564,19.462900410623284,12.031824735608566,4.569176680149922,-7.134850308475185,-13.928037421110037
AD1,27.578560763392172,21.38788834155349,12.857585354043412,6.37362417090104,0.5147239665735663,-9.599211877783915
AD2,25.13436995043391,19.569092525924034,11.201635308370196,5.400940937277964,0.3024240917852243,-10.733310149072809
AD3,22.90103302261545,17.965896375763343,9.750519944878434,2.859296324901047,-2.024153370908673,-11.797202857874453
AD4,20.860889735680235,17.533796995142975,8.54507233266926,0.26115029501210074,-7.0759359970848354,-14.105864204173255
AD5,21.646424587833334,18.216325165763404,9.43068105377803,0.09352283008901245,-9.536554709440328,-14.609727537180436
AD6,27.595152536627445,19.581205462294974,12.378826289018715,3.4898568689222986,-7.626462160237421,-14.029105329530719
AD7,30.744419974483012,20.827488893593507,15.302728120265028,4.901903726774304,-8.353944382848427,-14.37883677689789
AD8,31.749649019820428,20.92525853335595,15.090197860265093,4.8640476385665945,-8.469242062097365,-14.056262275513706
AD9,33.529407747648634,21.256511104356957,14.228061239181406,4.8190378753353045,-7.785755215644059,-13.450329573624463
HAD1,29.736239404000948,21.836116715918205,15.669406708579022,11.281278118931112,7.800600281262315,-6.752924083031627
HAD2,27.158423907989565,19.683970196728346,14.34580752509403,10.746138378178394,7.4675855120123575,-6.40904492648302
HAD3,21.67046877515718,16.680170342705217,9.722771673823061,5.961255264065058,2.5880660343173387,-9.688268569092592
HAD4,32.616995377539666,22.241462053065035,15.536235852256146,5.1608003510263,-7.513079402553908,-14.03472136965642
HAD5,33.724177046675436,23.570676840345943,16.92057822289887,5.890409089827233,-7.051840394008917,-13.504662687162044
HAD6,29.136238399767034,20.486990973973597,12.976427945494205,4.627470724748017,-6.473912064857539,-11.346310202847258
HPD1,25.8112649837259,18.53732501865502,12.454685297209519,10.082337993525053,4.7026076767314064,-7.192976166909423
HPD2,19.06985662329603,15.008677584439393,7.541526054536865,1.3880422737008236,-3.568346333012312,-12.695329447826435
HPD3,16.91972221588235,14.60252191794305,7.0765610034280835,-0.25132623027334916,-6.766983811814304,-14.21584999651883
HPD4,18.11947502200326,15.13887092351853,7.984559009671171,-0.3821730020967992,-8.65241673039382,-14.228730070900577
HPD5,18.80897331424676,15.649325141849893,8.381922402301155,0.712746773604827,-8.547981122974383,-14.815079495994548
HPD6,21.598283841226174,17.24401347329611,10.148109418523426,3.1927371855436206,-6.272687085970569,-13.736507755560472
HPD7,25.28034852211677,19.76056055198105,12.074698124118772,4.930457592293289,-5.000558927075569,-12.837732387805218
HPD8,27.855549663835657,20.92645393904786,12.857668718790196,4.728173466202981,-6.057050637036123,-13.61595812171537
HPD9,29.46716173841754,22.04789388023481,14.16392871466763,5.10296838333436,-6.417431957979714,-13.769402621129041
HPD10,31.33266557886962,23.776329047977562,16.168930477694538,6.722050490935612,-5.369708391385788,-13.537720098182854
FPD1,22.034913636200148,19.471812379829043,10.33884699527966,4.067419565939608,-3.9702791995996662,-12.517074371274052
FPD2,21.62850220360205,21.566387426603605,9.442167323265448,0.5113803489577575,-9.33770899999485,-15.350765440670376
FPD3,25.293158968200775,22.938107658316987,12.831282244549573,3.1645605110171697,-6.559842261412761,-13.843844505183379
FPD4,32.85292043570984,29.792225453005194,18.40890729940852,7.48317430899527,-3.987205613654298,-12.295762231159804
FPD5,31.027565716367103,29.907995056106483,17.62905657348017,7.314899689229827,-4.8999536460104745,-13.278888302125159
