k,mean_jaccard,min_jaccard,max_jaccard,n_runs,subsample_frac,estimator,n_iter
5,0.5516169846057892,0.4242899715900421,0.749954104423523,50,0.8,kmeans,
6,0.4927609711885452,0.3467864990234375,0.7261083722114563,50,0.8,kmeans,
7,0.49623794640813557,0.3077769875526428,0.7612591981887817,50,0.8,kmeans,
8,0.5204756148159504,0.35685473680496216,0.8544015288352966,50,0.8,kmeans,
9,0.48168689343664384,0.32517579197883606,0.873207688331604,50,0.8,kmeans,
10,0.5463811606168747,0.28308677673339844,0.956161618232727,50,0.8,kmeans,
11,0.5416503955017437,0.273410439491272,0.9380344748497009,50,0.8,kmeans,
12,0.531596951186657,0.25579550862312317,0.9536997675895691,50,0.8,kmeans,
