cluster_id,size,jaccard_stability,n_runs
0,75,0.5393008589744568,50
1,97,0.507079005241394,50
2,104,0.4890291392803192,50
3,72,0.31746476888656616,50
4,87,0.45446136593818665,50
5,87,0.5762950778007507,50
6,63,0.5147465467453003,50
7,77,0.6777101755142212,50
8,80,0.4444303810596466,50
9,74,0.3886708915233612,50
10,76,0.5591439008712769,50
11,73,0.7049162983894348,50
12,59,0.5814611315727234,50
13,77,0.7449418902397156,50
14,68,0.5420280694961548,50
15,77,0.6787354946136475,50
16,69,0.4803580343723297,50
17,58,0.3536478877067566,50
18,77,0.5575051307678223,50
19,88,0.4840908944606781,50
