,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
7Networks_1,17,5,4,3,3,2,6
7Networks_2,2,71,3,2,12,5,50
7Networks_3,2,2,5,4,7,15,17
7Networks_4,0,12,6,7,12,7,25
7Networks_5,6,9,5,17,66,12,66
7Networks_6,1,10,9,15,14,17,48
7Networks_7,4,40,14,23,65,24,187
