,B_rank1_c0,B_rank2_c2,B_rank3_c6,B_rank4_c5,B_rank5_c4,B_rank6_c3,B_rank7_c1
A_rank1_c9,233,14,16,0,57,43,0
A_rank2_c7,14,140,7,0,0,0,0
A_rank3_c5,41,4,2,0,14,16,0
A_rank4_c8,144,2,4,0,143,53,12
A_rank5_c2,31,0,177,0,132,6,10
A_rank6_c3,14,48,1,0,8,0,0
A_rank7_c6,0,0,5,0,91,9,98
A_rank8_c0,3,0,0,28,2,158,2
A_rank9_c4,3,5,97,0,4,0,4
A_rank10_c1,98,6,19,1,16,60,0
