,B_rank1_c1,B_rank2_c3,B_rank3_c4,B_rank4_c2,B_rank5_c0
A_rank1_c17,1,58,7,0,12
A_rank2_c12,1,12,22,0,95
A_rank3_c13,0,0,2,6,0
A_rank4_c5,0,30,32,0,59
A_rank5_c18,0,4,101,3,2
A_rank6_c7,2,100,22,0,1
A_rank7_c16,0,51,12,0,3
A_rank8_c3,0,32,49,0,49
A_rank9_c10,2,6,0,0,0
A_rank10_c14,0,3,41,0,5
A_rank11_c19,0,3,4,0,65
A_rank12_c15,49,7,0,0,1
A_rank13_c6,0,15,64,0,8
A_rank14_c9,0,48,7,0,134
A_rank15_c8,8,8,0,0,60
A_rank16_c1,57,21,0,0,0
A_rank17_c4,108,0,0,0,0
A_rank18_c2,0,0,2,0,8
A_rank19_c11,0,0,19,17,0
