channel,0.5-4.0Hz_dB,4.0-8.0Hz_dB,8.0-12.0Hz_dB,12.0-30.0Hz_dB,30.0-70.0Hz_dB,70.0-150.0Hz_dB
A_R1,29.43053961649905,24.748217501323182,16.437968686332997,8.648407863963202,-5.553230868313688,-16.93740311505627
A_R10,31.58704507152564,25.29194230284948,16.809095049386244,8.389434308797535,-8.837033227427122,-19.937257562626364
A_R11,31.37626580693639,24.052738888225022,15.652072821870624,7.956524282040121,-9.203640937105792,-20.181082411503322
A_R12,29.834341445509033,25.390060040598122,14.952434589665952,7.214780034836975,-7.741247186519843,-15.03055911816511
A_R2,28.381732002529322,24.121795191217664,15.485603452491567,7.980847207956647,-6.537307844981077,-17.713592444870255
A_R3,27.300115007675174,23.59317829585666,14.967086746362192,7.504156007812351,-7.676362000503106,-18.852601330345387
A_R4,26.468820878235615,23.291962513417275,14.6479290672405,7.386321795120072,-7.605618496168432,-18.788132273472524
A_R6,25.321527538335683,22.975906920979806,14.331884328787364,7.234935493559762,-8.440787870011636,-19.448333806312718
A_R7,23.891266735620235,22.949770942798672,14.076999077030605,7.170417966151543,-9.613099339601062,-20.560100718105556
CinG_L1,28.349218211480068,24.998473783729185,15.560976314167045,7.708080914212598,-8.6610777049919,-18.901192475107123
CinG_L11,28.649829720244494,26.27729106472458,18.07739506324347,12.82181451866275,-3.6301455408760583,-15.490550664305832
CinG_L12,28.430238772652128,25.563281739038818,16.912440359727295,10.931897190077207,-5.608184978369417,-16.84627136177887
CinG_L2,28.245888459415404,24.93809582869065,15.347514270996463,7.530094989909047,-9.153196405495608,-19.39223241466194
CinG_L3,28.17992820691754,24.955534298418613,15.667445908848192,7.78437199791724,-9.062009983872167,-19.31290681922912
CinG_L4,28.28155813433066,25.026866823241004,16.606759168399098,8.486729555306185,-8.600096439643519,-18.981945258366473
CinG_R1,28.362760911213304,25.376164259951032,16.833658820134037,9.530009931293128,-4.705024114502568,-15.908319044688891
CinG_R13,28.969498019491564,29.84712886107439,22.965266050773774,16.523000127061763,-1.165094738843147,-15.258037462192352
CinG_R14,29.588183130213032,30.19468120267055,22.43242323588874,15.695781645508637,-1.24143062738408,-14.190604264894608
CinG_R2,28.034477976408247,24.98601551431347,15.756859833454762,8.356603859206107,-6.885348328095459,-17.84130702229943
CinG_R3,27.831551561769174,25.024134658095537,15.811922934641947,8.014090056047177,-8.233992469260192,-19.066719562605535
CinG_R4,28.129714955701548,25.233029853833706,16.311994252717234,8.136436244075071,-8.057103719539677,-18.306722964566724
EntG_R1,28.793563491955663,24.608905618853115,16.04495769138971,8.393617728115244,-5.719183304975319,-15.926118726558803
EntG_R10,33.51194955988699,24.82466258072145,15.582941217159716,8.07130338215962,-8.05278418301722,-18.805056167699462
EntG_R11,34.6092127097005,25.072674435132804,16.37237873757295,8.532271228615265,-8.312358109378753,-19.269529161703844
EntG_R2,27.956911940198303,24.138337835738096,15.573871496760813,7.976093992244581,-6.531070374923853,-16.606381110301513
EntG_R3,26.909974172526884,23.58208246232067,15.011540969768147,7.581554738838692,-7.269899152554663,-17.400271763937173
EntG_R4,26.152739336382446,23.241592136446798,14.620960074934708,7.377546248495962,-7.896567243353505,-18.30573832549901
EntG_R7,24.156511273397996,23.155107830175044,14.053330959862684,7.070516973604114,-9.875794882208476,-20.873106150941197
EntG_R8,27.014315705619236,24.28205953354091,14.77204804155894,7.149728878408177,-10.325924878564653,-22.125917297423747
EntG_R9,30.953121994973113,24.920347959563877,15.527046131603946,7.609547697928913,-9.38303188334115,-20.28204781346594
FP_R1,37.19248190745357,29.070738948912044,20.878587365066927,10.488899828115944,-4.334069240462246,-14.279804701045515
FP_R2,34.97547841652732,28.340689674982627,20.05847473494407,9.846250867554254,-4.553988400655642,-14.546890887452923
FP_R3,37.132613506813115,29.576528578903424,20.560342375624742,10.29433135871939,-4.912725524881639,-15.654362941778228
FP_R4,34.525850868788154,27.47342927490034,17.67933021148673,8.977968743605276,-5.295212047572095,-15.445946289010175
FP_R5,32.6105623030855,27.12956314591556,17.629887785958758,9.171911436839373,-6.149855735344994,-16.989409287959173
FP_R6,30.978964983751617,26.092281894872002,16.557987819879727,8.289115877676988,-7.236251695457362,-17.88517452453154
FP_R7,33.87592181473296,27.527927590699925,18.30013554807543,8.843095182287401,-6.583685580452624,-17.11614920728676
Fp_R9,32.06050763628268,27.717654955469015,20.2258391345419,10.291687956363319,-4.728182407243018,-15.017514840102809
OF_R1,32.00905521245057,26.420253744260947,16.72354579202295,8.018941679476281,-8.316074718341943,-19.02077962801003
OF_R15,27.014315706042623,24.28205953333017,14.772048041563817,7.14972887595808,-10.32592488897927,-22.12591727561824
OF_R16,27.333599108385076,22.519764664858194,12.844170197309944,2.852612342387116,-10.631209814260528,-19.37086539117154
OF_R2,32.792981133852955,26.492722913154246,16.78320628168664,7.867231242598546,-8.537612938046113,-19.473785744804673
OF_R3,32.55409599379528,25.582871687070337,15.826291790851535,7.3371402045468175,-9.00967369547018,-19.720609936010735
OF_R6,30.391214580635683,24.915938889213972,16.06058206817316,7.357633242485128,-8.426866200655592,-18.851052258001836
OF_R7,30.192303224105903,24.803954503058243,16.172489646541376,8.240387434677722,-4.94912460081419,-16.477097107673565
OF_R8,30.012571630464077,24.640788474673734,15.963530059378282,7.454961486880718,-7.568996190266442,-18.939313967982635
PHG_R1,28.89343023045774,24.852663988393246,17.547757137231752,10.501330251443513,-0.9728944604667025,-12.057351830421016
PHG_R10,27.23265337440063,24.71256580875835,15.14804815672639,7.503062526017022,-7.184020426949883,-14.050955389322535
