k,var_explained,sizes,frac_dominant,frac_no_majority,median_top_weight
5,0.5153700145943734,524 289 294 347 234,0.30509478672985785,0.6949052132701422,0.43281481596461824
6,0.5414578787881814,183 273 251 241 465 275,0.19253554502369669,0.8074644549763034,0.38750469271930854
7,0.5533233527308403,216 250 138 223 202 215 444,0.14751184834123224,0.8524881516587678,0.3617702349676746
8,0.554752503903551,232 342 224 195 198 193 167 137,0.13566350710900474,0.8643364928909952,0.35495834819183913
9,0.5544393382160587,131 111 192 323 161 172 188 171 239,0.12855450236966826,0.8714454976303317,0.3549304611240961
10,0.5556951187723917,130 216 172 224 182 147 108 163 175 171,0.0947867298578199,0.9052132701421801,0.32860791586911614
11,0.5492690398933019,169 249 168 142 161 75 139 179 109 102 195,0.09537914691943128,0.9046208530805687,0.3221323985748215
12,0.5302892117355497,181 151 175 131 120 128 254 80 146 99 132 91,0.1066350710900474,0.8933649289099526,0.3268648088833445
13,0.5234446885174902,161 96 112 75 233 94 121 204 76 78 174 124 140,0.09360189573459715,0.9063981042654028,0.314085536150128
14,0.5087317536553244,169 64 85 147 66 185 125 191 130 148 101 112 78 87,0.09656398104265403,0.9034360189573459,0.3156750761216408
15,0.4738147145772067,173 90 161 70 102 65 141 110 77 196 96 90 100 132 85,0.08945497630331753,0.9105450236966824,0.30321736372782127
16,0.46103647211337884,67 233 82 111 163 55 123 113 78 143 66 89 66 92 124 83,0.10900473933649289,0.8909952606635071,0.3187384449803056
17,0.449674648299773,185 142 31 113 62 159 103 90 76 85 134 110 58 56 86 102 96,0.10011848341232228,0.8998815165876777,0.3070883609667493
18,0.38366245471896043,80 126 157 55 35 111 183 80 60 101 58 35 108 158 89 56 122 74,0.08649289099526067,0.9135071090047393,0.3015800432304033
19,0.35456358697730517,93 114 80 72 146 160 62 58 78 56 85 108 142 120 50 56 92 42 74,0.0947867298578199,0.9052132701421801,0.28971395715317894
20,0.3470985079351554,129 65 158 154 100 57 111 56 74 93 64 56 160 60 57 93 37 41 46 77,0.09597156398104266,0.9040284360189573,0.30027866766705336
21,0.307280324466331,91 77 121 140 80 73 68 54 57 81 86 66 83 50 66 179 80 92 46 57 41,0.07997630331753554,0.9200236966824644,0.2931784542070844
22,0.26425149679152926,38 77 105 99 95 73 59 55 139 74 62 54 114 47 75 121 41 62 75 89 58 76,0.0924170616113744,0.9075829383886256,0.2880450795393462
23,0.22496886213138578,55 45 79 67 35 50 64 90 117 36 36 136 68 57 62 99 135 125 78 50 56 92 56,0.0835308056872038,0.9164691943127962,0.28412762245564693
24,0.17154315637348827,101 18 121 117 34 74 65 51 55 84 83 84 79 47 42 150 89 91 37 54 43 52 83 34,0.08886255924170616,0.9111374407582938,0.2883786202770081
25,0.08639324063586085,49 55 132 74 96 48 80 37 92 97 97 86 59 87 56 47 42 70 85 33 54 43 82 64 23,0.1066350710900474,0.8933649289099526,0.2853548201972125
26,0.10896223139454464,81 19 110 127 28 71 65 49 55 61 80 82 81 42 55 139 54 86 37 55 36 58 51 30 75 61,0.07997630331753554,0.9200236966824644,0.2875351027240264
27,0.04725781191396461,76 48 121 117 56 72 63 51 16 46 81 72 73 40 57 129 58 87 35 55 39 38 49 30 75 62 42,0.09123222748815166,0.9087677725118484,0.2835630681332215
28,-0.015846752772831207,52 18 115 125 44 72 61 50 23 57 72 77 74 35 50 130 55 96 36 53 35 40 46 35 74 83 44 36,0.09893364928909952,0.9010663507109005,0.27862332974138304
29,-0.07290722250568615,56 48 117 120 55 72 62 53 40 43 64 61 69 40 55 124 48 93 34 52 38 29 46 33 73 70 43 35 15,0.0995260663507109,0.9004739336492891,0.2790797052721843
30,-0.14793580870484102,117 58 44 15 40 10 56 69 36 38 55 95 47 86 54 81 79 49 53 29 35 53 88 67 55 61 34 61 35 88,0.10130331753554503,0.898696682464455,0.27607382266329883
