cluster_id,n_total,n_with_coords,n_missing,distance_mm,centroid_x,centroid_y,centroid_z,spread_x,spread_y,spread_z,metric,mirror_to
0,87,74,13,34.8420520387807,-47.408936593983626,-20.66571959732352,-14.143330005375114,11.133680828624092,18.95137322948893,15.922491515921308,mean_pairwise,left
1,178,114,64,57.863133881439154,-37.175741600362876,-15.333327097066661,10.063970935449266,18.276142892044472,23.054321829633665,33.277297601237635,mean_pairwise,left
2,120,20,100,47.204317491692294,-55.27888269424439,-21.42936780452728,3.300767958164215,11.759267894496597,25.71041796196018,23.1047701417226,mean_pairwise,left
3,119,115,4,60.926371325565626,-43.06932718546494,-13.41322289083315,11.67670932230742,17.500545043524166,29.80104854201993,30.833766785629525,mean_pairwise,left
4,56,4,52,14.88419687471874,-59.75843811035156,-8.622299671173096,-24.886040687561035,4.415519892493281,9.236183205660085,2.5231898421161936,mean_pairwise,left
5,213,93,120,58.40268175486084,-42.315609353844835,-12.982868295202973,6.467864864615984,18.362802857171417,27.977067701386115,28.952502145823384,mean_pairwise,left
6,161,34,127,54.25396496685023,-39.04543057610007,-14.698637962341309,10.680877494242262,18.213238805499575,24.520012660728003,28.42917238654625,mean_pairwise,left
7,251,96,155,46.01425996578972,-38.31030724942684,-7.589013804138328,-11.201645478606224,11.601725771347185,23.17597824361534,26.238975952838853,mean_pairwise,left
8,25,7,18,17.67068827779889,-30.642524038042342,-91.54265703473773,-12.192477055958339,8.793242134917161,9.771279222366722,3.8155293844941514,mean_pairwise,left
9,12,5,7,28.829901769105497,-48.50559844970703,2.143313407897949,10.066913032531739,8.760761075873841,18.38580718331387,15.187318997123755,mean_pairwise,left
10,72,58,14,59.03483743374804,-35.5081807169421,11.975550071946506,-9.707213085273217,14.242167609131792,44.54066525033576,14.512740513479043,mean_pairwise,left
11,244,145,99,48.527865464629336,-43.28385190634892,-14.050446927958522,10.936177603026916,12.919289687858136,25.6610970713618,25.271968007807292,mean_pairwise,left
