condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[17Networks_1],coef[17Networks_10],coef[17Networks_11],coef[17Networks_12],coef[17Networks_13],coef[17Networks_14],coef[17Networks_15],coef[17Networks_16],coef[17Networks_17],coef[17Networks_2],coef[17Networks_3],coef[17Networks_4],coef[17Networks_5],coef[17Networks_6],coef[17Networks_7],coef[17Networks_8],coef[17Networks_9],importance
audio,0,1.0,4.0,1-4Hz,0,ersp,0.021249408135688836,0.0006796320235234346,0.012721695386373846,-0.0160428463286295,0.013449728853599425,0.016781588193737457,0.0031862020439329835,0.001970500708357228,-0.007209555550828788,0.01569255173019085,-0.022100083903288256,-0.03341855457489561,0.04592518075683942,0.012656091494597309,-0.03338239198499039,-0.01724547995747513,-0.014913667026732729,0.016977950509040073
audio,0,1.0,4.0,1-4Hz,1,ersp,0.027085069104557113,0.005696855505124362,0.011959419973512865,-0.014363909641884708,0.009354756912551677,0.056223185679490084,-0.00822574127276734,-0.033573770726874536,-0.01882045646415757,0.004336819220610361,-0.012768587741634212,0.020095056575439516,-0.009563314762713156,-0.022222443391981934,-0.005973679741629389,0.00015985400772274637,-0.009399113235366092,0.015871884350471627
audio,0,1.0,4.0,1-4Hz,2,ersp,0.017913239938025995,0.005464393373581175,0.008880166109525321,-0.010300271314161407,0.005018198592331536,0.012179131955432784,0.005422817850618089,0.0025875681443111873,-0.022110295616205845,0.015567880970867299,-0.00015145894886786922,-0.004476074637268755,-0.00857801977444862,-0.02278239682011387,-0.009478536765045597,-0.010935983612964079,0.015779640554382385,0.010448592645773634
audio,0,1.0,4.0,1-4Hz,3,ersp,0.004424821730188413,0.0026792008633244437,0.0028242882827307315,-0.00111000938542636,0.015605472738650861,-0.01883317498333904,0.012861358344203485,0.0206155164749625,0.008864556363781431,0.007430562147065542,-0.011846123768791673,-0.0049362689055285,-0.01854850712109502,-0.013644147137914939,-0.026627097269088518,0.0021269391126105116,0.018112612513666197,0.011240626890727537
audio,0,1.0,4.0,1-4Hz,4,ersp,0.004718376437843164,-0.0002672049502573601,0.002010544257656779,0.0338431485888548,0.01626341323218158,-0.01583848355628065,-0.004853408264358547,0.0055445191779262696,-0.002664625884869522,0.004971149359549238,-0.03343508567008667,-0.03077048006318957,-0.007277552944634876,-0.003819262293263377,-0.019744195817663023,0.024572214788381813,0.02674693360221005,0.013961211699365135
audio,0,1.0,4.0,1-4Hz,5,ersp,-0.014421110438883661,0.007765669656457242,-0.004100790846891484,0.048146016548311,0.016840733224090302,-0.012465997826208993,0.008368633940855224,-0.0013414722090606254,0.0038275924701822012,0.009012211130587765,-0.02733711514193016,-0.04236637037651228,0.014183957099979449,0.010510703606082266,-0.029117525473024566,0.005608427474154709,0.006886437161811671,0.015429456742648447
audio,0,1.0,4.0,1-4Hz,6,ersp,-0.021783674031764736,-0.0004639254492206326,-0.0041098038410313795,0.018050231214407582,0.017492407360740574,-0.0022442185453995845,0.027367002476166375,-0.010362684786786125,-0.0004993928565373527,0.01924195945095243,-0.00922859564171876,-0.02875156893910541,0.017932232819877093,-0.0045930870482777985,-0.03339696072423306,0.005452110410971733,0.009897968130959226,0.013580460219302933
audio,0,1.0,4.0,1-4Hz,7,ersp,-0.02332618719470439,0.0003941409563100678,-0.005821299050892399,0.013249306973725462,0.01805009763997789,-0.011431984390489336,0.00542289625029992,-0.030174435064241056,0.007510195771725044,0.017765781791608964,-0.0032924709665962115,-0.0025777768064955834,0.010747752364080754,-0.004889504891479355,-0.024092481076452992,0.01115400805830826,0.02131195963531484,0.012424251698982503
audio,0,1.0,4.0,1-4Hz,8,ersp,-0.018683290576397015,0.0007559952808435395,-0.00015275612015791653,-0.010228900748559606,0.007287105728613753,-0.018332330628974706,0.035673636918692936,-0.016974607498842248,0.003370200609927483,0.0031056101965354446,0.02332792472436286,-0.00011594258142512663,0.0024704016686209846,-0.02200682197606648,0.011628182231882432,0.0036177376256445325,-0.0047421448547012345,0.010733740586485198
audio,0,1.0,4.0,1-4Hz,9,ersp,-0.02102011116980517,0.003759748809836983,0.010769226079496328,-0.01405988193623528,0.008741566230949233,-0.002107975285949353,0.029444955826695318,-0.02028042710443214,-0.0028906717867036675,-0.004241766204754056,0.0186360467777043,0.0009819075706283236,0.0023189502414599794,-0.019695106971281802,-0.012583617370480549,0.01598319731632865,0.006243958976542764,0.011397595038781403
audio,0,1.0,4.0,1-4Hz,10,ersp,-0.018183421096614482,-0.006731647976432206,0.013357730324270829,-0.006052886523278272,-8.749507832680748e-05,0.01463315418921963,-0.037077317345358234,0.008997523187804285,-0.002254737327457801,-0.0011896386649307975,0.025543452743403264,0.011633674594743845,-0.012849397249813838,0.008163321638843566,-0.022834533514986495,0.0019462626488638908,0.022985955450049337,0.012618949973788093
audio,0,1.0,4.0,1-4Hz,11,ersp,-0.014457321566013622,-0.018610885083745515,0.004668961295991973,-0.01946127061508033,-0.015896607847590862,0.04475277459953954,-0.029864501873050994,0.021757625342665846,0.00256507923640769,-0.0006821081949465346,0.02545671852376167,0.028722676881750273,-0.012529981649454172,-0.006125485015393524,-0.018880018408306408,-0.004226164420515689,0.012810508793980907,0.016556981726364446
audio,0,1.0,4.0,1-4Hz,12,ersp,-0.007745018322258388,-0.0037827986576452317,0.0051234194153182725,-0.023850359638962853,-0.010775980535842023,0.031989906319029954,-0.029336432609179456,0.005121498717597373,-0.009229746819893109,0.018546215440547267,0.015343507944234436,0.03096684110623887,-0.024996502252477067,-0.023806085038369926,0.009645923739203928,-0.0021414993552111134,0.018927110547668765,0.015960520379981063
audio,0,1.0,4.0,1-4Hz,13,ersp,-0.01125335344176355,-0.010730314518661315,0.0049863347794455405,-0.027583541787328514,-0.016219728158052386,-0.0013755433582708716,0.026271867546559857,-0.017390658369487905,0.004838377231470702,0.02223130935386447,0.010900224988396339,0.018157762531560536,-0.0043386441259316835,-0.033055257270022974,0.025656296812311085,0.011411814210673795,-0.0025069464247633616,0.01464164558285676
audio,0,1.0,4.0,1-4Hz,14,ersp,-0.004326086537163084,0.002106845514335274,0.0019938726954935116,-0.0012288908575263542,-0.01780460755065223,0.012336112730041796,0.012190545214415972,-0.0023307552071840532,0.00035610270883056473,0.008230180943880946,0.02353179455244597,0.03569760668833934,-0.013266593687223523,-0.04043424621512901,-0.01377486072917605,0.012937855495629622,-0.01621487575935861,0.012868343122754465
audio,0,1.0,4.0,1-4Hz,15,ersp,0.0017028919107026407,-0.0019159912580492178,0.0003441275259573868,0.004157273947327432,-0.0314191210584019,-0.008073427535396702,-0.01460392909397067,0.040002735479577715,-0.0029507666825416955,0.013667949852947477,0.027018821596923405,0.021365221670304413,-0.03141274984765462,-0.024812517155172138,0.005501393883633545,0.008332880424738709,-0.006904793660925732,0.014363917210836786
audio,0,1.0,4.0,1-4Hz,16,ersp,-0.0016125438389312445,0.007103370444625087,0.0078086637824425105,0.016333319117048772,-0.01624080295169043,-0.01728341473635682,-0.019576201654949495,0.016060339213756974,0.0035022685319385017,-0.018400861327542116,0.002901473874887374,0.01608123513157377,-0.02877936489972649,0.007974779576603724,0.005858672974605224,0.03112290075415213,-0.012853833992437263,0.013499649811956936
audio,0,1.0,4.0,1-4Hz,17,ersp,-0.0044481260033741804,0.011762207736597963,0.0034615001496529113,-0.0019671100341889817,-0.02274286573828424,-0.009794031897723684,-0.004286043412980907,0.042958913485260125,0.017804933651166643,-0.017597476231856254,-0.01781437283153878,0.0011249765365485638,-0.0332673795259891,0.022079965581016183,0.014183995642071429,0.02514605079351984,-0.026605137899897557,0.016296769832451017
audio,0,1.0,4.0,1-4Hz,18,ersp,-0.008196400936683123,0.005986403188920989,-0.009183189966429807,-0.01430536635847759,0.007208873079754199,0.00298584752162642,0.0068917840256438306,0.04161633008554341,0.01825868512153996,-0.001031341357118836,-0.013922436308301193,0.007842899328151175,-0.03822425335430259,0.02855388961547413,-0.015460453368333965,-0.0069755787153331405,-0.012045691601673538,0.014040554349018112
audio,0,1.0,4.0,1-4Hz,19,ersp,0.008794282059437726,0.004635045761056404,0.004989370324259078,-0.0017990946613093716,-0.02205521686715659,0.0012379093625169743,-0.0037859555488786974,-0.002373703893056484,0.016224513532284185,0.008336095619701736,0.0036697332971456385,-0.003598951426973445,0.012853496260106345,-0.014365178876069865,-0.009911496690910104,-0.016091958036432347,0.013241109784278955,0.008703712470680818
audio,0,1.0,4.0,1-4Hz,20,ersp,0.007403000034176752,0.010369844480310744,0.0012329466271417118,-0.019168817987100822,-0.031019451687553937,0.009850897228230423,-0.025465833111408535,0.007562813406029049,0.008790174426980504,0.0021238472346653955,-0.006112818249467155,0.0014336588276085485,0.011420999368053375,0.009618198291723978,-0.012763834525034516,-0.0067233187122391486,0.031447694347883214,0.011912244032094578
audio,0,1.0,4.0,1-4Hz,21,ersp,-0.006445230224214512,0.013352820720989308,0.028445566969022486,-0.01975324463056228,-0.020503055410432357,0.01740300326934111,-0.021108518178124733,0.008458600370188675,0.009927222074923418,0.008372847221691855,-0.017479980336885803,0.001677337813442542,-0.01450613971728935,0.01358257543551881,-0.009551945486440911,0.011262434840990756,-0.0031342947321590514,0.01323322455483635
audio,0,1.0,4.0,1-4Hz,22,ersp,-0.005663948932702956,0.025476698187021685,0.02206019649888016,0.008059069785265325,0.002292935229965448,0.02309331947596757,-0.028247181729049123,-0.0008484102953417918,-0.010707599359723735,0.00979676077429765,0.005826273975835147,-0.002186368408833623,0.011549577964813023,0.02633416344399151,-0.04103310729614044,0.003559479180613616,-0.049361858494859606,0.016240997001958964
audio,0,1.0,4.0,1-4Hz,23,ersp,-0.0006834609460725758,0.04706144453845721,0.025090981700755695,0.0158793567787408,-0.018378933081416454,0.017250062051518033,-0.013864748106266785,0.0002287428273970184,-0.017923889231868318,0.0028956979787872457,-0.0018132013423985114,-0.01002814156059887,0.010446957067356627,0.013312855520052201,-0.0192269210577611,-0.005321800463259253,-0.04492500267342283,0.015548952760360564
audio,0,1.0,4.0,1-4Hz,24,ersp,-0.0009927933906542037,0.03660742398838231,0.017196651823456234,-0.031202171388732703,-0.017928437681373817,0.008010427013436587,-0.02226697102560946,0.048986188338100624,-0.00925689655656976,-0.0034132223732252515,-0.016744330759065715,-0.024989079360912797,0.04111972525116716,0.014553749948864814,-0.026751751589979937,0.014434057748347523,-0.02736256998563192,0.021283320483735928
audio,0,1.0,4.0,1-4Hz,25,ersp,0.0087888274987573,0.03212672381750427,0.027417641662552898,-0.04717780262385868,-0.010606263803647441,0.007268748500381611,-0.04301165195125097,0.017102750346679886,-1.874697511571611e-05,0.012828163523163311,-0.03423422935650941,-0.030677073991170384,0.027206063040558906,0.00499413381972386,0.01501710829044901,0.01549037734420276,-0.0025147691424217767,0.019793004452232244
audio,0,1.0,4.0,1-4Hz,26,ersp,0.021795933456484697,0.036737677402778675,0.01891074307694715,-0.016156747002903392,0.015869407526087433,0.02517071005353012,-0.057435467602879285,-0.015698652510823908,0.0022184143102664984,0.00418676421320972,0.0018274786257850206,-0.021647002198594577,0.022861222941952097,-0.0066654938105681375,-0.020321803737179504,-0.000582714452092538,-0.011070470292000239,0.017597453130240175
audio,0,1.0,4.0,1-4Hz,27,ersp,0.023349106275960593,0.05570654863582132,0.005332362302013064,-0.013313938058514902,0.01767874899941561,-0.025324316852822965,-0.020316181827930022,-0.016074227411322035,-0.010932525945079458,0.007724482044337704,0.034006472405846255,-0.013564255938779865,-0.016646963056408736,0.023778395919174137,-0.0027543584193440167,-0.040284357556726734,-0.008364991515639209,0.019714837245008034
audio,0,1.0,4.0,1-4Hz,28,ersp,0.014110848410991667,0.05410609703511903,0.006423025103287008,-0.020321107459717946,0.03530115895078369,-0.03325799952040781,-0.025383404358110605,-0.007752782493092316,0.028210690531348268,0.01933135146951308,0.004788014239231438,0.0015939268916501579,-0.061127874602925326,0.0031906407516814114,0.0022143375029942116,-0.01382164449699381,-0.007605277955351807,0.019914128339599976
audio,0,1.0,4.0,1-4Hz,29,ersp,0.013908097479433345,0.03911893414312978,0.006134926193273547,-0.03946932966763428,0.018382607793583042,-0.02141438521209504,-0.014885782683031598,0.0013706295177208245,0.007381738130275752,0.014614368744853506,0.045945880509866144,0.0004985232709093798,-0.039936250090889046,-0.016217274481830884,-0.0069359756313841225,0.0225798621411889,-0.031076570157368612,0.01999241975579222
