term,n_contacts,n_sig_bins,pct_sig,p_thr,r_min,r_max,r_abs_p99
auditory,2644,15133,13.034453057708873,0.006516937124022502,-0.14017392694950104,0.17988982796669006,0.11590728908777237
broca,2644,9363,8.064599483204134,0.004030207428349381,-0.11833163350820541,0.12215806543827057,0.08099568635225296
lexical,2644,0,0.0,0.0,-0.09210509061813354,0.08362020552158356,0.05805534869432449
motor control,2644,4068,3.503875968992248,0.0017511994605593885,-0.129380002617836,0.1073593869805336,0.07356344163417816
phonological,2644,23056,19.858742463393625,0.009927041967097709,-0.19234327971935272,0.18088985979557037,0.11493904143571854
recall,2644,254,0.21877691645133504,0.00010876344781284745,-0.10017386823892593,0.10326920449733734,0.062424108386039734
semantic,2644,35553,30.62273901808786,0.01531095588544301,-0.17092455923557281,0.1760612577199936,0.11039486527442932
visual,2644,19460,16.761412575366062,0.008380594619144175,-0.18890979886054993,0.17646335065364838,0.11712464690208435
