sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
0,1,4,2,7,5,1,6,8
1,0,2,5,4,2,4,9,0
2,0,2,5,4,2,4,9,0
3,0,2,5,4,2,4,9,0
4,0,1,2,7,5,1,6,8
5,0,2,5,4,2,4,9,0
6,0,2,5,4,2,4,9,0
7,0,2,5,4,2,4,9,0
8,0,2,5,4,2,4,9,0
9,0,2,5,4,2,4,9,0
10,0,2,5,4,2,4,9,0
11,0,2,5,4,2,4,9,0
12,4,3,4,5,1,7,0,2
13,4,3,4,2,3,9,3,10
14,4,3,4,2,3,9,3,2
15,4,3,4,2,3,9,3,10
16,4,3,4,2,3,9,3,10
17,4,3,4,2,3,9,3,10
18,1,4,3,2,3,9,3,10
19,0,2,5,4,2,4,9,10
20,0,2,5,4,2,4,9,0
21,0,2,5,4,2,4,9,0
22,0,2,5,4,2,4,9,0
23,0,2,5,4,2,4,9,10
24,0,2,5,4,2,4,9,0
25,0,2,5,4,2,4,9,10
26,0,2,5,4,2,4,9,10
27,0,2,5,4,2,4,9,10
28,0,2,5,4,2,4,9,10
29,0,2,5,4,2,4,9,10
30,0,2,5,4,2,4,9,10
31,0,2,5,4,2,4,9,10
32,0,2,5,4,2,4,9,0
33,0,2,5,4,2,4,9,0
34,2,1,0,5,1,7,6,10
35,4,3,4,2,3,9,3,10
36,4,3,4,2,3,9,3,10
37,4,3,4,2,3,9,3,10
38,1,4,3,2,3,9,3,10
39,1,4,3,2,3,9,3,10
40,1,4,3,3,0,6,7,10
41,1,4,3,5,1,7,0,10
42,0,4,3,3,0,1,6,10
43,4,2,5,2,3,9,3,10
44,4,2,4,2,3,2,3,10
45,4,3,4,2,3,9,3,10
46,4,3,4,2,3,9,3,10
47,4,3,4,2,3,9,3,10
48,0,3,5,4,3,9,3,10
49,1,4,3,3,0,9,3,10
50,1,4,3,3,0,9,3,10
51,2,1,3,5,1,7,6,8
52,1,4,3,3,0,1,6,10
53,1,4,3,3,0,6,6,10
54,2,1,0,5,1,7,0,10
55,2,1,0,5,1,7,6,10
56,2,1,0,5,1,7,0,4
57,2,1,0,5,1,7,0,4
58,2,3,0,5,1,7,3,10
59,2,1,0,5,1,7,0,4
60,4,3,4,5,3,7,3,2
61,0,3,5,4,2,4,3,10
62,0,2,5,4,2,4,9,7
63,0,2,5,4,2,4,9,7
64,0,2,5,4,2,4,9,7
65,0,2,5,4,2,4,9,10
66,2,1,0,5,1,7,0,4
67,2,1,0,5,1,7,0,8
68,2,1,0,5,1,7,0,2
69,2,1,0,5,1,7,0,8
70,4,1,0,5,3,7,0,2
71,4,3,5,4,3,9,3,10
72,1,4,3,3,0,9,3,10
73,1,4,3,3,0,9,3,10
74,3,0,1,7,5,2,2,11
75,4,3,4,2,3,9,3,10
76,4,3,3,3,0,9,3,10
77,2,1,0,5,1,7,0,4
78,0,5,6,0,4,0,1,7
79,0,5,6,0,4,0,1,7
80,0,5,6,0,4,0,1,7
81,0,5,6,0,4,0,1,7
82,0,5,6,0,4,0,1,7
83,0,5,6,0,4,0,1,7
84,0,5,6,0,4,0,1,7
85,0,5,6,0,4,0,1,7
86,0,5,6,0,4,0,1,7
87,0,5,6,0,4,0,1,7
88,0,5,6,0,4,0,1,7
89,0,5,6,0,4,0,1,7
90,0,5,6,0,4,0,1,7
91,2,5,6,0,4,0,1,7
92,4,5,6,0,4,0,1,7
93,0,5,6,0,4,0,1,7
94,0,5,6,0,4,0,1,7
95,1,5,6,0,4,0,1,7
96,0,5,6,0,4,0,1,7
97,0,5,6,0,4,0,1,7
98,0,5,6,0,4,0,1,7
99,0,5,6,0,4,0,1,7
100,0,5,6,0,4,0,1,7
101,0,5,6,0,4,0,1,7
102,0,5,6,0,4,0,1,7
103,0,5,6,0,4,0,1,7
104,0,5,6,0,4,0,1,7
105,0,5,6,0,4,0,1,7
106,0,5,6,0,4,0,1,7
107,2,1,0,5,4,7,0,4
108,2,5,6,0,4,0,1,7
109,0,5,6,0,4,0,1,7
110,0,5,6,0,4,0,1,7
111,2,5,6,0,4,0,1,7
112,0,5,6,0,4,0,1,7
113,0,5,6,0,4,0,1,7
114,0,5,6,0,4,0,1,7
115,0,5,6,0,4,0,1,7
116,0,5,6,0,4,0,1,7
117,0,5,6,0,4,0,1,7
118,0,5,6,0,4,0,1,7
119,0,5,6,0,4,0,1,7
120,0,5,6,0,4,0,1,7
121,4,5,6,0,4,0,1,7
122,2,5,6,0,4,0,1,7
123,4,5,6,0,4,0,1,7
124,0,5,6,0,4,0,1,7
125,0,5,6,0,4,0,1,7
126,0,5,6,0,4,0,1,7
127,0,5,6,0,4,0,1,7
128,2,1,0,5,1,7,0,4
129,0,5,6,0,4,0,1,7
130,0,5,6,0,4,0,1,7
131,0,5,6,0,4,0,1,7
132,0,5,6,0,4,0,1,7
133,0,5,6,0,4,0,1,7
134,0,5,6,0,4,0,1,7
135,0,5,6,0,4,0,1,7
136,2,1,0,5,1,7,0,4
137,2,5,6,0,4,0,1,7
138,4,5,6,0,4,0,1,7
139,0,5,6,0,4,0,1,7
140,0,5,6,0,4,0,1,7
141,0,5,6,0,4,0,1,7
142,4,3,4,2,3,9,3,2
143,4,3,4,2,3,9,3,2
144,4,3,4,2,3,9,3,2
145,4,3,4,2,3,9,3,2
146,4,3,4,2,3,9,3,2
147,4,3,4,2,3,9,3,2
148,4,3,4,2,3,9,3,2
149,4,3,4,2,3,2,2,11
150,4,3,0,6,6,9,0,2
151,4,3,0,6,6,5,5,5
152,4,3,0,6,6,8,0,2
153,2,1,0,6,6,5,5,4
154,2,1,0,6,6,7,0,4
155,2,1,0,5,1,7,0,4
156,2,1,0,5,1,7,0,4
157,2,1,0,5,1,7,0,4
158,2,1,0,5,1,7,0,4
159,2,1,0,5,1,7,0,4
160,0,1,2,7,5,1,6,8
161,2,1,2,7,5,1,6,8
162,4,3,4,6,6,5,5,2
163,4,3,0,6,6,5,5,5
164,4,3,4,6,6,5,5,2
165,4,3,4,6,6,5,5,5
166,4,3,0,6,6,5,5,4
167,2,1,0,5,1,7,0,4
168,2,1,0,5,1,7,0,4
169,2,1,0,5,1,7,0,4
170,2,1,0,5,1,7,0,4
171,2,1,0,5,1,7,0,4
172,2,1,0,6,6,7,0,4
173,2,1,0,5,1,7,0,4
174,2,1,0,6,6,7,5,4
175,2,1,0,5,1,7,0,4
176,2,1,0,5,1,7,0,4
177,2,1,2,7,5,1,6,8
178,3,0,1,1,7,8,8,3
179,3,0,1,1,7,8,8,3
180,3,0,1,1,7,8,8,3
181,3,0,1,1,7,8,8,3
182,3,0,1,1,7,8,8,3
183,3,0,1,1,7,8,8,3
184,3,0,1,1,7,8,8,3
185,3,0,1,1,7,8,8,3
186,3,0,1,1,7,8,8,3
187,2,4,3,5,0,6,7,6
188,0,2,5,4,8,3,10,9
189,2,1,2,7,5,1,6,8
190,0,4,3,3,8,3,10,9
191,1,4,3,3,8,3,10,9
192,0,2,5,4,8,3,10,9
193,0,2,5,4,8,3,10,9
194,0,2,3,3,8,3,10,1
195,0,2,5,4,8,3,10,9
196,0,2,5,4,8,3,10,9
197,1,2,5,3,8,3,10,9
198,0,4,3,3,8,3,10,9
199,0,2,5,4,8,3,10,9
200,0,2,5,4,8,3,10,9
201,0,4,3,7,8,3,10,9
202,1,2,5,4,8,3,10,9
203,3,0,1,1,8,3,10,9
204,0,2,5,4,8,3,10,9
205,3,0,2,7,5,2,2,11
206,4,3,2,7,5,5,5,5
207,4,3,4,2,3,2,2,11
208,4,3,4,2,3,2,2,11
209,0,0,1,7,5,1,6,5
210,0,0,1,1,7,2,2,11
211,4,3,4,2,3,5,5,2
212,2,1,0,5,1,7,0,4
213,4,0,1,2,3,2,2,11
214,2,1,0,5,1,7,0,8
215,0,5,6,0,4,0,1,5
216,2,1,0,5,5,1,6,8
217,2,1,2,7,5,1,6,8
218,1,4,4,2,3,2,2,11
219,4,3,4,2,3,9,3,2
220,4,3,4,2,3,2,2,11
221,1,4,4,2,3,2,2,11
222,1,4,3,2,3,2,2,11
223,2,1,2,5,1,7,0,4
224,3,0,1,1,7,8,8,3
225,3,0,1,1,7,8,2,11
226,3,0,1,1,7,8,8,3
227,3,0,1,7,7,1,2,11
228,3,0,2,1,7,2,2,11
229,0,5,6,0,6,5,5,5
230,3,0,2,7,5,1,2,11
231,3,0,1,1,7,8,2,11
232,3,0,2,7,5,1,6,8
233,2,1,0,5,2,4,9,0
234,0,2,5,4,8,3,10,9
235,2,1,6,7,5,1,6,8
236,0,5,6,0,4,0,1,7
237,0,2,5,4,2,4,9,0
238,2,1,0,5,1,7,0,4
239,2,1,2,7,2,4,2,0
240,0,1,5,4,2,4,9,0
241,2,1,0,5,1,7,0,4
242,2,1,0,5,2,4,9,0
243,0,5,5,4,2,4,9,0
244,0,5,5,4,2,4,9,0
245,0,0,1,1,2,4,9,0
246,3,0,1,1,2,4,9,0
247,0,2,5,4,2,4,9,0
248,0,2,5,4,2,4,9,0
249,0,2,5,4,2,4,9,0
250,2,1,2,7,5,1,6,8
251,2,1,2,7,5,1,6,8
252,0,5,6,0,4,0,1,7
253,0,5,6,0,4,0,1,7
254,0,5,5,4,2,4,9,0
255,0,2,5,4,2,4,9,0
256,2,1,0,4,2,4,9,0
257,2,1,2,7,5,1,6,8
258,1,4,3,3,0,6,7,6
259,0,5,6,0,4,4,9,0
260,0,2,5,4,2,0,1,0
261,2,1,0,1,7,7,0,0
262,0,3,5,6,6,4,9,0
263,2,5,6,0,1,7,0,4
264,2,1,0,5,1,7,0,4
265,0,2,5,4,8,7,0,9
266,0,1,0,6,2,4,9,0
267,2,1,0,5,1,7,0,4
268,2,1,0,5,1,7,0,4
269,0,5,6,0,4,0,1,7
270,0,5,6,0,4,0,1,7
271,3,2,5,4,2,4,9,0
272,0,5,6,0,4,0,1,9
273,1,5,6,0,4,0,1,7
274,3,2,5,4,2,4,2,0
275,3,2,2,7,5,1,6,0
276,2,1,2,7,5,1,6,8
277,2,1,2,7,5,1,6,8
278,0,5,6,0,1,7,0,4
279,0,5,6,0,8,3,10,9
280,3,0,1,1,8,8,10,9
281,0,2,5,4,2,4,9,0
282,0,2,5,4,2,4,9,0
283,0,2,5,4,2,4,9,0
284,0,2,5,4,2,4,9,0
285,0,2,5,4,2,4,9,0
286,0,3,5,4,2,4,9,0
287,0,2,5,4,2,4,9,0
288,0,2,5,4,2,4,9,0
289,0,2,5,4,8,3,4,1
290,1,4,3,3,0,6,7,6
291,1,4,3,3,0,7,7,11
292,2,1,0,5,1,7,0,4
293,2,1,0,5,1,7,0,4
294,1,2,5,3,0,6,6,6
295,1,4,3,3,0,6,7,6
296,0,2,5,4,8,3,9,0
297,1,4,3,3,0,6,7,6
298,0,2,5,4,8,3,10,0
299,0,2,5,4,8,2,2,11
300,0,2,5,2,8,2,2,11
301,0,2,5,4,8,3,10,9
302,0,2,5,4,8,3,10,9
303,0,2,5,4,8,3,10,9
304,0,2,5,4,8,4,9,0
305,0,2,5,4,2,4,9,0
306,3,0,1,1,7,8,8,3
307,3,0,1,1,7,8,8,3
308,3,0,1,1,7,8,8,3
309,3,0,1,1,7,8,8,3
310,3,0,1,1,7,8,8,3
311,3,0,1,1,7,8,8,3
312,3,0,1,1,7,8,8,3
313,4,3,0,5,1,9,0,2
314,3,0,1,1,7,8,8,11
315,3,0,1,1,7,8,8,3
316,3,0,1,1,7,8,8,3
317,2,1,0,5,1,7,0,6
318,2,1,0,5,1,7,0,4
319,3,0,1,1,7,8,8,3
320,3,0,1,1,7,8,8,3
321,3,0,1,1,7,8,8,3
322,3,0,1,1,7,8,8,3
323,3,0,1,1,7,8,8,3
324,3,0,1,1,7,8,8,3
325,3,0,1,1,7,8,8,3
326,3,0,1,1,7,8,8,3
327,3,0,1,6,6,8,8,5
328,3,0,1,1,7,8,8,3
329,3,0,1,1,7,8,8,3
330,3,0,1,1,7,8,8,3
331,3,0,1,1,7,8,8,3
332,3,0,1,1,7,8,8,3
333,1,0,1,1,0,8,8,6
334,3,0,1,1,7,8,8,3
