k,mean_jaccard,min_jaccard,max_jaccard,n_runs,subsample_frac
5,0.527585631608963,0.3984329104423523,0.7752971053123474,50,0.8
6,0.48672448595364887,0.36476054787635803,0.6704422831535339,50,0.8
7,0.4753988981246948,0.3211991488933563,0.6928138136863708,50,0.8
8,0.4484225735068321,0.27402159571647644,0.6822699308395386,50,0.8
9,0.4205036891831292,0.26167386770248413,0.7731340527534485,50,0.8
10,0.4115029454231262,0.25123146176338196,0.7938483357429504,50,0.8
11,0.3995007168162953,0.2866460084915161,0.8063226938247681,50,0.8
12,0.38601131985584897,0.23530474305152893,0.7448919415473938,50,0.8
