band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
0,1.0,4.0,1-4Hz,0,ersp,4.756552523313849e-05,4.756552523313849e-05
0,1.0,4.0,1-4Hz,1,ersp,9.952660145809751e-05,9.952660145809751e-05
0,1.0,4.0,1-4Hz,2,ersp,0.00011989504522832308,0.00011989504522832308
0,1.0,4.0,1-4Hz,3,ersp,8.70335759627034e-05,8.70335759627034e-05
0,1.0,4.0,1-4Hz,4,ersp,6.559197939953878e-05,6.559197939953878e-05
0,1.0,4.0,1-4Hz,5,ersp,0.000129430534711888,0.000129430534711888
0,1.0,4.0,1-4Hz,6,ersp,0.00010867832974812458,0.00010867832974812458
0,1.0,4.0,1-4Hz,7,ersp,0.00011749573376396606,0.00011749573376396606
0,1.0,4.0,1-4Hz,8,ersp,0.0002252265567419057,0.0002252265567419057
0,1.0,4.0,1-4Hz,9,ersp,9.479200616081793e-05,9.479200616081793e-05
0,1.0,4.0,1-4Hz,10,ersp,0.00028169104714916406,0.00028169104714916406
0,1.0,4.0,1-4Hz,11,ersp,0.00039081728620287315,0.00039081728620287315
0,1.0,4.0,1-4Hz,12,ersp,0.00037901329646818224,0.00037901329646818224
0,1.0,4.0,1-4Hz,13,ersp,0.00036188949778904995,0.00036188949778904995
0,1.0,4.0,1-4Hz,14,ersp,0.00044641667939799705,0.00044641667939799705
0,1.0,4.0,1-4Hz,15,ersp,0.0006059857674061203,0.0006059857674061203
0,1.0,4.0,1-4Hz,16,ersp,0.000639590482311679,0.000639590482311679
0,1.0,4.0,1-4Hz,17,ersp,0.0006552898452514584,0.0006552898452514584
0,1.0,4.0,1-4Hz,18,ersp,0.0006358459840411872,0.0006358459840411872
0,1.0,4.0,1-4Hz,19,ersp,0.0004303484917580646,0.0004303484917580646
0,1.0,4.0,1-4Hz,20,ersp,0.00011672257210939893,0.00011672257210939893
0,1.0,4.0,1-4Hz,21,ersp,0.00013950837418449946,0.00013950837418449946
0,1.0,4.0,1-4Hz,22,ersp,5.2987208123440004e-05,5.2987208123440004e-05
0,1.0,4.0,1-4Hz,23,ersp,0.00013472643024318296,0.00013472643024318296
0,1.0,4.0,1-4Hz,24,ersp,0.00016486891291510157,0.00016486891291510157
0,1.0,4.0,1-4Hz,25,ersp,8.496789870999561e-05,8.496789870999561e-05
0,1.0,4.0,1-4Hz,26,ersp,0.00020118360481869907,0.00020118360481869907
0,1.0,4.0,1-4Hz,27,ersp,9.596299529796881e-05,9.596299529796881e-05
0,1.0,4.0,1-4Hz,28,ersp,8.478136859050774e-05,8.478136859050774e-05
0,1.0,4.0,1-4Hz,29,ersp,0.0001293644559988215,0.0001293644559988215
0,1.0,4.0,1-4Hz,30,ersp,0.00014535824056498042,0.00014535824056498042
0,1.0,4.0,1-4Hz,31,ersp,6.512810974765385e-05,6.512810974765385e-05
0,1.0,4.0,1-4Hz,32,ersp,0.00010692729849849331,0.00010692729849849331
0,1.0,4.0,1-4Hz,33,ersp,0.00015647163615589634,0.00015647163615589634
0,1.0,4.0,1-4Hz,34,ersp,0.00019343486519821207,0.00019343486519821207
0,1.0,4.0,1-4Hz,35,ersp,8.440639632916844e-05,8.440639632916844e-05
0,1.0,4.0,1-4Hz,36,ersp,7.386485935347232e-05,7.386485935347232e-05
0,1.0,4.0,1-4Hz,37,ersp,5.4051208145573715e-05,5.4051208145573715e-05
0,1.0,4.0,1-4Hz,38,ersp,4.6085263537518316e-05,4.6085263537518316e-05
0,1.0,4.0,1-4Hz,39,ersp,3.6859628355621015e-05,3.6859628355621015e-05
0,1.0,4.0,1-4Hz,40,ersp,6.222609999111724e-05,6.222609999111724e-05
0,1.0,4.0,1-4Hz,41,ersp,0.00010257601711068184,0.00010257601711068184
0,1.0,4.0,1-4Hz,42,ersp,7.410630427370007e-05,7.410630427370007e-05
0,1.0,4.0,1-4Hz,43,ersp,0.00010785942015572203,0.00010785942015572203
0,1.0,4.0,1-4Hz,44,ersp,3.947937781716753e-05,3.947937781716753e-05
0,1.0,4.0,1-4Hz,45,ersp,9.223938716288465e-05,9.223938716288465e-05
0,1.0,4.0,1-4Hz,46,ersp,0.00012351223340290014,0.00012351223340290014
0,1.0,4.0,1-4Hz,47,ersp,0.00017766804292601443,0.00017766804292601443
0,1.0,4.0,1-4Hz,48,ersp,0.00012316951663548086,0.00012316951663548086
0,1.0,4.0,1-4Hz,49,ersp,0.00010817338671618881,0.00010817338671618881
0,1.0,4.0,1-4Hz,50,ersp,5.3623474628507874e-05,5.3623474628507874e-05
0,1.0,4.0,1-4Hz,51,ersp,9.4691497552485e-05,9.4691497552485e-05
0,1.0,4.0,1-4Hz,52,ersp,7.994569127964344e-05,7.994569127964344e-05
0,1.0,4.0,1-4Hz,53,ersp,7.610161038462756e-05,7.610161038462756e-05
0,1.0,4.0,1-4Hz,54,ersp,9.143814778600182e-05,9.143814778600182e-05
0,1.0,4.0,1-4Hz,55,ersp,0.00010830461207218029,0.00010830461207218029
0,1.0,4.0,1-4Hz,56,ersp,6.875897955199007e-05,6.875897955199007e-05
0,1.0,4.0,1-4Hz,57,ersp,9.774536020997904e-05,9.774536020997904e-05
0,1.0,4.0,1-4Hz,58,ersp,5.02579453663523e-05,5.02579453663523e-05
0,1.0,4.0,1-4Hz,59,ersp,0.00012989779258818415,0.00012989779258818415
0,1.0,4.0,1-4Hz,60,ersp,6.683302546862352e-05,6.683302546862352e-05
0,1.0,4.0,1-4Hz,61,ersp,6.774642901359659e-06,6.774642901359659e-06
0,1.0,4.0,1-4Hz,62,ersp,0.00010076089166724135,0.00010076089166724135
0,1.0,4.0,1-4Hz,63,ersp,2.4653931481092877e-05,2.4653931481092877e-05
0,1.0,4.0,1-4Hz,64,ersp,0.00010201431346555453,0.00010201431346555453
0,1.0,4.0,1-4Hz,65,ersp,9.736183155615826e-05,9.736183155615826e-05
0,1.0,4.0,1-4Hz,66,ersp,6.478031413171558e-05,6.478031413171558e-05
0,1.0,4.0,1-4Hz,67,ersp,3.419323011167561e-05,3.419323011167561e-05
0,1.0,4.0,1-4Hz,68,ersp,9.855305808094175e-05,9.855305808094175e-05
0,1.0,4.0,1-4Hz,69,ersp,4.686268680886299e-05,4.686268680886299e-05
0,1.0,4.0,1-4Hz,70,ersp,8.169209980206618e-05,8.169209980206618e-05
0,1.0,4.0,1-4Hz,71,ersp,0.00011704352549539717,0.00011704352549539717
0,1.0,4.0,1-4Hz,72,ersp,3.994843726064386e-05,3.994843726064386e-05
0,1.0,4.0,1-4Hz,73,ersp,0.00010195452050340089,0.00010195452050340089
0,1.0,4.0,1-4Hz,74,ersp,2.864544118095145e-05,2.864544118095145e-05
0,1.0,4.0,1-4Hz,75,ersp,2.6024155357969362e-05,2.6024155357969362e-05
0,1.0,4.0,1-4Hz,76,ersp,4.692317439449853e-05,4.692317439449853e-05
0,1.0,4.0,1-4Hz,77,ersp,0.00013784219747443955,0.00013784219747443955
0,1.0,4.0,1-4Hz,78,ersp,3.496864756964837e-05,3.496864756964837e-05
0,1.0,4.0,1-4Hz,79,ersp,0.00012660181306246705,0.00012660181306246705
0,1.0,4.0,1-4Hz,80,ersp,9.977521666852682e-05,9.977521666852682e-05
0,1.0,4.0,1-4Hz,81,ersp,5.763887689306612e-05,5.763887689306612e-05
0,1.0,4.0,1-4Hz,82,ersp,7.059377864107612e-05,7.059377864107612e-05
0,1.0,4.0,1-4Hz,83,ersp,0.00013928879817963905,0.00013928879817963905
0,1.0,4.0,1-4Hz,84,ersp,5.513909528229275e-05,5.513909528229275e-05
0,1.0,4.0,1-4Hz,85,ersp,0.00013653189331536077,0.00013653189331536077
0,1.0,4.0,1-4Hz,86,ersp,8.070390725099498e-05,8.070390725099498e-05
0,1.0,4.0,1-4Hz,87,ersp,7.803964133201832e-05,7.803964133201832e-05
0,1.0,4.0,1-4Hz,88,ersp,0.0001531541781075431,0.0001531541781075431
0,1.0,4.0,1-4Hz,89,ersp,0.00010457340188677676,0.00010457340188677676
0,1.0,4.0,1-4Hz,90,ersp,0.0001547726978954519,0.0001547726978954519
0,1.0,4.0,1-4Hz,91,ersp,0.00012749679210953524,0.00012749679210953524
0,1.0,4.0,1-4Hz,92,ersp,0.00013604330650080187,0.00013604330650080187
0,1.0,4.0,1-4Hz,93,ersp,9.84085972585245e-05,9.84085972585245e-05
0,1.0,4.0,1-4Hz,94,ersp,6.799662276817079e-05,6.799662276817079e-05
0,1.0,4.0,1-4Hz,95,ersp,0.00015211871855412231,0.00015211871855412231
0,1.0,4.0,1-4Hz,96,ersp,8.298928250150276e-05,8.298928250150276e-05
0,1.0,4.0,1-4Hz,97,ersp,0.00012732720841336396,0.00012732720841336396
0,1.0,4.0,1-4Hz,98,ersp,0.00027922598586020003,0.00027922598586020003
0,1.0,4.0,1-4Hz,99,ersp,7.615940555037689e-05,7.615940555037689e-05
0,1.0,4.0,1-4Hz,100,ersp,0.0001961855183816916,0.0001961855183816916
0,1.0,4.0,1-4Hz,101,ersp,0.0001756289461125216,0.0001756289461125216
0,1.0,4.0,1-4Hz,102,ersp,4.845670115774998e-05,4.845670115774998e-05
0,1.0,4.0,1-4Hz,103,ersp,9.834608512728246e-05,9.834608512728246e-05
0,1.0,4.0,1-4Hz,104,ersp,4.1069241557357615e-05,4.1069241557357615e-05
0,1.0,4.0,1-4Hz,105,ersp,5.392696846156135e-05,5.392696846156135e-05
0,1.0,4.0,1-4Hz,106,ersp,3.113287598041454e-05,3.113287598041454e-05
0,1.0,4.0,1-4Hz,107,ersp,6.599094064090461e-05,6.599094064090461e-05
0,1.0,4.0,1-4Hz,108,ersp,0.00010824658515434129,0.00010824658515434129
0,1.0,4.0,1-4Hz,109,ersp,6.163413671251963e-05,6.163413671251963e-05
0,1.0,4.0,1-4Hz,110,ersp,5.720779951951607e-06,5.720779951951607e-06
0,1.0,4.0,1-4Hz,111,ersp,6.976018319357322e-05,6.976018319357322e-05
0,1.0,4.0,1-4Hz,112,ersp,4.30777522775309e-05,4.30777522775309e-05
0,1.0,4.0,1-4Hz,113,ersp,0.000122450565036102,0.000122450565036102
0,1.0,4.0,1-4Hz,114,ersp,0.0001115249880732536,0.0001115249880732536
0,1.0,4.0,1-4Hz,115,ersp,0.00011344878072788692,0.00011344878072788692
0,1.0,4.0,1-4Hz,116,ersp,0.00011735813518784621,0.00011735813518784621
0,1.0,4.0,1-4Hz,117,ersp,4.436356316673086e-06,4.436356316673086e-06
0,1.0,4.0,1-4Hz,118,ersp,6.105313902047004e-05,6.105313902047004e-05
0,1.0,4.0,1-4Hz,119,ersp,3.729369857635109e-05,3.729369857635109e-05
0,1.0,4.0,1-4Hz,120,ersp,3.018588040178748e-05,3.018588040178748e-05
0,1.0,4.0,1-4Hz,121,ersp,4.489196194128921e-05,4.489196194128921e-05
0,1.0,4.0,1-4Hz,122,ersp,0.0001100748164806104,0.0001100748164806104
0,1.0,4.0,1-4Hz,123,ersp,3.95953881934731e-05,3.95953881934731e-05
0,1.0,4.0,1-4Hz,124,ersp,5.027565118379292e-05,5.027565118379292e-05
0,1.0,4.0,1-4Hz,125,ersp,5.919497437452072e-05,5.919497437452072e-05
0,1.0,4.0,1-4Hz,126,ersp,9.837435687932522e-05,9.837435687932522e-05
0,1.0,4.0,1-4Hz,127,ersp,7.502931330867244e-05,7.502931330867244e-05
0,1.0,4.0,1-4Hz,128,ersp,9.882166402219367e-05,9.882166402219367e-05
0,1.0,4.0,1-4Hz,129,ersp,0.00016394728158043527,0.00016394728158043527
0,1.0,4.0,1-4Hz,130,ersp,0.00011897317506258674,0.00011897317506258674
0,1.0,4.0,1-4Hz,131,ersp,6.624715274097094e-05,6.624715274097094e-05
0,1.0,4.0,1-4Hz,132,ersp,0.00010886207893339739,0.00010886207893339739
0,1.0,4.0,1-4Hz,133,ersp,0.00010300174766144317,0.00010300174766144317
0,1.0,4.0,1-4Hz,134,ersp,8.976183030028589e-05,8.976183030028589e-05
0,1.0,4.0,1-4Hz,135,ersp,9.338816114970451e-05,9.338816114970451e-05
0,1.0,4.0,1-4Hz,136,ersp,4.3562965475690126e-05,4.3562965475690126e-05
0,1.0,4.0,1-4Hz,137,ersp,9.673704602357696e-05,9.673704602357696e-05
0,1.0,4.0,1-4Hz,138,ersp,9.471799999641552e-05,9.471799999641552e-05
0,1.0,4.0,1-4Hz,139,ersp,4.070709024904062e-05,4.070709024904062e-05
0,1.0,4.0,1-4Hz,140,ersp,0.00010047754945523787,0.00010047754945523787
0,1.0,4.0,1-4Hz,141,ersp,5.4472627576949965e-05,5.4472627576949965e-05
0,1.0,4.0,1-4Hz,142,ersp,6.638264557554616e-05,6.638264557554616e-05
0,1.0,4.0,1-4Hz,143,ersp,8.453300768644027e-05,8.453300768644027e-05
0,1.0,4.0,1-4Hz,144,ersp,0.00012773399636108936,0.00012773399636108936
0,1.0,4.0,1-4Hz,145,ersp,3.4907249269512525e-05,3.4907249269512525e-05
0,1.0,4.0,1-4Hz,146,ersp,0.00014124902251660932,0.00014124902251660932
