cluster_id,n_total,n_unknown,entropy_bits,purity,top_region,top_proportion,top_3_json,p_entropy_lower_tail,null_entropy_mean
0,7,5,1.0,0.5,lateralorbitofrontal,0.5,"[[""lateralorbitofrontal"", 0.5], [""superiortemporal"", 0.5]]",0.0,2.4468230148690053
1,43,25,3.086048612313038,0.2222222222222222,middletemporal,0.222,"[[""middletemporal"", 0.222], [""parsopercularis"", 0.167], [""supramarginal"", 0.167]]",0.0,3.7803781244386903
2,107,63,3.871379278161679,0.13636363636363635,postcentral,0.136,"[[""postcentral"", 0.136], [""middletemporal"", 0.114], [""insula"", 0.091]]",0.052,4.065566993113586
3,99,56,3.540367454009055,0.23255813953488372,middletemporal,0.233,"[[""middletemporal"", 0.233], [""postcentral"", 0.116], [""inferiortemporal"", 0.093]]",0.0,4.044968749853575
4,76,38,3.7679582777191767,0.15789473684210525,inferiortemporal,0.158,"[[""inferiortemporal"", 0.158], [""postcentral"", 0.132], [""middletemporal"", 0.132]]",0.048,3.984184555974266
5,111,63,3.709628908408583,0.16666666666666666,inferiortemporal,0.167,"[[""inferiortemporal"", 0.167], [""middletemporal"", 0.146], [""insula"", 0.104]]",0.0,4.060285206057223
6,175,107,3.735283843854741,0.14705882352941177,middletemporal,0.147,"[[""middletemporal"", 0.147], [""inferiortemporal"", 0.118], [""insula"", 0.103]]",0.0,4.127708146560033
7,31,20,3.277613436819116,0.18181818181818182,insula,0.182,"[[""insula"", 0.182], [""superiorfrontal"", 0.091], [""lateraloccipital"", 0.091]]",0.038,3.635215327640197
8,65,42,3.203365087509175,0.21739130434782608,middletemporal,0.217,"[[""middletemporal"", 0.217], [""superiortemporal"", 0.174], [""lateraloccipital"", 0.13]]",0.0,3.9405930287259836
9,72,41,3.563247423975141,0.16129032258064516,precentral,0.161,"[[""precentral"", 0.161], [""superiortemporal"", 0.129], [""middletemporal"", 0.129]]",0.004,3.9574390918630495
10,68,40,3.8248629576173565,0.14285714285714285,precentral,0.143,"[[""precentral"", 0.143], [""middletemporal"", 0.107], [""inferiortemporal"", 0.107]]",0.2,3.9405068365736824
11,85,50,3.474535960919433,0.2,postcentral,0.2,"[[""postcentral"", 0.2], [""inferiortemporal"", 0.171], [""insula"", 0.114]]",0.0,4.005318706144762
12,76,40,3.617861029749889,0.1388888888888889,supramarginal,0.139,"[[""supramarginal"", 0.139], [""posteriorcingulate"", 0.111], [""rostralmiddlefrontal"", 0.111]]",0.006,3.97404948892561
13,63,34,3.271221945782624,0.2413793103448276,middletemporal,0.241,"[[""middletemporal"", 0.241], [""inferiortemporal"", 0.172], [""insula"", 0.138]]",0.0,3.9258729566981336
14,146,56,4.082202247160472,0.12222222222222222,precentral,0.122,"[[""precentral"", 0.122], [""insula"", 0.122], [""postcentral"", 0.078]]",0.352,4.11129643920778
15,92,50,4.218883791465801,0.14285714285714285,middletemporal,0.143,"[[""middletemporal"", 0.143], [""lateralorbitofrontal"", 0.071], [""lateraloccipital"", 0.071]]",0.968,4.021026622143544
16,96,38,3.6037556781585374,0.1724137931034483,insula,0.172,"[[""insula"", 0.172], [""inferiortemporal"", 0.138], [""middletemporal"", 0.138]]",0.0,4.033002543370703
17,126,64,3.93000347350998,0.12903225806451613,middletemporal,0.129,"[[""middletemporal"", 0.129], [""postcentral"", 0.113], [""bankssts"", 0.097]]",0.082,4.081189240218991
