cluster_id,size,jaccard_stability,n_runs
0,7,0.9200000762939453,50
1,43,0.3732890486717224,50
2,107,0.26634103059768677,50
3,99,0.2725829780101776,50
4,76,0.6102877259254456,50
5,111,0.37842753529548645,50
6,175,0.22769390046596527,50
7,31,0.6255913972854614,50
8,65,0.3634134829044342,50
9,72,0.6809389591217041,50
10,68,0.18913081288337708,50
11,85,0.3270588219165802,50
12,76,0.5531228184700012,50
13,63,0.3397440016269684,50
14,146,0.2733566462993622,50
15,92,0.33735305070877075,50
16,96,0.34781578183174133,50
17,126,0.20494475960731506,50
