condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,perm_importance,perm_importance_std,importance
audio,0,1.0,4.0,1-4Hz,0,ersp,0.0004115268766893156,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,1,ersp,0.0006480961001821208,0.00010141987829614951,0.0003042596348884486,0.00010141987829614951
audio,0,1.0,4.0,1-4Hz,2,ersp,0.00013232591893321943,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,3,ersp,0.0002647842786163191,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,4,ersp,0.0002130668062503263,0.0005471956224349928,0.0006701750322251857,0.0005471956224349928
audio,0,1.0,4.0,1-4Hz,5,ersp,0.00043299240646440526,0.001020525901726832,0.0007329938252603998,0.001020525901726832
audio,0,1.0,4.0,1-4Hz,6,ersp,0.00043278611704615657,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,7,ersp,0.0001930552365706308,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,8,ersp,0.0006102649641916365,8.058017727639034e-05,0.00016116035455278067,8.058017727639034e-05
audio,0,1.0,4.0,1-4Hz,9,ersp,0.00034323863456551564,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,10,ersp,0.000589073908025499,-0.0002710395899249818,0.00023436595910211625,0.0
audio,0,1.0,4.0,1-4Hz,11,ersp,0.0007317519590602801,-0.00029985050002128143,0.0007666154101675832,0.0
audio,0,1.0,4.0,1-4Hz,12,ersp,0.00048005622095518695,0.0006047631952404541,0.0006179246513929729,0.0006047631952404541
audio,0,1.0,4.0,1-4Hz,13,ersp,0.0002928813748228723,0.0002476780185758809,0.00030334238300724084,0.0002476780185758809
audio,0,1.0,4.0,1-4Hz,14,ersp,0.0002279582468041872,0.0005763276970707443,0.0004439857379897415,0.0005763276970707443
audio,0,1.0,4.0,1-4Hz,15,ersp,0.0006617508397310588,0.00018575851393191068,0.0002837508170251632,0.00018575851393191068
audio,0,1.0,4.0,1-4Hz,16,ersp,0.00042338536131755506,0.0003095975232198511,0.0003095975232198511,0.0003095975232198511
audio,0,1.0,4.0,1-4Hz,17,ersp,0.0009174397105160458,0.0029364652039304494,0.0006840909411519504,0.0029364652039304494
audio,0,1.0,4.0,1-4Hz,18,ersp,0.0007401757084983211,0.0009438254164296112,0.001085062994934562,0.0009438254164296112
audio,0,1.0,4.0,1-4Hz,19,ersp,0.00020687194423128923,0.0004443234783792271,0.0004948122325583364,0.0004443234783792271
audio,0,1.0,4.0,1-4Hz,20,ersp,0.0002112013437491377,-7.276994320546404e-05,0.0003320319493568669,0.0
audio,0,1.0,4.0,1-4Hz,21,ersp,0.00010333418889346959,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,22,ersp,0.00025882719431811373,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,23,ersp,0.0001753854189082631,7.223942208465229e-05,0.00029116070133470477,7.223942208465229e-05
audio,0,1.0,4.0,1-4Hz,24,ersp,0.00016869012656477392,0.0008207934336524891,0.0006701750322251857,0.0008207934336524891
audio,0,1.0,4.0,1-4Hz,25,ersp,0.0003220030020422201,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,26,ersp,0.00022141523268110806,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,27,ersp,0.0006212339667836026,0.0,0.0,0.0
audio,0,1.0,4.0,1-4Hz,28,ersp,0.0005990781274347683,0.0009867244138969777,0.0009039090497064908,0.0009867244138969777
audio,0,1.0,4.0,1-4Hz,29,ersp,0.0006232011590126848,0.0005549955600354872,0.0006702204210888862,0.0005549955600354872
audio,1,4.0,8.0,4-8Hz,0,ersp,0.00012027424198698121,0.0,0.0,0.0
audio,1,4.0,8.0,4-8Hz,1,ersp,0.0014000857802824276,0.00036077455772948186,0.0004766679256081826,0.00036077455772948186
audio,1,4.0,8.0,4-8Hz,2,ersp,0.00024171423394259115,0.002557544757033181,0.0,0.002557544757033181
audio,1,4.0,8.0,4-8Hz,3,ersp,0.00019293919432272273,0.00018575851393191068,0.0002837508170251632,0.00018575851393191068
audio,1,4.0,8.0,4-8Hz,4,ersp,0.00029713427849429886,0.0,0.0,0.0
audio,1,4.0,8.0,4-8Hz,5,ersp,0.0004897334659325158,0.0008674348187631576,0.0005688145928772661,0.0008674348187631576
audio,1,4.0,8.0,4-8Hz,6,ersp,0.000225477723036863,6.464124111182912e-05,0.00019392372333548735,6.464124111182912e-05
audio,1,4.0,8.0,4-8Hz,7,ersp,0.0002324316545676348,6.191950464397022e-05,0.00018575851393191068,6.191950464397022e-05
audio,1,4.0,8.0,4-8Hz,8,ersp,9.906973588494114e-05,-2.5799793601644085e-05,7.739938080493225e-05,0.0
audio,1,4.0,8.0,4-8Hz,9,ersp,0.00024246389415139596,0.0,0.0,0.0
audio,1,4.0,8.0,4-8Hz,10,ersp,0.00028512551406504585,0.0005817711700064621,0.00019392372333548735,0.0005817711700064621
audio,1,4.0,8.0,4-8Hz,11,ersp,0.0007533765072415386,-0.0003484389707299362,0.00023146101240028113,0.0
audio,1,4.0,8.0,4-8Hz,12,ersp,0.0012783534439414067,6.488107474744708e-06,0.000783477759689171,6.488107474744708e-06
audio,1,4.0,8.0,4-8Hz,13,ersp,0.0006677796042155385,0.0005681624876671676,0.0004428706217884963,0.0005681624876671676
audio,1,4.0,8.0,4-8Hz,14,ersp,0.0006577037813783095,0.0008049535603715686,0.000396478280955593,0.0008049535603715686
audio,1,4.0,8.0,4-8Hz,15,ersp,0.0006153825197019203,0.0004334365325077916,0.0002837508170251632,0.0004334365325077916
audio,1,4.0,8.0,4-8Hz,16,ersp,0.0020138499838911277,0.0009011307219886411,0.0005803024944715516,0.0009011307219886411
audio,1,4.0,8.0,4-8Hz,17,ersp,0.0007596699084057003,-2.5799793601644085e-05,7.739938080493226e-05,0.0
audio,1,4.0,8.0,4-8Hz,18,ersp,0.0006143065594349219,0.0006166750665995147,0.000418156090373611,0.0006166750665995147
audio,1,4.0,8.0,4-8Hz,19,ersp,0.00021998976613643226,0.0,0.0,0.0
audio,1,4.0,8.0,4-8Hz,20,ersp,0.000337127271053105,0.0,0.0,0.0
audio,1,4.0,8.0,4-8Hz,21,ersp,0.0001889635131028137,6.191950464397022e-05,0.00018575851393191068,6.191950464397022e-05
audio,1,4.0,8.0,4-8Hz,22,ersp,0.0003717066747513582,-0.0008709263406604828,0.00039923410995110274,0.0
audio,1,4.0,8.0,4-8Hz,23,ersp,0.00016471358049648606,0.0002476780185758809,0.00030334238300724084,0.0002476780185758809
audio,1,4.0,8.0,4-8Hz,24,ersp,0.00011281187989178724,0.0,0.0,0.0
audio,1,4.0,8.0,4-8Hz,25,ersp,0.00018629380539233927,0.0,0.0,0.0
audio,1,4.0,8.0,4-8Hz,26,ersp,7.693367055201259e-05,0.0,0.0,0.0
audio,1,4.0,8.0,4-8Hz,27,ersp,0.00048568519789684965,0.0,0.0,0.0
audio,1,4.0,8.0,4-8Hz,28,ersp,0.0008368063736934299,0.00010319917440662074,0.00012639265958635487,0.00010319917440662074
audio,1,4.0,8.0,4-8Hz,29,ersp,0.0006843290322202174,0.0002735978112174964,0.0005471956224349928,0.0002735978112174964
audio,2,8.0,13.0,8-13Hz,0,ersp,0.000323135018001739,0.00018575851393191068,0.0002837508170251632,0.00018575851393191068
audio,2,8.0,13.0,8-13Hz,1,ersp,0.00033357309337868704,8.003746919588162e-05,0.00029259145037621015,8.003746919588162e-05
audio,2,8.0,13.0,8-13Hz,2,ersp,0.000701499064305323,0.0001462581402797425,0.00048459207149120016,0.0001462581402797425
audio,2,8.0,13.0,8-13Hz,3,ersp,0.0005989327813809175,0.0,0.0,0.0
audio,2,8.0,13.0,8-13Hz,4,ersp,0.0008135578960304769,-4.127966976260611e-05,0.0002515182168617893,0.0
audio,2,8.0,13.0,8-13Hz,5,ersp,0.0006443205079366836,0.0,0.0,0.0
audio,2,8.0,13.0,8-13Hz,6,ersp,0.0007804024171036183,0.0,0.0,0.0
audio,2,8.0,13.0,8-13Hz,7,ersp,0.000850696082618963,-0.00010402524035566519,0.00058180003456006,0.0
audio,2,8.0,13.0,8-13Hz,8,ersp,0.0004045927088604305,0.0003818369453044701,0.0002476780185758365,0.0003818369453044701
audio,2,8.0,13.0,8-13Hz,9,ersp,0.0005648952319181142,7.739938080496556e-05,0.00011822950709382225,7.739938080496556e-05
audio,2,8.0,13.0,8-13Hz,10,ersp,0.0015777394856518311,0.0017286583020411084,0.0008341725611758746,0.0017286583020411084
audio,2,8.0,13.0,8-13Hz,11,ersp,0.0006264466946042714,0.00012087026591458549,0.0001846323809410096,0.00012087026591458549
audio,2,8.0,13.0,8-13Hz,12,ersp,0.00043280340900899887,0.00018575851393191068,0.0002837508170251632,0.00018575851393191068
audio,2,8.0,13.0,8-13Hz,13,ersp,0.0009322171865111129,-0.0005069155960582883,0.0004352079181102325,0.0
audio,2,8.0,13.0,8-13Hz,14,ersp,0.0014257024166441125,-0.0010594611374375562,0.0009958173770454053,0.0
audio,2,8.0,13.0,8-13Hz,15,ersp,0.0013480480590955665,-1.7509310474972396e-05,0.0005755987144736846,0.0
audio,2,8.0,13.0,8-13Hz,16,ersp,0.0012837738705365914,0.0015719421879598072,0.0009114794243752262,0.0015719421879598072
audio,2,8.0,13.0,8-13Hz,17,ersp,0.0007139673356520918,0.0005521155830753632,0.00030531088116587674,0.0005521155830753632
audio,2,8.0,13.0,8-13Hz,18,ersp,0.0004527199028808237,8.771929824562541e-05,0.00019313691715392372,8.771929824562541e-05
audio,2,8.0,13.0,8-13Hz,19,ersp,0.00028528589830918006,0.0001367989056087482,0.0004103967168262446,0.0001367989056087482
audio,2,8.0,13.0,8-13Hz,20,ersp,0.00032519518198029554,0.0,0.0,0.0
audio,2,8.0,13.0,8-13Hz,21,ersp,0.0003112861250391762,0.0,0.0,0.0
audio,2,8.0,13.0,8-13Hz,22,ersp,0.0004455465923406613,0.000692857905412636,0.0005929132599783538,0.000692857905412636
audio,2,8.0,13.0,8-13Hz,23,ersp,0.0009393407950408759,0.0006446389808192121,0.0006100770474129357,0.0006446389808192121
audio,2,8.0,13.0,8-13Hz,24,ersp,0.0003270680443909502,0.00025856496444731647,0.00042878148550166615,0.00025856496444731647
