method,method_label,cluster,n,pct,n_gated,n_added,pct_added
kmeans,k-means,0,120,7.142857142857142,120,0,0.0
kmeans,k-means,1,137,8.154761904761905,137,0,0.0
kmeans,k-means,2,206,12.261904761904761,206,0,0.0
kmeans,k-means,3,113,6.726190476190476,113,0,0.0
kmeans,k-means,4,130,7.738095238095238,130,0,0.0
kmeans,k-means,5,146,8.69047619047619,146,0,0.0
kmeans,k-means,6,179,10.654761904761905,179,0,0.0
kmeans,k-means,7,85,5.059523809523809,85,0,0.0
kmeans,k-means,8,144,8.571428571428571,144,0,0.0
kmeans,k-means,9,49,2.9166666666666665,49,0,0.0
kmeans,k-means,10,242,14.404761904761903,242,0,0.0
kmeans,k-means,11,129,7.678571428571429,129,0,0.0
hierarchical,Ward,0,240,14.285714285714285,240,0,0.0
hierarchical,Ward,1,48,2.857142857142857,48,0,0.0
hierarchical,Ward,2,113,6.726190476190476,113,0,0.0
hierarchical,Ward,3,135,8.035714285714286,135,0,0.0
hierarchical,Ward,4,140,8.333333333333332,140,0,0.0
hierarchical,Ward,5,82,4.880952380952381,82,0,0.0
hierarchical,Ward,6,46,2.738095238095238,46,0,0.0
hierarchical,Ward,7,153,9.107142857142856,153,0,0.0
hierarchical,Ward,8,160,9.523809523809524,160,0,0.0
hierarchical,Ward,9,221,13.154761904761905,221,0,0.0
hierarchical,Ward,10,151,8.988095238095237,151,0,0.0
hierarchical,Ward,11,191,11.369047619047619,191,0,0.0
cnmf,convex NMF,0,101,6.011904761904762,101,0,0.0
cnmf,convex NMF,1,133,7.916666666666666,133,0,0.0
cnmf,convex NMF,2,180,10.714285714285714,180,0,0.0
cnmf,convex NMF,3,145,8.630952380952381,145,0,0.0
cnmf,convex NMF,4,182,10.833333333333334,182,0,0.0
cnmf,convex NMF,5,113,6.726190476190476,113,0,0.0
cnmf,convex NMF,6,198,11.785714285714285,198,0,0.0
cnmf,convex NMF,7,141,8.392857142857142,141,0,0.0
cnmf,convex NMF,8,101,6.011904761904762,101,0,0.0
cnmf,convex NMF,9,180,10.714285714285714,180,0,0.0
cnmf,convex NMF,10,97,5.773809523809524,97,0,0.0
cnmf,convex NMF,11,109,6.488095238095239,109,0,0.0
