method,method_label,neighbours_sharing_label,over_chance
kmeans,k-means,0.2557142857142857,2.661132963731533
hierarchical,Ward,0.2864285714285714,2.8259337561663136
cnmf,convex NMF,0.24773809523809523,2.672488522169069
