cluster_id,n_total,n_with_coords,n_missing,distance_mm,centroid_x,centroid_y,centroid_z,spread_x,spread_y,spread_z,metric,mirror_to,zone
0,1085,1026,59,51.321402061289625,-42.82585212071272,-13.125936147014357,-2.1236825161422903,15.17523619655505,26.52842120356465,26.443505114983274,mean_pairwise,left,articulation
1,954,908,46,48.3815127561288,-42.97359680630562,-16.27882882191798,-5.639318602598613,14.287653172433068,25.963081840842765,24.403683959571115,mean_pairwise,left,perception
2,1191,1103,88,52.41390715898207,-40.85676333675683,-10.82073618688252,-3.3936808210031777,14.848239170918704,28.181321934284902,26.538531356812978,mean_pairwise,left,pre_articulation
3,1381,1318,63,52.6508382815821,-40.54988329553459,-10.447760931371372,-3.341237964255563,14.646768389861936,29.086831389890218,25.869617658375933,mean_pairwise,left,reading
