sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,0,0,4,2,3,7,7,2,11,10,14,10,14,11,3,4,20,11,20,1,5,12,4,26,24,22
1,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
2,3,1,6,2,1,3,6,2,4,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
3,3,1,6,2,1,3,6,2,4,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
4,3,1,6,2,1,3,6,2,11,10,14,10,1,11,3,4,20,11,20,1,5,12,4,26,24,22
5,3,1,6,2,1,3,6,2,11,10,14,10,16,11,3,4,20,11,20,1,5,12,4,26,24,22
6,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
7,3,1,6,2,1,3,6,2,11,10,14,10,14,11,3,4,20,11,20,1,5,12,4,26,24,22
8,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
9,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
10,3,1,6,2,1,3,6,2,11,10,14,10,11,11,3,4,20,11,20,1,5,12,4,26,24,22
11,3,1,6,2,1,3,6,2,11,10,14,10,1,11,3,4,20,11,20,1,5,12,4,26,24,22
12,3,0,4,3,5,7,7,2,11,0,12,10,14,1,5,4,20,11,20,1,5,12,4,26,24,21
13,0,0,4,3,5,9,2,11,3,5,12,5,13,1,6,15,3,3,1,3,19,9,4,20,20,24
14,0,0,4,3,5,9,2,11,3,5,12,5,13,1,6,15,13,3,1,3,19,9,0,20,1,24
15,0,0,4,3,5,9,2,11,3,5,12,5,13,1,6,4,20,3,20,3,19,9,4,26,24,22
16,0,0,4,3,5,3,2,2,3,10,12,10,13,11,6,4,20,11,20,1,5,12,4,26,24,22
17,4,2,2,2,2,3,6,2,11,10,10,10,2,11,12,4,20,11,20,1,5,12,4,26,24,22
18,4,2,2,6,5,3,6,2,1,10,10,10,2,11,12,4,20,11,20,1,5,12,4,26,24,22
19,3,1,6,2,1,3,6,2,11,10,14,10,12,11,3,4,20,11,20,1,5,12,4,26,24,22
20,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
21,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
22,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
23,3,1,6,2,1,3,6,2,4,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
24,3,1,6,2,1,3,6,2,4,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
25,3,1,6,2,1,3,6,2,4,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
26,3,1,6,2,1,3,6,2,11,10,14,10,1,11,3,4,20,11,20,1,5,12,4,26,24,22
27,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
28,3,1,6,2,1,3,6,2,11,10,14,10,16,11,3,4,20,11,20,1,5,12,4,26,24,22
29,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
30,3,1,6,2,1,3,6,2,11,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
31,3,1,6,2,1,3,6,2,4,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
32,3,1,6,2,1,3,6,2,4,10,14,10,5,11,3,4,20,11,20,1,5,12,4,26,24,22
