sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,1,0,5,0,5,6,10,10,8,10,14,13,15,2,6,8,1,0,22,7,7,19,1,12,10,10
1,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
2,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
3,0,3,5,6,1,5,7,8,2,9,4,3,7,8,15,6,6,6,8,19,2,16,3,27,18,5
4,1,0,5,0,5,6,10,10,8,10,14,13,15,2,6,8,1,0,8,7,7,19,3,12,18,10
5,0,3,3,4,5,5,10,5,3,0,3,8,15,2,15,8,16,4,8,19,2,8,3,27,10,3
6,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
7,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
8,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
9,0,3,3,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
10,0,3,3,4,1,5,7,8,2,9,3,8,7,8,15,1,6,4,8,19,2,16,3,27,18,5
11,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
12,2,1,0,4,5,6,10,10,8,8,14,13,15,2,6,8,13,0,0,7,17,19,21,5,10,10
13,1,0,5,0,8,1,4,11,9,3,1,4,4,1,3,16,8,13,21,11,18,0,13,3,28,11
14,1,0,5,0,8,1,4,11,9,3,1,4,4,1,3,10,8,13,21,11,18,0,13,3,28,11
15,1,0,5,0,8,1,4,11,9,3,1,4,4,1,3,16,8,13,21,11,18,0,13,3,28,11
16,1,0,5,0,8,1,4,11,9,3,1,4,4,1,3,16,8,13,21,11,18,0,13,3,28,11
17,1,0,5,0,5,6,10,11,8,3,1,4,4,8,3,16,6,13,8,19,7,0,3,27,18,5
18,1,0,5,0,5,6,10,10,8,3,3,8,15,8,3,16,6,4,8,19,7,0,3,27,18,5
19,0,3,3,4,5,5,10,10,3,0,3,8,15,8,15,8,6,4,8,19,2,16,3,27,18,5
20,0,3,3,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
21,0,3,3,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
22,0,3,3,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
23,0,3,3,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
24,0,3,5,6,1,5,7,8,2,9,3,3,7,8,15,6,6,4,8,19,2,16,3,27,18,5
25,0,3,5,6,1,5,7,8,2,9,3,3,7,8,15,6,6,4,8,19,2,16,3,27,18,5
26,0,3,3,4,1,5,7,8,2,9,3,8,15,8,15,8,6,4,8,19,2,16,3,27,18,5
27,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
28,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
29,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
30,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
31,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
32,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
33,0,3,5,6,1,5,7,8,2,9,3,8,7,8,15,6,6,4,8,19,2,16,3,27,18,5
34,2,1,0,5,6,0,1,10,12,8,12,7,1,13,10,18,13,9,0,0,17,8,21,5,10,3
35,1,0,5,0,5,6,10,10,8,3,14,13,15,1,3,16,6,0,8,12,7,0,3,27,18,1
36,1,0,5,0,5,6,10,10,8,3,14,13,15,8,3,16,6,0,8,19,7,0,3,27,18,1
37,1,0,5,0,8,6,10,11,9,3,1,4,4,8,3,16,6,13,8,19,7,0,3,27,18,1
38,4,0,4,0,7,3,3,11,0,3,1,4,4,8,3,16,6,13,8,19,7,0,3,27,18,1
39,4,0,4,0,7,3,3,11,0,3,1,4,4,8,3,16,6,13,8,19,7,0,3,27,18,1
40,2,1,0,5,6,0,1,10,3,8,12,13,1,13,10,18,13,0,0,0,17,8,21,5,10,0
41,2,1,0,0,5,6,10,10,8,10,14,13,15,2,6,8,1,0,0,7,17,19,1,12,10,10
42,1,0,5,0,5,6,10,10,8,3,14,13,15,1,3,16,1,0,12,12,7,0,13,12,28,23
43,1,0,5,0,5,6,10,10,8,3,14,13,15,1,3,16,16,0,22,12,7,0,5,12,1,23
44,1,0,5,0,8,6,10,11,9,3,1,4,4,1,3,16,8,13,12,12,7,0,13,3,28,1
45,1,0,5,0,8,1,4,11,9,3,1,4,4,1,3,16,8,13,21,11,18,0,13,3,28,11
46,1,0,5,0,8,1,4,11,9,3,1,4,4,1,3,16,8,13,21,11,18,0,13,3,28,11
47,1,0,5,0,8,6,4,11,9,3,1,4,4,1,3,16,8,13,21,11,7,0,13,3,28,11
48,1,0,5,0,8,6,10,11,9,3,1,4,4,8,3,16,6,13,8,19,7,0,3,27,18,5
49,1,0,5,0,5,6,10,8,2,3,3,8,15,8,15,16,6,4,8,19,2,0,3,27,18,5
50,1,0,5,0,5,6,10,8,2,3,3,8,15,8,15,16,6,4,8,19,2,0,3,27,18,5
51,1,0,5,0,5,6,10,10,8,10,14,13,15,2,6,8,1,0,22,7,7,19,1,12,1,23
52,1,0,5,0,5,6,10,10,8,10,14,13,15,2,6,8,16,0,22,7,9,19,1,12,1,23
