sample_idx,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_19,k_20,k_21,k_22
97,0,0,3,2,1,0,2,2,3,6,6,5,1,19,0
98,0,0,3,2,1,0,2,2,3,1,6,5,1,19,5
99,2,2,0,5,10,0,2,2,2,1,6,5,1,19,0
100,2,2,0,2,10,0,2,2,3,1,6,5,1,19,0
101,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
102,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
103,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
104,2,2,0,5,10,0,2,4,2,1,4,5,11,19,0
105,2,2,0,5,10,0,2,2,2,1,4,5,11,19,0
106,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
107,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
108,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
109,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
110,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
111,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
112,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
113,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
114,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
115,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
116,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
117,2,2,0,2,1,5,0,2,3,6,6,5,1,19,3
118,2,2,0,5,10,0,2,4,12,12,6,5,1,19,0
119,2,2,0,5,10,0,2,4,12,12,1,5,9,19,0
120,2,2,0,5,10,0,2,2,2,1,4,5,11,19,0
121,2,2,0,5,10,0,2,4,2,1,4,5,11,19,0
122,2,2,0,5,10,0,2,2,2,1,4,5,11,19,0
123,2,2,0,5,10,0,2,4,2,1,4,5,11,19,0
124,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
125,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
126,0,0,3,2,1,5,0,0,7,6,6,5,1,0,3
127,0,0,3,2,1,5,0,2,3,6,6,5,1,19,3
128,2,2,0,5,10,5,0,2,3,6,6,5,1,19,0
129,2,2,0,5,10,5,0,2,3,6,6,5,1,19,0
130,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
131,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
132,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
133,0,2,3,2,1,5,0,0,7,6,6,5,1,0,3
134,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
135,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
136,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
137,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
138,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
139,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
140,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
141,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
142,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
143,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
144,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
145,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
146,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
147,0,0,3,2,1,5,0,2,3,6,6,5,1,19,3
148,0,0,3,2,1,5,0,2,3,6,6,5,1,19,3
149,2,2,0,5,10,0,2,2,2,1,4,5,11,19,0
150,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
151,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
152,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
153,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
154,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
155,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
156,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
157,0,0,3,2,1,5,0,2,3,6,6,9,1,4,5
158,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
159,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
160,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
161,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
162,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
163,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
164,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
165,0,0,3,2,1,5,0,2,3,6,6,5,1,4,3
166,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
167,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
168,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
169,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
170,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
171,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
172,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
173,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
174,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
175,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
176,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
177,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
178,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
179,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
180,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
181,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
182,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
183,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
184,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
185,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
186,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
187,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
188,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
189,0,0,3,2,1,5,0,2,3,6,6,9,1,4,5
190,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
191,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
192,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
193,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
194,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
195,0,0,3,0,1,5,0,2,3,6,0,5,1,4,5
196,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
197,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
198,0,0,3,2,1,5,0,0,3,6,6,5,1,4,5
199,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
200,0,0,3,2,1,5,0,0,3,6,6,5,0,0,3
201,1,1,1,3,0,1,10,3,1,3,2,1,3,1,1
202,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
203,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
204,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
205,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
206,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
207,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
208,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
209,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
210,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
211,0,0,3,2,1,5,0,2,3,6,6,5,1,19,3
212,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
213,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
214,0,0,3,2,0,5,10,0,7,3,6,0,0,0,3
215,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
216,1,1,1,3,2,1,10,3,1,3,2,1,3,1,1
217,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
218,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
219,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
220,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
221,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
222,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
223,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
224,0,0,3,2,1,5,0,0,3,6,6,5,0,0,3
225,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
226,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
227,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
228,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
229,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
230,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
231,2,2,0,2,10,11,5,0,7,12,6,0,9,0,3
232,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
233,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
234,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
235,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
236,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
237,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
238,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
239,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
240,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
241,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
242,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
243,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
244,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
245,0,0,3,2,1,5,0,2,3,6,6,5,1,0,5
246,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
247,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
248,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
249,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
250,0,0,3,2,1,5,0,0,3,6,6,5,0,0,3
251,0,0,3,2,1,5,0,0,3,6,6,5,0,0,3
252,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
253,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
254,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
255,0,0,3,2,1,5,0,2,3,6,6,5,1,0,5
256,0,0,3,2,1,5,0,2,3,6,6,5,1,0,5
257,0,0,3,2,1,5,0,2,3,6,6,5,1,0,5
258,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
259,0,0,3,2,1,5,0,0,3,6,6,5,0,0,3
260,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
261,0,0,3,2,1,5,0,0,3,6,6,5,0,0,3
262,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
263,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
264,0,0,3,2,1,5,0,2,3,6,6,5,1,0,5
265,0,0,3,2,1,5,0,2,3,6,6,5,1,0,5
266,0,0,3,2,1,5,0,2,3,6,6,5,1,0,5
267,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
268,0,0,3,2,1,5,2,2,3,6,6,5,1,19,5
269,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
270,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
271,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
272,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
273,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
274,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
275,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
276,0,0,3,0,1,5,0,2,3,6,6,5,1,4,5
277,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
278,0,0,3,0,1,5,0,2,3,6,0,5,1,4,5
279,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
