space,k,eta2,spread,bal,pat
raw dB,2,0.15741814276514232,1.421244945064565,0.17256317689530687,0.0
raw dB,3,0.1517072297595231,1.418865961758376,0.3257372654155496,0.0
raw dB,4,0.3391340813026198,1.6509669144895833,0.1997471554993679,0.0
raw dB,5,0.42672403389084534,1.6694187072302846,0.20851688693098386,0.0
raw dB,6,0.47437510541528516,1.9679690024887346,0.1527777777777778,0.0
raw dB,7,0.47687672539530057,2.047435062422519,0.23553719008264462,0.0
raw dB,8,0.48331449370886725,2.2589223122354096,0.16933638443935928,0.10775862068965517
raw dB,9,0.5124477106094194,2.081172821838741,0.27445652173913043,0.062192118226600986
raw dB,10,0.5650854193685256,2.379670080170654,0.08226221079691516,0.11145320197044335
raw dB,11,0.5513231423275584,2.3202312141770562,0.10365853658536585,0.07943349753694581
raw dB,12,0.551412040187603,2.348121587932099,0.08673469387755102,0.16810344827586207
raw dB,13,0.5475021899754062,2.1009904901355,0.19047619047619047,0.1440886699507389
raw dB,14,0.5606133734993617,2.4459045937083883,0.12546125461254612,0.24507389162561577
band-z → unit-norm,2,0.08497684731654642,1.2580043832396663,0.30862207896857374,0.0
band-z → unit-norm,3,0.09200261550609001,1.2862677368690958,0.4307692307692308,0.0
band-z → unit-norm,4,0.11601001337367567,1.3901430910334314,0.6984478935698448,0.0
band-z → unit-norm,5,0.10848055185300831,1.3726657723091396,0.23433874709976799,0.062192118226600986
band-z → unit-norm,6,0.16765643341896264,1.581860033308112,0.2650918635170604,0.062192118226600986
band-z → unit-norm,7,0.19301959536128743,1.5728329464400561,0.35172413793103446,0.06280788177339902
band-z → unit-norm,8,0.19750225713268832,1.8370106189941255,0.2616487455197133,0.10652709359605911
band-z → unit-norm,9,0.1956992302204299,1.8114213857284265,0.34831460674157305,0.2062807881773399
band-z → unit-norm,10,0.22824990891532193,1.9143712037956049,0.27467811158798283,0.18657635467980296
band-z → unit-norm,11,0.23938501452877936,1.9712466471704748,0.2682926829268293,0.22475369458128078
band-z → unit-norm,12,0.25148235951379727,1.9261869843457657,0.21011673151750973,0.2419950738916256
band-z → unit-norm,13,0.21444665220004822,1.9692167421518874,0.27040816326530615,0.2974137931034483
band-z → unit-norm,14,0.275481775061052,2.0172199704703324,0.29347826086956524,0.23583743842364532
