k,real_min,real_mean,null_min,null_sd,margin,z,n_degenerate
2,0.7945816525458469,0.949545133313696,0.8778045861335676,0.031710783231918255,-0.0832229335877207,-2.624436393736036,0
3,0.3911873737381825,0.8952606710455233,0.862187404014627,0.0033638021790735957,-0.4710000302764445,-140.02013352823255,0
4,0.6310301102393007,0.9123604016448772,0.8547159856779699,0.12176498683880774,-0.22368587543866925,-1.837029520931039,0
5,0.6009762926627802,0.8647263440338391,0.7047633146571681,0.05749076908082346,-0.10378702199438794,-1.8052815026439955,0
6,0.5679597188859549,0.8699261871420509,0.8413918357309876,0.013532135995491138,-0.27343211684503277,-20.20613131113517,0
7,0.6267552493006108,0.8959949034516987,0.8130679511699914,0.027784839831473125,-0.18631270186938065,-6.705552488315443,0
8,0.49181745541007205,0.6933744294878901,0.524910143789968,0.024560205809262325,-0.033092688379895985,-1.3474108741961692,0
9,0.7080116504116089,0.8367361895536314,0.7249830093904558,0.06438839968154596,-0.01697135897884694,-0.263577896993626,0
10,0.6508601160442631,0.8212615186694316,0.7429666775272862,0.054226074229287866,-0.0921065614830231,-1.6985659167131026,0
12,0.6111554205138556,0.7064483880276392,0.612032009013771,0.01737151891673113,-0.0008765884999153428,-0.050461246602395204,0
14,0.570300220504734,0.673441611745686,0.5657419505621607,0.015927371704186837,0.004558269942573245,0.2861909690583168,0
16,0.5282045398875308,0.608485607722072,0.5216116393704835,0.028531524530415558,0.0065929005170473065,0.23107424596323461,0
