k,row_fold,col_fold,err,var_explained
2,0,0,0.624325551638325,0.37567444836167496
2,0,1,0.6402975279253528,0.35970247207464723
2,0,2,0.5929355349704326,0.4070644650295674
2,0,3,0.5999694335818998,0.4000305664181002
2,1,0,0.6089835203195256,0.39101647968047437
2,1,1,0.6236663297114861,0.37633367028851394
2,1,2,0.5603331607227446,0.43966683927725536
2,1,3,0.5783480187106045,0.4216519812893955
2,2,0,0.6432685669861169,0.3567314330138831
2,2,1,0.6593078394800796,0.34069216051992035
2,2,2,0.6088740901903262,0.39112590980967377
2,2,3,0.6130250762664929,0.38697492373350706
2,3,0,0.6346570498671276,0.36534295013287243
2,3,1,0.6455237977441097,0.35447620225589027
2,3,2,0.5909483257213716,0.40905167427862843
2,3,3,0.6008636010029852,0.3991363989970148
3,0,0,0.5464149636637244,0.45358503633627556
3,0,1,0.5546340605322868,0.4453659394677132
3,0,2,0.5142373327197953,0.4857626672802047
3,0,3,0.5271308604545141,0.47286913954548593
3,1,0,0.537718329433167,0.462281670566833
3,1,1,0.5471184559685572,0.45288154403144276
3,1,2,0.4921444381907239,0.5078555618092762
3,1,3,0.5126669991674712,0.48733300083252884
3,2,0,0.5636787565048591,0.4363212434951409
3,2,1,0.5728181801338742,0.4271818198661258
3,2,2,0.5307480621274044,0.46925193787259556
3,2,3,0.5386964230603721,0.46130357693962787
3,3,0,0.5556950330065914,0.4443049669934086
3,3,1,0.5580433765095896,0.4419566234904104
3,3,2,0.5143190754456031,0.48568092455439693
3,3,3,0.5273699070954389,0.47263009290456115
4,0,0,0.5010767316434015,0.4989232683565985
4,0,1,0.5093528353752427,0.4906471646247573
4,0,2,0.4704657074747683,0.5295342925252318
4,0,3,0.48169820252489254,0.5183017974751074
4,1,0,0.49416426520483814,0.5058357347951619
4,1,1,0.4975085866978595,0.5024914133021405
4,1,2,0.45031095269381366,0.5496890473061864
4,1,3,0.46656899133371876,0.5334310086662812
4,2,0,0.5213495076262403,0.4786504923737597
4,2,1,0.5277172443025828,0.4722827556974172
4,2,2,0.4888123926776598,0.5111876073223403
4,2,3,0.49346960871424317,0.5065303912857568
4,3,0,0.5061391671724446,0.49386083282755544
4,3,1,0.5055545165487105,0.49444548345128947
4,3,2,0.4709094063801357,0.5290905936198643
4,3,3,0.4771775337592484,0.5228224662407517
5,0,0,0.46538919256090855,0.5346108074390914
5,0,1,0.465856962241982,0.5341430377580181
5,0,2,0.43892336754371614,0.5610766324562839
5,0,3,0.44447171467519814,0.5555282853248018
5,1,0,0.45261073615033726,0.5473892638496627
5,1,1,0.4534754504840406,0.5465245495159594
5,1,2,0.41992335590685487,0.5800766440931451
5,1,3,0.42773054536771926,0.5722694546322807
5,2,0,0.4842619756224467,0.5157380243775533
5,2,1,0.4973731816926757,0.5026268183073244
5,2,2,0.45530258689952074,0.5446974131004793
5,2,3,0.45469785747163194,0.5453021425283681
5,3,0,0.4639113450642195,0.5360886549357805
5,3,1,0.48320582452539373,0.5167941754746063
5,3,2,0.43138416564479215,0.5686158343552079
5,3,3,0.4359348973963321,0.5640651026036678
6,0,0,0.45238139907307623,0.5476186009269237
6,0,1,0.45640892983474785,0.5435910701652522
6,0,2,0.4287198729077415,0.5712801270922585
6,0,3,0.43354270185281785,0.5664572981471822
6,1,0,0.43679332066083676,0.5632066793391632
6,1,1,0.43716679435714656,0.5628332056428534
6,1,2,0.4067514140522747,0.5932485859477252
6,1,3,0.41279114222115193,0.5872088577788481
6,2,0,0.46554758196399526,0.5344524180360047
6,2,1,0.4673914167474807,0.5326085832525194
6,2,2,0.44112653394061385,0.5588734660593861
6,2,3,0.4410114215644125,0.5589885784355875
6,3,0,0.452333096567617,0.547666903432383
6,3,1,0.44806232572391713,0.5519376742760829
6,3,2,0.4225705518656985,0.5774294481343015
6,3,3,0.4238259005160055,0.5761740994839946
7,0,0,0.45346090655902527,0.5465390934409747
7,0,1,0.45704504063530954,0.5429549593646905
7,0,2,0.4303460141893827,0.5696539858106173
7,0,3,0.4334572500606884,0.5665427499393116
7,1,0,0.42768980643096366,0.5723101935690363
7,1,1,0.4268211400306439,0.5731788599693561
7,1,2,0.39926194677095245,0.6007380532290476
7,1,3,0.4042342688152243,0.5957657311847757
7,2,0,0.4613617025889362,0.5386382974110637
7,2,1,0.4573597049515937,0.5426402950484063
7,2,2,0.4386224380441227,0.5613775619558773
7,2,3,0.439178876516809,0.560821123483191
7,3,0,0.4423511573526299,0.55764884264737
7,3,1,0.4387948375595831,0.5612051624404168
7,3,2,0.4189422634758143,0.5810577365241857
7,3,3,0.420123391693873,0.579876608306127
8,0,0,0.44333180904849523,0.5566681909515048
8,0,1,0.45139179887863823,0.5486082011213618
8,0,2,0.4262003931600724,0.5737996068399276
8,0,3,0.43296138396980005,0.5670386160301999
8,1,0,0.4189521018982292,0.5810478981017708
8,1,1,0.43333178555051793,0.5666682144494821
8,1,2,0.39658193852798773,0.6034180614720123
8,1,3,0.40099302800799064,0.5990069719920094
8,2,0,0.4529872840646508,0.5470127159353493
8,2,1,0.463413045802454,0.536586954197546
8,2,2,0.4389978692962484,0.5610021307037516
8,2,3,0.4363943599870102,0.5636056400129899
8,3,0,0.44016938531951794,0.5598306146804821
8,3,1,0.44482319091905176,0.5551768090809482
8,3,2,0.4165064847563457,0.5834935152436542
8,3,3,0.41650315524707265,0.5834968447529274
9,0,0,0.44734204443187536,0.5526579555681246
9,0,1,0.4567221733891385,0.5432778266108615
9,0,2,0.43047044483254826,0.5695295551674517
9,0,3,0.43288178526987037,0.5671182147301297
9,1,0,0.42492548272394237,0.5750745172760576
9,1,1,0.4268604079584477,0.5731395920415523
9,1,2,0.394164192337468,0.605835807662532
9,1,3,0.40480627868942676,0.5951937213105732
9,2,0,0.4559489999083989,0.5440510000916011
9,2,1,0.46049483823429516,0.5395051617657048
9,2,2,0.4373060412856336,0.5626939587143664
9,2,3,0.43776198659040766,0.5622380134095923
9,3,0,0.44297193373115723,0.5570280662688427
9,3,1,0.4438623507000236,0.5561376492999763
9,3,2,0.4208276186749222,0.5791723813250778
9,3,3,0.4229738344551642,0.5770261655448359
10,0,0,0.4449481506242064,0.5550518493757937
10,0,1,0.4478148745433413,0.5521851254566588
10,0,2,0.43113151614136,0.56886848385864
10,0,3,0.43027806986283723,0.5697219301371628
10,1,0,0.42734550089449663,0.5726544991055034
10,1,1,0.4297996790110805,0.5702003209889195
10,1,2,0.40499069856392805,0.595009301436072
10,1,3,0.41050055321758844,0.5894994467824115
10,2,0,0.45629631970632284,0.5437036802936772
10,2,1,0.4621252826853519,0.5378747173146481
10,2,2,0.4395817962181088,0.5604182037818912
10,2,3,0.4428859453256959,0.5571140546743041
10,3,0,0.439939297473125,0.560060702526875
10,3,1,0.44120697468638975,0.5587930253136102
10,3,2,0.4184135976844459,0.5815864023155541
10,3,3,0.4240500140370039,0.5759499859629962
12,0,0,0.4522789921207344,0.5477210078792656
12,0,1,0.4543370313742318,0.5456629686257681
12,0,2,0.42975342590345844,0.5702465740965416
12,0,3,0.441296966870763,0.5587030331292371
12,1,0,0.43189764372590256,0.5681023562740974
12,1,1,0.4293678799859829,0.5706321200140171
12,1,2,0.40863219625816427,0.5913678037418357
12,1,3,0.4153437779529365,0.5846562220470635
12,2,0,0.46079701446899457,0.5392029855310054
12,2,1,0.4667990567851382,0.5332009432148618
12,2,2,0.44864445925580126,0.5513555407441988
12,2,3,0.44843225009348714,0.5515677499065128
12,3,0,0.4406070586506348,0.5593929413493652
12,3,1,0.4439081973582979,0.5560918026417021
12,3,2,0.4298002022906592,0.5701997977093408
12,3,3,0.43002381637979925,0.5699761836202007
14,0,0,0.4588020062499269,0.541197993750073
14,0,1,0.4601286649552626,0.5398713350447374
14,0,2,0.43800057004144727,0.5619994299585527
14,0,3,0.4492006118000466,0.5507993881999533
14,1,0,0.44025215924708294,0.5597478407529171
14,1,1,0.44120664501374973,0.5587933549862503
14,1,2,0.41807787540727287,0.5819221245927271
14,1,3,0.42173404728180397,0.578265952718196
14,2,0,0.46940201689179306,0.5305979831082069
14,2,1,0.4676720530924385,0.5323279469075615
14,2,2,0.4600764162449281,0.5399235837550719
14,2,3,0.4556252553896603,0.5443747446103397
14,3,0,0.45272593897570745,0.5472740610242925
14,3,1,0.4573156650421885,0.5426843349578114
14,3,2,0.435982941330588,0.564017058669412
14,3,3,0.44115077688589,0.55884922311411
16,0,0,0.4713387909309267,0.5286612090690733
16,0,1,0.47020368140576635,0.5297963185942336
16,0,2,0.4584874268653151,0.5415125731346849
16,0,3,0.4497459530767249,0.5502540469232751
16,1,0,0.4587605193030201,0.5412394806969799
