k,fold,held_out_err,var_explained
2,0,0.6208334020160119,0.3791665979839881
2,1,0.6401949339996262,0.35980506600037376
2,2,0.6258094146112169,0.37419058538878314
2,3,0.6228638389796732,0.37713616102032677
2,4,0.6456685096486974,0.3543314903513026
3,0,0.5586830097214724,0.44131699027852755
3,1,0.5757833887376151,0.42421661126238486
3,2,0.5664159196738343,0.4335840803261657
3,3,0.5565732770211257,0.4434267229788743
3,4,0.5837169019612952,0.4162830980387048
4,0,0.5207168780322426,0.47928312196775735
4,1,0.5309140618978943,0.46908593810210575
4,2,0.5267018163800108,0.4732981836199892
4,3,0.5140321341304686,0.48596786586953145
4,4,0.538971909836329,0.46102809016367097
5,0,0.4875749174257667,0.5124250825742334
5,1,0.48959081897737894,0.510409181022621
5,2,0.49059287692723796,0.509407123072762
5,3,0.46926013282883794,0.5307398671711621
5,4,0.5041492136160535,0.49585078638394653
6,0,0.4677700592820284,0.5322299407179716
6,1,0.4734066063951644,0.5265933936048356
6,2,0.47348743300739704,0.526512566992603
6,3,0.4541177380515483,0.5458822619484517
6,4,0.49116055638538947,0.5088394436146105
8,0,0.4467318152067083,0.5532681847932917
8,1,0.4547143292807048,0.5452856707192952
8,2,0.45108538648229113,0.5489146135177089
8,3,0.4331350323794267,0.5668649676205733
8,4,0.4613279610802054,0.5386720389197945
10,0,0.43081924733727606,0.5691807526627239
10,1,0.4322735252787521,0.5677264747212478
10,2,0.4283134739460622,0.5716865260539379
10,3,0.4135468264374327,0.5864531735625673
10,4,0.4418296509483503,0.5581703490516496
12,0,0.40738272515826063,0.5926172748417393
12,1,0.41847642596071893,0.581523574039281
12,2,0.41611297987996915,0.5838870201200308
12,3,0.3973157096482454,0.6026842903517546
12,4,0.42754021695141364,0.5724597830485864
14,0,0.3987684848205093,0.6012315151794907
14,1,0.41252749335328565,0.5874725066467144
14,2,0.39644619863142583,0.6035538013685742
14,3,0.3883010376124645,0.6116989623875355
14,4,0.41597584754517647,0.5840241524548235
16,0,0.38875145275061956,0.6112485472493805
16,1,0.40469647468752634,0.5953035253124737
16,2,0.3916902762373316,0.6083097237626685
16,3,0.3779196457333234,0.6220803542666766
16,4,0.4008315107743778,0.5991684892256222
18,0,0.3837306568396935,0.6162693431603066
18,1,0.39309527039195374,0.6069047296080463
18,2,0.37802639875958644,0.6219736012404136
18,3,0.36919313221515515,0.6308068677848448
18,4,0.40218171860324287,0.5978182813967572
19,0,0.38445314384803086,0.6155468561519691
19,1,0.3903539884174796,0.6096460115825204
19,2,0.37971339798205817,0.6202866020179418
19,3,0.36893259578147103,0.6310674042185289
19,4,0.39439181229457276,0.6056081877054272
20,0,0.37739563228796963,0.6226043677120303
20,1,0.3837471249134575,0.6162528750865425
20,2,0.3754947945421553,0.6245052054578447
20,3,0.37051881394431335,0.6294811860556866
20,4,0.3936191276121504,0.6063808723878497
21,0,0.3766737872211342,0.6233262127788658
21,1,0.38486199026916285,0.6151380097308372
21,2,0.3759220090188369,0.6240779909811631
21,3,0.36562564943440923,0.6343743505655908
21,4,0.38243658173236894,0.6175634182676311
22,0,0.3719297962261639,0.6280702037738362
22,1,0.37737109043902384,0.6226289095609762
22,2,0.37099871948340274,0.6290012805165972
22,3,0.3606230223017093,0.6393769776982907
22,4,0.383153628526482,0.616846371473518
23,0,0.36885781059359557,0.6311421894064044
23,1,0.37841283839107315,0.6215871616089268
23,2,0.37320112286584084,0.6267988771341592
23,3,0.35734956418189684,0.6426504358181031
23,4,0.3816359916965927,0.6183640083034073
