condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
audio,0,1.0,4.0,1-4Hz,0,ersp,0.002252242521740808,0.002252242521740808
audio,0,1.0,4.0,1-4Hz,1,ersp,0.0015562391753685433,0.0015562391753685433
audio,0,1.0,4.0,1-4Hz,2,ersp,0.0016142789549260144,0.0016142789549260144
audio,0,1.0,4.0,1-4Hz,3,ersp,0.0015885907475902405,0.0015885907475902405
audio,0,1.0,4.0,1-4Hz,4,ersp,0.001831126125053364,0.001831126125053364
audio,0,1.0,4.0,1-4Hz,5,ersp,0.0016352659271159245,0.0016352659271159245
audio,0,1.0,4.0,1-4Hz,6,ersp,0.0012247908851123518,0.0012247908851123518
audio,0,1.0,4.0,1-4Hz,7,ersp,0.0009232292033432044,0.0009232292033432044
audio,0,1.0,4.0,1-4Hz,8,ersp,0.0010193866598476912,0.0010193866598476912
audio,0,1.0,4.0,1-4Hz,9,ersp,0.0018445347816684091,0.0018445347816684091
audio,0,1.0,4.0,1-4Hz,10,ersp,0.001608663873155469,0.001608663873155469
audio,0,1.0,4.0,1-4Hz,11,ersp,0.0014084267803566705,0.0014084267803566705
audio,0,1.0,4.0,1-4Hz,12,ersp,0.0024074028291926064,0.0024074028291926064
audio,0,1.0,4.0,1-4Hz,13,ersp,0.0018875814983804265,0.0018875814983804265
audio,0,1.0,4.0,1-4Hz,14,ersp,0.0034056860643356802,0.0034056860643356802
audio,0,1.0,4.0,1-4Hz,15,ersp,0.001408480741206707,0.001408480741206707
audio,0,1.0,4.0,1-4Hz,16,ersp,0.0019219503309514734,0.0019219503309514734
audio,0,1.0,4.0,1-4Hz,17,ersp,0.0012893700655917516,0.0012893700655917516
audio,0,1.0,4.0,1-4Hz,18,ersp,0.001064506748346815,0.001064506748346815
audio,0,1.0,4.0,1-4Hz,19,ersp,0.0018208192100928737,0.0018208192100928737
audio,0,1.0,4.0,1-4Hz,20,ersp,0.0014184624009753188,0.0014184624009753188
audio,0,1.0,4.0,1-4Hz,21,ersp,0.0017073183573078016,0.0017073183573078016
audio,0,1.0,4.0,1-4Hz,22,ersp,0.001498655783986311,0.001498655783986311
