,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
7Networks_1,18,4,3,2,3,2,8
7Networks_2,2,62,8,4,13,4,52
7Networks_3,2,2,8,5,3,13,19
7Networks_4,0,11,10,8,10,5,25
7Networks_5,7,10,11,19,62,14,58
7Networks_6,4,8,14,17,10,19,42
7Networks_7,13,41,26,17,59,27,174
