sample_idx,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_19,k_20,k_21,k_22
0,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
1,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
2,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
3,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
4,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
5,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
6,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
7,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
8,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
9,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
10,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
11,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
12,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
13,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
14,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
15,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
16,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
17,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
18,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
19,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
20,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
21,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
22,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
23,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
24,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
25,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
26,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
27,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
28,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
29,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
30,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
31,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
32,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
33,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
34,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
35,6,7,8,9,10,11,12,13,13,14,15,17,18,18,19
36,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
37,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
38,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
39,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
40,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
41,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
42,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
43,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
44,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
45,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
46,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
47,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
48,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
49,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
50,5,5,6,7,8,9,10,11,11,12,13,15,16,16,17
51,5,5,6,7,8,9,10,11,11,12,13,15,16,16,17
52,5,5,6,7,8,9,10,11,11,12,13,15,16,16,17
53,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
54,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
55,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
56,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
57,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
58,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
59,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
60,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
61,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
62,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
63,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
64,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
65,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
66,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
67,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
68,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
69,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
70,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
71,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
72,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
73,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
74,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
75,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
76,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
77,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
78,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
79,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
80,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
81,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
82,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
83,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
84,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
85,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
86,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
87,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
88,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
89,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
90,6,6,7,8,9,10,11,12,12,13,14,16,17,17,18
91,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
92,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
93,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
94,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
95,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
96,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
97,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
98,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
99,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21
