k,cluster,condition,n,onset_pct,crosses,onset_stim_pct,onset_resp_pct,resp_carryover,peak_pct,peak_db,peak_stim_pct,peak_stim_db,peak_resp_pct,peak_resp_db,mean_db,auc_post_go
4,0,audio,176,13.833333333333332,True,13.833333333333332,50.166666666666664,True,40.83333333333333,-1.1648082579109045,40.83333333333333,-1.1648082579109045,53.166666666666664,-0.8861194028974172,-0.4003740741503666,-0.14971879889574005
4,0,picture,176,45.83333333333333,True,45.83333333333333,51.166666666666664,False,79.16666666666667,0.6472515262986153,47.166666666666664,-0.604682063975898,79.16666666666667,0.6472515262986153,-0.18253300775049258,-0.0038370632649402836
4,0,reading,176,8.833333333333332,True,8.833333333333332,50.166666666666664,True,42.49999999999999,-1.295233887853101,42.49999999999999,-1.295233887853101,52.49999999999999,-1.2824248136894312,-0.6210917315571353,-0.4133504597724616
4,1,audio,155,2.4999999999999996,True,2.4999999999999996,50.166666666666664,True,76.5,2.2612827370243687,3.833333333333333,1.512790404424642,76.5,2.2612827370243687,0.712417109711519,0.9135795169906221
4,1,picture,155,65.83333333333333,True,,65.83333333333333,False,74.5,2.0015407499286435,47.166666666666664,-0.2692489574392957,74.5,2.0015407499286435,0.3287949615055004,0.7818107741145109
4,1,reading,155,7.166666666666667,True,7.166666666666667,53.83333333333333,False,21.5,-1.3577551434537576,21.5,-1.3577551434537576,58.166666666666664,-1.1303123918972673,-0.23345695129104627,0.283531151255473
4,2,audio,605,100.0,False,,,False,71.83333333333333,0.47218340697721384,3.833333333333333,0.26899139199190397,71.83333333333333,0.47218340697721384,0.11115082497144026,0.18847570168254932
4,2,picture,605,67.83333333333333,True,,67.83333333333333,False,71.5,0.5586077882635045,26.5,0.37256710162472406,71.5,0.5586077882635045,0.2960496506605265,0.341539694152802
4,2,reading,605,2.4999999999999996,True,2.4999999999999996,69.83333333333333,False,76.5,0.6907469644877012,2.833333333333333,0.6089247746735595,76.5,0.6907469644877012,0.27437170022612406,0.3376264141957119
4,3,audio,180,13.166666666666666,True,13.166666666666666,56.166666666666664,False,66.5,1.6864705361425876,31.833333333333332,-0.9419629593897197,66.5,1.6864705361425876,0.11781787267779985,0.7581256015381215
4,3,picture,180,58.166666666666664,True,,58.166666666666664,False,72.16666666666667,2.1188535410496923,19.166666666666668,-0.2955341669595024,72.16666666666667,2.1188535410496923,0.4841443848903138,1.094590623024884
4,3,reading,180,2.4999999999999996,True,2.4999999999999996,60.166666666666664,False,75.5,2.4336424105697207,2.833333333333333,0.9278803755467885,75.5,2.4336424105697207,0.4658655485528262,1.0684759865233109
5,0,audio,83,1.8333333333333333,True,1.8333333333333333,55.166666666666664,False,4.166666666666667,2.780733847429594,4.166666666666667,2.780733847429594,76.83333333333333,1.6495722365756351,1.094617124780334,0.9891652828103641
5,0,picture,83,17.5,True,17.5,55.49999999999999,False,74.5,1.6835737520133156,26.5,0.6707830551130899,74.5,1.6835737520133156,0.7390203042066973,1.0834291106304976
5,0,reading,83,64.16666666666667,True,,64.16666666666667,False,82.5,1.4776457958372242,6.833333333333333,0.43537251986927883,82.5,1.4776457958372242,0.43855620483715807,0.7647796608083858
5,1,audio,167,9.833333333333332,True,9.833333333333332,56.49999999999999,False,66.83333333333333,1.5929213685546806,31.833333333333332,-1.062937389055412,66.83333333333333,1.5929213685546806,0.024050834212128034,0.6763300601706315
5,1,picture,167,58.166666666666664,True,,58.166666666666664,False,72.5,2.045422281779929,19.166666666666668,-0.31879468600357697,72.5,2.045422281779929,0.45623961206328334,1.0584415086140135
5,1,reading,167,2.4999999999999996,True,2.4999999999999996,60.166666666666664,False,75.83333333333333,2.3954992116746787,2.833333333333333,0.9837122789635098,75.83333333333333,2.3954992116746787,0.4188008213053002,1.0446800397553473
5,2,audio,633,100.0,False,,,False,71.83333333333333,0.47449638606762695,3.833333333333333,0.2507306017043396,71.83333333333333,0.47449638606762695,0.08787176679659847,0.17647047353555673
5,2,picture,633,68.16666666666667,True,,68.16666666666667,False,75.83333333333333,0.5526983050190318,26.5,0.3251537638236163,75.83333333333333,0.5526983050190318,0.27430174967867116,0.33673845277668296
5,2,reading,633,2.4999999999999996,True,2.4999999999999996,73.83333333333333,False,76.5,0.6731717535680805,2.833333333333333,0.5768074074301774,76.5,0.6731717535680805,0.23190149687536438,0.3076119329354692
5,3,audio,118,23.166666666666668,True,23.166666666666668,50.166666666666664,True,76.5,2.4644262634091456,49.83333333333333,1.102794223291389,76.5,2.4644262634091456,0.3527303648204576,0.8607854063953598
5,3,picture,118,14.166666666666666,True,14.166666666666666,52.166666666666664,False,74.5,2.1389396503820257,20.833333333333332,-0.7582985982456703,74.5,2.1389396503820257,0.07841856279535331,0.5927525688257835
5,3,reading,118,5.833333333333333,True,5.833333333333333,51.49999999999999,False,21.5,-2.018522934640868,21.5,-2.018522934640868,58.166666666666664,-1.685862804494672,-0.6197446281032288,-0.05141315189337575
5,4,audio,115,11.833333333333332,True,11.833333333333332,50.166666666666664,True,40.83333333333333,-1.3506850028643385,40.83333333333333,-1.3506850028643385,52.83333333333333,-1.0977326620775072,-0.5539342691887624,-0.37027479914534944
5,4,picture,115,34.83333333333333,True,34.83333333333333,50.166666666666664,True,58.166666666666664,-0.7886586467775961,47.166666666666664,-0.7783139553672694,58.166666666666664,-0.7886586467775961,-0.30716226800898955,-0.22279493817313328
5,4,reading,115,6.166666666666667,True,6.166666666666667,50.166666666666664,True,52.49999999999999,-1.4096803459723521,42.49999999999999,-1.3591122744200022,52.49999999999999,-1.4096803459723521,-0.6578345947238963,-0.5113267341193574
6,0,audio,125,2.1666666666666665,True,2.1666666666666665,62.166666666666664,False,3.833333333333333,2.2341862548589706,3.833333333333333,2.2341862548589706,76.83333333333333,1.1702737078368664,0.8059567824961078,0.683233044246736
6,0,picture,125,62.49999999999999,True,,62.49999999999999,False,81.5,1.1945126444399357,15.499999999999998,-0.16451457633636893,81.5,1.1945126444399357,0.3701527817990439,0.7164053216192362
6,0,reading,125,68.16666666666667,True,,68.16666666666667,False,83.16666666666667,1.2079218854904175,36.166666666666664,-0.22807449356094003,83.16666666666667,1.2079218854904175,0.24511607248008355,0.5177381739240972
6,1,audio,128,19.833333333333332,True,19.833333333333332,50.166666666666664,True,76.5,2.386685088276863,49.83333333333333,1.0370482408907264,76.5,2.386685088276863,0.31697179760166594,0.8377204541866892
6,1,picture,128,14.166666666666666,True,14.166666666666666,52.166666666666664,False,74.5,2.077106939163059,20.833333333333332,-0.7763232729776064,74.5,2.077106939163059,0.0574465353977782,0.5718539294274537
6,1,reading,128,5.833333333333333,True,5.833333333333333,51.49999999999999,False,21.5,-1.9194727438443806,21.5,-1.9194727438443806,58.166666666666664,-1.6158028739737347,-0.5876228551626531,-0.019912716195651305
6,2,audio,156,13.166666666666666,True,13.166666666666666,56.166666666666664,False,66.5,1.7436723885818934,31.833333333333332,-0.9719153272513396,66.5,1.7436723885818934,0.11404878954524288,0.7699829760923197
6,2,picture,156,57.49999999999999,True,,57.49999999999999,False,72.16666666666667,2.2176161494392614,19.166666666666668,-0.2642752290486943,72.16666666666667,2.2176161494392614,0.5395734723499924,1.1679357074794252
6,2,reading,156,2.4999999999999996,True,2.4999999999999996,59.83333333333333,False,74.16666666666667,2.5037628607108044,2.833333333333333,0.9767334883520048,74.16666666666667,2.5037628607108044,0.502164244373034,1.1360815135415194
6,3,audio,70,3.1666666666666665,True,3.1666666666666665,50.166666666666664,True,56.83333333333333,0.8909907173631447,4.166666666666667,0.8193612728800093,56.83333333333333,0.8909907173631447,0.40141580441170993,0.4587898801766694
6,3,picture,70,4.833333333333333,True,4.833333333333333,50.166666666666664,True,26.833333333333332,1.9209324718586036,26.833333333333332,1.9209324718586036,54.83333333333333,1.3699274499501501,1.0273622531163085,0.6309998531262744
6,3,reading,70,1.5,True,1.5,50.166666666666664,True,2.4999999999999996,1.4235148242009537,2.4999999999999996,1.4235148242009537,63.49999999999999,0.8773203459701368,0.5084278786870172,0.3978479538664244
6,4,audio,91,9.833333333333332,True,9.833333333333332,50.166666666666664,True,40.83333333333333,-1.5053602742686212,40.83333333333333,-1.5053602742686212,52.83333333333333,-1.2496201952632804,-0.6411596822121745,-0.4648428950211622
6,4,picture,91,29.166666666666668,True,29.166666666666668,50.166666666666664,True,58.166666666666664,-0.9287835116815436,47.166666666666664,-0.872863827744028,58.166666666666664,-0.9287835116815436,-0.3684598440263626,-0.3079680657473622
6,4,reading,91,1.5,True,1.5,50.166666666666664,True,52.49999999999999,-1.6271358215874367,46.166666666666664,-1.485557347208589,52.49999999999999,-1.6271358215874367,-0.7488272620965948,-0.6157423321554018
6,5,audio,546,100.0,False,,,False,71.83333333333333,0.38587164899868204,24.5,-0.2636553067038085,71.83333333333333,0.38587164899868204,-0.0008239801411174478,0.1157150974727458
6,5,picture,546,68.5,True,,68.5,False,71.5,0.5273374004750905,35.83333333333333,0.21006923352326387,71.5,0.5273374004750905,0.19947291162088537,0.29866728880642096
6,5,reading,546,2.4999999999999996,True,2.4999999999999996,73.5,False,76.5,0.6677497582464912,2.833333333333333,0.5603317529898676,76.5,0.6677497582464912,0.18890957654479967,0.2867643607377155
7,0,audio,112,23.166666666666668,True,23.166666666666668,50.166666666666664,True,76.5,2.5709010721849546,49.83333333333333,1.154715281645102,76.5,2.5709010721849546,0.363221371456837,0.8853951184667986
7,0,picture,112,14.166666666666666,True,14.166666666666666,52.166666666666664,False,74.5,2.1919798430587565,20.833333333333332,-0.7779700676411656,74.5,2.1919798430587565,0.07975526788737476,0.5966916998514818
7,0,reading,112,5.833333333333333,True,5.833333333333333,51.49999999999999,False,21.5,-2.09354754537344,21.5,-2.09354754537344,58.166666666666664,-1.7446740860385554,-0.6441618828964677,-0.065341883942192
7,1,audio,165,9.833333333333332,True,9.833333333333332,56.166666666666664,False,66.5,1.6038719393087155,31.833333333333332,-1.0726382999934934,66.5,1.6038719393087155,0.022776654929585808,0.6741514130712217
7,1,picture,165,58.166666666666664,True,,58.166666666666664,False,72.5,2.067428376367598,19.5,-0.30540779751520886,72.5,2.067428376367598,0.46347413176404034,1.0645405687927811
7,1,reading,165,2.4999999999999996,True,2.4999999999999996,60.166666666666664,False,75.83333333333333,2.427039443543463,2.833333333333333,1.0083258760574554,75.83333333333333,2.427039443543463,0.4233135605705201,1.047515057359136
7,2,audio,66,9.499999999999998,True,9.499999999999998,50.166666666666664,True,40.83333333333333,-1.842324248656179,40.83333333333333,-1.842324248656179,53.49999999999999,-1.4829033492979677,-0.7715952382110697,-0.6031984133857071
7,2,picture,66,24.5,True,24.5,50.166666666666664,True,57.166666666666664,-1.2190227585661253,47.166666666666664,-1.131506921723485,57.166666666666664,-1.2190227585661253,-0.4680683789561497,-0.44198568426406476
7,2,reading,66,1.5,True,1.5,50.166666666666664,True,52.49999999999999,-1.8822228475050493,46.166666666666664,-1.6373541784105878,52.49999999999999,-1.8822228475050493,-0.8450853814463327,-0.7281756939434545
7,3,audio,313,100.0,False,,,False,71.5,0.44791755418682966,46.49999999999999,0.21979426429606974,71.5,0.44791755418682966,0.08235289353571962,0.13857817556745014
7,3,picture,313,56.83333333333333,True,,56.83333333333333,False,62.49999999999999,0.5753931573468645,35.166666666666664,0.49891569140230896,62.49999999999999,0.5753931573468645,0.35119917289750713,0.35630391959997365
7,3,reading,313,2.1666666666666665,True,2.1666666666666665,58.166666666666664,False,76.16666666666667,0.8404868307654351,2.833333333333333,0.7711179224155343,76.16666666666667,0.8404868307654351,0.4728750302781422,0.5193308412431151
7,4,audio,12,1.5,True,1.5,50.49999999999999,False,4.5,2.666320356229941,4.5,2.666320356229941,59.166666666666664,1.9321939647197723,0.8348960065656744,0.9255805150217365
7,4,picture,12,3.833333333333333,True,3.833333333333333,50.166666666666664,True,18.166666666666668,4.623542249202728,18.166666666666668,4.623542249202728,50.166666666666664,2.3389712870121,1.9985511591755736,0.8013635105244046
7,4,reading,12,1.1666666666666667,True,1.1666666666666667,50.166666666666664,False,4.833333333333333,3.3948148488998413,4.833333333333333,3.3948148488998413,63.83333333333333,0.9704361390322447,0.5266049424535999,0.05192800943890081
7,5,audio,129,2.1666666666666665,True,2.1666666666666665,61.49999999999999,False,3.833333333333333,2.2089604997588683,3.833333333333333,2.2089604997588683,76.83333333333333,1.3035781777702098,0.8493167273196135,0.7674535627158066
7,5,picture,129,59.83333333333333,True,,59.83333333333333,False,78.83333333333333,1.3199676350625449,26.5,0.21240789423581183,78.83333333333333,1.3199676350625449,0.4224984898553535,0.8072781428072356
7,5,reading,129,66.5,True,,66.5,False,83.16666666666667,1.2926184768940128,28.5,0.2550948124465554,83.16666666666667,1.2926184768940128,0.3214116396927869,0.6065612642556253
7,6,audio,319,100.0,False,,,False,69.16666666666667,0.4248638282605552,31.5,-0.3895238087750493,69.16666666666667,0.4248638282605552,-0.03278507956040433,0.130636797673706
7,6,picture,319,73.83333333333333,True,,73.83333333333333,False,82.16666666666667,0.5894299716393823,3.4999999999999996,-0.16157956322148548,82.16666666666667,0.5894299716393823,0.13219394560321923,0.2682670705457037
7,6,reading,319,79.83333333333333,True,,79.83333333333333,False,80.16666666666667,0.5202730741325567,49.83333333333333,-0.45553037105858046,80.16666666666667,0.5202730741325567,-0.10458781056112502,0.027915722612680795
8,0,audio,70,9.499999999999998,True,9.499999999999998,50.166666666666664,True,40.83333333333333,-1.7783708770759403,40.83333333333333,-1.7783708770759403,53.49999999999999,-1.4533482761787517,-0.7595032135582275,-0.5865962388247372
8,0,picture,70,24.5,True,24.5,50.166666666666664,True,56.83333333333333,-1.1897635939930167,47.166666666666664,-1.1028897865010159,56.83333333333333,-1.1897635939930167,-0.4638035271340912,-0.43204444983612583
8,0,reading,70,1.5,True,1.5,50.166666666666664,True,52.49999999999999,-1.8161630413361958,46.166666666666664,-1.5840801886149816,52.49999999999999,-1.8161630413361958,-0.8016606982888271,-0.6917463908794536
8,1,audio,123,13.166666666666666,True,13.166666666666666,57.49999999999999,False,75.16666666666667,1.7340284144369567,34.166666666666664,-0.9361466509025029,75.16666666666667,1.7340284144369567,0.19298020747114988,0.8950984103072117
8,1,picture,123,62.49999999999999,True,,62.49999999999999,False,78.16666666666667,1.9068598332928448,20.5,-0.44415021532809557,78.16666666666667,1.9068598332928448,0.30596882282042964,0.8699630612013698
8,1,reading,123,2.4999999999999996,True,2.4999999999999996,50.49999999999999,False,77.83333333333333,2.349060392476679,2.833333333333333,0.9590133082001557,77.83333333333333,2.349060392476679,0.38354278942059644,0.9806686695966975
8,2,audio,109,9.166666666666666,True,9.166666666666666,50.166666666666664,True,76.5,2.5776994309704238,49.83333333333333,1.1638866656143732,76.5,2.5776994309704238,0.3708955743369579,0.8722359451873207
8,2,picture,109,14.166666666666666,True,14.166666666666666,52.166666666666664,False,74.5,2.1773939192841905,20.833333333333332,-0.7691033660442731,74.5,2.1773939192841905,0.08728096120859652,0.5930248602406588
8,2,reading,109,5.833333333333333,True,5.833333333333333,51.83333333333333,False,21.5,-2.1286531342278927,21.5,-2.1286531342278927,58.166666666666664,-1.7583831980687763,-0.6644887797296988,-0.0960235455037597
