k,real_min,real_mean,null_min,null_sd,margin,z,n_degenerate
2,0.8753423156070664,0.9648728489076733,0.9409579580038077,0.007625106049242745,-0.06561564239674123,-8.605210468286872,0
3,0.8230245300843584,0.9485332094650917,0.9112007293201794,0.008957765046968968,-0.08817619923582098,-9.843549007311495,0
4,0.5308794187566016,0.9562851054148837,0.956354933736598,0.015567581118798055,-0.42547551497999636,-27.33086866438288,0
5,0.61065096456091,0.912071592735144,0.9168466093021774,0.009900234634968624,-0.3061956447412675,-30.928119992202376,0
6,0.466802434499244,0.8654312785929733,0.7996004225321441,0.17003212929659756,-0.3327979880329001,-1.9572653086781029,0
7,0.6818734646785166,0.8572325027101831,0.7348372415110762,0.08673122689272722,-0.052963776832559595,-0.6106656014225118,0
8,0.5484157744534363,0.7469471247733411,0.6044802004420038,0.04163878497342116,-0.056064425988567534,-1.346447213201695,0
9,0.6615784862737016,0.7725699959188468,0.5980349200481136,0.038063043727322804,0.06354356622558799,1.6694294518537016,0
10,0.5346010995694497,0.6941135132303615,0.5461133235864117,0.02630367197708486,-0.011512224016962058,-0.43766604248225255,0
12,0.5321292831115794,0.650134608238598,0.5394900812171952,0.02964452577357573,-0.007360798105615851,-0.2483021034587456,0
14,0.48994591814956184,0.6079692505257475,0.5222924930665396,0.0175671030788924,-0.03234657491697773,-1.8413152568019868,0
16,0.5180308020256574,0.6012286108918375,0.49512159372623704,0.015375542836760328,0.02290920829942039,1.489977202277915,0
