k,row_fold,col_fold,err,var_explained
2,0,0,0.7528026150213845,0.24719738497861554
2,0,1,0.734854104923227,0.265145895076773
2,0,2,0.7307563892131291,0.26924361078687087
2,0,3,0.7613716925035242,0.2386283074964758
2,1,0,0.739391276567449,0.26060872343255104
2,1,1,0.7241416190048487,0.27585838099515125
2,1,2,0.7165284225001501,0.28347157749984986
2,1,3,0.7500489667189857,0.2499510332810143
2,2,0,0.7388047400099292,0.26119525999007076
2,2,1,0.7223486107091889,0.2776513892908111
2,2,2,0.7165780997824136,0.2834219002175864
2,2,3,0.7538048475776395,0.24619515242236045
2,3,0,0.7719832546858199,0.22801674531418015
2,3,1,0.7512929644382926,0.24870703556170737
2,3,2,0.745044481653009,0.25495551834699104
2,3,3,0.7737627395105698,0.22623726048943016
3,0,0,0.6878220602138537,0.3121779397861463
3,0,1,0.6725748106638908,0.3274251893361092
3,0,2,0.6530165423147583,0.34698345768524175
3,0,3,0.6790690341953574,0.32093096580464264
3,1,0,0.6792724991415945,0.3207275008584055
3,1,1,0.670300072638456,0.32969992736154397
3,1,2,0.6514295754610286,0.34857042453897136
3,1,3,0.6771223262420714,0.32287767375792864
3,2,0,0.6862610901119978,0.31373890988800224
3,2,1,0.6736524804039205,0.32634751959607955
3,2,2,0.6570339184959627,0.3429660815040373
3,2,3,0.6878503974447495,0.3121496025552505
3,3,0,0.7233820612148337,0.2766179387851663
3,3,1,0.7086470589985384,0.2913529410014616
3,3,2,0.6910415176613881,0.3089584823386119
3,3,3,0.7153222241954411,0.2846777758045589
4,0,0,0.6453984230126247,0.35460157698737527
4,0,1,0.6245166202353091,0.3754833797646909
4,0,2,0.6161820941738476,0.3838179058261524
4,0,3,0.6368291087918603,0.3631708912081397
4,1,0,0.6339111727027533,0.3660888272972467
4,1,1,0.6188466301107582,0.38115336988924176
4,1,2,0.6103970508080857,0.3896029491919143
4,1,3,0.6342691785295792,0.3657308214704208
4,2,0,0.6470169835642189,0.3529830164357811
4,2,1,0.6263746330032997,0.37362536699670035
4,2,2,0.6184958601650584,0.3815041398349416
4,2,3,0.6494317911983523,0.35056820880164774
4,3,0,0.6756369851172642,0.3243630148827358
4,3,1,0.6562494750017981,0.3437505249982019
4,3,2,0.6494418878156705,0.35055811218432953
4,3,3,0.671419745983773,0.32858025401622704
5,0,0,0.6112724208602892,0.3887275791397108
5,0,1,0.5927103789294837,0.40728962107051625
5,0,2,0.5818561056535433,0.4181438943464567
5,0,3,0.6093675480228118,0.3906324519771882
5,1,0,0.5998305455274863,0.40016945447251373
5,1,1,0.5858721617262489,0.4141278382737511
5,1,2,0.575368004519206,0.424631995480794
5,1,3,0.6047596004185253,0.3952403995814747
5,2,0,0.613381164578106,0.386618835421894
5,2,1,0.595598497984812,0.404401502015188
5,2,2,0.5860148608059611,0.4139851391940389
5,2,3,0.6227166853658506,0.37728331463414944
5,3,0,0.6403658673285227,0.35963413267147726
5,3,1,0.6248452789584531,0.3751547210415469
5,3,2,0.6158491229229455,0.38415087707705453
5,3,3,0.643743354259099,0.356256645740901
6,0,0,0.5963830985423578,0.4036169014576422
6,0,1,0.5802543765772336,0.41974562342276645
6,0,2,0.5712377787282739,0.42876222127172614
6,0,3,0.5911950058897573,0.40880499411024274
6,1,0,0.5876802440292176,0.4123197559707824
6,1,1,0.5738893984911575,0.4261106015088425
6,1,2,0.5624366639160997,0.4375633360839003
6,1,3,0.5894361556169788,0.4105638443830212
6,2,0,0.5999325764356706,0.40006742356432945
6,2,1,0.5849424731828567,0.41505752681714325
6,2,2,0.5723301427856273,0.4276698572143727
6,2,3,0.6068062805234853,0.3931937194765147
6,3,0,0.6232001155092057,0.37679988449079427
6,3,1,0.607121092972012,0.392878907027988
6,3,2,0.5993454851836458,0.40065451481635417
6,3,3,0.6271351745393174,0.37286482546068256
7,0,0,0.5801484946273159,0.4198515053726841
7,0,1,0.5640193426329794,0.43598065736702063
7,0,2,0.5590013276104773,0.44099867238952273
7,0,3,0.580434102369393,0.41956589763060703
7,1,0,0.5722153673855076,0.4277846326144924
7,1,1,0.5598106636975417,0.44018933630245827
7,1,2,0.5486267889100191,0.45137321108998085
7,1,3,0.5714099515719334,0.4285900484280666
7,2,0,0.5804600155430145,0.4195399844569855
7,2,1,0.5675623726462031,0.43243762735379687
7,2,2,0.5547113891133005,0.44528861088669947
7,2,3,0.6073418655587707,0.3926581344412293
7,3,0,0.6225073724361089,0.3774926275638911
7,3,1,0.5928449390479512,0.4071550609520488
7,3,2,0.582831361078721,0.417168638921279
7,3,3,0.6088263177078611,0.3911736822921389
8,0,0,0.5720936759386401,0.42790632406135987
8,0,1,0.5628320331349099,0.4371679668650901
8,0,2,0.5447326050158439,0.45526739498415614
8,0,3,0.5734618904988278,0.4265381095011722
8,1,0,0.5718246454075258,0.42817535459247424
8,1,1,0.5535932479956749,0.4464067520043251
8,1,2,0.543698129122038,0.45630187087796203
