,c0,c1,c2,c3,c4,c5,c6
c0,1.0,-0.20614029530987366,-0.2608743488775299,-0.13364895181109104,-0.14593525737810414,-0.21369461012288998,-0.14977627492676174
c1,-0.20614029530987366,1.0,-0.1640930237315878,-0.1235524668853689,-0.130971522780439,-0.18440399094469864,-0.1713800616796476
c2,-0.2608743488775299,-0.16409302373158777,1.0,-0.08572612965859107,-0.09709475398205916,-0.22036768477565832,-0.1937701666390474
c3,-0.13364895181109104,-0.12355246688536889,-0.08572612965859105,0.9999999999999999,-0.13722523923165583,-0.062310544019994335,-0.18342929350989678
c4,-0.14593525737810414,-0.130971522780439,-0.09709475398205918,-0.13722523923165583,1.0,-0.16490547359660143,-0.19784380501308887
c5,-0.21369461012289,-0.18440399094469864,-0.22036768477565832,-0.062310544019994335,-0.16490547359660143,1.0,-0.21769675568562113
c6,-0.14977627492676174,-0.1713800616796476,-0.19377016663904742,-0.1834292935098968,-0.19784380501308887,-0.2176967556856211,1.0
