,t00,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
audio,-0.07793856535407771,0.17763304967470203,-0.030109270624583063,-0.053883573564999364,-0.02289632068775202,0.040272518260211734,0.01525044002373158,-0.01985674392009064,-0.09952112817810735,0.003438106077238634,0.04446837163982411,0.0019108917907903506,-0.11580652609747547,0.024807307472778057,0.0464143000708787,0.07374637163928344,0.011954901443895424,0.05092084569174711,-0.050627441672991234,-0.010803642102591668,0.08249741130922966,0.01782587776254654,-0.08953306594437108,0.039306906790418664,-0.03430746004564228,-0.10569484947016841,0.061241502843048676,-0.015036874567845929,0.014267189568024469,0.018043338583011003
picture,-0.05837081371703714,-0.11326912774677356,-0.010557938505306981,0.09080234681631408,-0.008505213538334253,-0.032570590407362716,-0.04929826248943587,0.08110900759644221,0.010630146154947898,0.06560936787373932,-0.013431290040844474,0.02465544592470273,0.05863674214136498,-0.05763458685842045,-0.04627289926335769,-0.02262479855068397,-0.013847469539452817,-0.004706644222344528,0.058816532327184624,0.021341335096709924,-0.09934551982232107,0.07119247448058849,0.04682466564749984,-0.0695843017985535,0.009232246918895293,0.07796579218435318,-0.052804417083347766,0.014735880698772939,0.0022478296693103942,0.01437447365840364
reading,0.13630937907111557,-0.06436392192792825,0.040667209129889706,-0.0369187732513144,0.03140153422608596,-0.007701927852848742,0.03404782246570461,-0.061252263676352316,0.08889098202315905,-0.0690474739509789,-0.031037081598979478,-0.02656633771549303,0.057169783956110075,0.03282727938564246,-0.00014140080752131495,-0.05112157308859903,0.0018925680955572787,-0.04621420146940235,-0.008189090654193196,-0.010537692994118074,0.01684810851309172,-0.08901835224313503,0.042708400296871105,0.030277395008134738,0.025075213126746987,0.027729057285814908,-0.00843708575970161,0.0003009938690724488,-0.016515019237335164,-0.032417812241414726
