sample_idx,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
1,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
2,3,3,3,4,4,4,5,6,6,7,7,8,8,8,9
3,3,3,3,4,4,4,5,6,6,7,7,8,8,8,9
4,3,3,3,4,4,4,5,6,6,7,7,8,8,8,9
5,3,3,3,4,4,4,5,6,6,7,7,8,8,8,9
6,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
7,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
8,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
9,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
10,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
11,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
12,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
13,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
14,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
15,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
16,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
17,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
18,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
19,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
20,3,3,3,4,4,4,5,6,6,7,7,8,8,8,9
21,3,3,3,4,4,4,5,6,6,7,7,8,8,8,9
22,4,4,5,6,6,7,8,9,9,10,11,12,12,12,13
23,4,4,5,6,6,7,8,9,9,10,11,12,12,12,13
24,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
25,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
26,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
27,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
28,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
29,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
30,5,5,6,7,7,8,9,10,11,12,13,14,14,15,16
31,4,4,5,6,6,7,8,9,9,10,11,12,12,12,13
32,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
33,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
34,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
35,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
36,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
37,5,6,7,8,8,9,10,11,12,13,14,15,15,16,17
