condition,zone,window_shape,sign,n_contacts
audio,articulation,boxcar,-1,36
audio,articulation,boxcar,1,464
audio,articulation,gaussian,-1,39
audio,articulation,gaussian,1,430
audio,perception,boxcar,-1,33
audio,perception,boxcar,1,401
audio,perception,gaussian,-1,28
audio,perception,gaussian,1,358
audio,pre_articulation,boxcar,-1,161
audio,pre_articulation,boxcar,1,395
audio,pre_articulation,gaussian,-1,161
audio,pre_articulation,gaussian,1,395
audio,reading,boxcar,-1,148
audio,reading,boxcar,1,430
audio,reading,gaussian,-1,143
audio,reading,gaussian,1,418
picture,articulation,boxcar,-1,118
picture,articulation,boxcar,1,472
picture,articulation,gaussian,-1,122
picture,articulation,gaussian,1,417
picture,perception,boxcar,-1,7
picture,perception,boxcar,1,295
picture,perception,gaussian,-1,14
picture,perception,gaussian,1,268
picture,pre_articulation,boxcar,-1,171
picture,pre_articulation,boxcar,1,456
picture,pre_articulation,gaussian,-1,171
picture,pre_articulation,gaussian,1,456
picture,reading,boxcar,-1,121
picture,reading,boxcar,1,784
picture,reading,gaussian,-1,118
picture,reading,gaussian,1,688
reading,articulation,boxcar,-1,237
reading,articulation,boxcar,1,447
reading,articulation,gaussian,-1,239
reading,articulation,gaussian,1,404
reading,perception,boxcar,-1,46
reading,perception,boxcar,1,357
reading,perception,gaussian,-1,40
reading,perception,gaussian,1,355
reading,pre_articulation,boxcar,-1,251
reading,pre_articulation,boxcar,1,347
reading,pre_articulation,gaussian,-1,251
reading,pre_articulation,gaussian,1,347
reading,reading,boxcar,-1,171
reading,reading,boxcar,1,507
reading,reading,gaussian,-1,171
reading,reading,gaussian,1,469
