role,n_matched,n_primary
tag_theta_tracking,653,455
tag_hga_activation,582,565
response_active,485,0
tag_low_f_erd,299,134
ultra_hfa,264,51
tag_beta_erd,261,196
stimulus_responsive,193,0
auditory,105,13
phonological_encoding,55,0
visual_picture,44,1
visual_reading,30,1
motor,18,18
picture_stim,11,2
pre_response,11,0
NN,6,1
heteromodal_convergence,6,0
maintenance,6,0
lexical_semantic,5,0
deactivation,2,2
none,0,1417
