channel,0.5-4.0Hz_dB,4.0-8.0Hz_dB,8.0-12.0Hz_dB,12.0-30.0Hz_dB,30.0-70.0Hz_dB,70.0-150.0Hz_dB
A_L1,28.199573010511816,20.252889110870154,15.515098244438352,8.02367786446032,-2.2885714113616205,-12.063035572255902
A_L10,26.15386455083065,22.0376552123396,20.26791110728788,11.399401742927367,-1.4451007671243885,-11.561555557505145
A_L11,25.56641859513087,21.953066913169856,21.225845844522212,12.202005096640876,-1.433799713447526,-12.055509779154002
A_L12,24.900619251764596,21.536985144520642,19.54815277352648,10.339022102971294,-2.4189485002514797,-12.226946786295452
A_L2,27.422219436302917,18.51574157981924,15.54339317851721,7.657129614382942,-2.8374449103464996,-11.359496122225146
A_L3,25.96709934431314,18.246316764121993,13.590049155492784,4.208177419039952,-5.430552393434266,-13.084364583350915
A_L4,25.499409024217353,18.576676256450437,13.647073788189491,3.645941119332326,-5.842943298130176,-13.296946803582546
A_L5,25.668382728064334,19.35471348360816,14.294500739184905,3.775118817293541,-5.799127669809475,-13.273426987516308
A_L6,24.727451336090496,17.349230528077257,13.143254145898112,4.735559470924991,-4.788293863744195,-12.751157470244582
A_L7,25.06274191625683,18.549322068440084,15.03938668949099,5.909796904590795,-4.06981118769651,-12.607947724060072
A_L8,25.60229641252554,19.940884339112724,17.285382512388203,7.088197354206477,-4.277823185876217,-13.121238703416731
A_L9,26.392134714634945,20.549244686703087,17.309032445690416,9.296256756693161,-2.447238666347883,-11.905380197609663
A_R1,31.919622861427793,22.5870710707465,18.424489435976735,10.314683594003757,-0.3492810939789486,-11.139409244579422
A_R10,27.7446979206272,23.382317538834005,21.35258603688539,11.987649122773352,-2.2603452429243482,-11.972591401844893
A_R11,27.424074134158154,23.799561400918844,21.629744858194563,11.251407948654856,-2.915394338490399,-11.6102740743295
A_R12,25.92622674083955,20.032064613926572,17.59490802716124,7.6592331223692725,-4.263689217408926,-8.99638685249285
A_R2,30.4405918752686,21.46347982891431,17.539890566467363,9.062612467472043,-1.7591357035391357,-11.702299797579368
A_R3,29.063205429512355,20.55422841455958,16.748235419413525,8.0462980739971,-2.1634961993938977,-11.885386874316277
A_R4,27.686726061420416,19.112985949497336,15.216627390852427,6.584457765421054,-3.0334842104384174,-12.145498417169458
A_R9,26.371825306867915,21.70286985246464,19.97767578718382,7.999510177098726,-4.264983108953928,-12.711620985919163
CinG_L1,22.266612877753797,13.773844957125513,10.010421425404514,1.861380153446673,-6.4769370524265995,-14.481959153767226
CinG_L12,23.93867325419336,17.12986327973512,20.042584695287257,15.165299172549526,-1.7572746293499688,-13.40053199502043
CinG_L13,24.606550341767797,18.166290223589883,21.57176979266162,16.937757906339026,-0.7929131076684691,-12.991167564119115
CinG_L14,22.616368454787573,15.859123833769868,16.287377322336376,12.789975561021015,-2.268847140414106,-13.034706447312908
CinG_L2,22.11731814568719,13.390096907911019,9.854525170797887,1.508124288280206,-6.921934323505536,-14.741603038645696
EntG_L1,30.439876092238205,20.88421829697183,16.980133341959597,8.210734180635058,-2.9468397013267564,-11.600000857271919
EntG_L10,31.66236352783094,25.437872962391275,21.206432434065714,11.73811026857755,-1.6747416496806842,-11.751039262209469
EntG_L11,27.255383570716447,22.96953404270828,20.095726665173814,9.83639768977181,-3.5881872653990454,-10.750997304577359
EntG_L2,29.808014069074865,20.08457932177064,15.58000840683194,6.850600068753868,-3.830084241218831,-12.26332451453909
EntG_L3,29.537757380337336,21.01624437821362,15.839849376080952,6.971833438366024,-4.195556282506277,-12.308271929549763
EntG_L4,29.36778175050667,21.606550394078155,16.078511936283476,6.0586182793858425,-4.342139820241378,-12.014807440859919
EntG_L5,28.409434507619228,22.83614023955338,17.247490875218805,5.622929890078754,-5.027722177959297,-12.423662788348414
EntG_L6,29.06302645784993,24.445051327726265,18.902896202291995,6.184214617592073,-5.358969268730813,-12.685047617095089
EntG_L7,30.1317869928642,25.761070406072662,20.65221394782273,7.799069235410438,-5.111862161042593,-12.811634101699536
EntG_L8,31.28307865874385,25.36302256747326,20.361855297838012,9.12492721875639,-4.187439079228702,-12.405420255272578
EntG_L9,27.617262892472073,24.08825862358384,21.974630528474425,12.126405469064013,-2.2549100891269243,-11.612157488861001
OF_L1,26.021093281663166,22.177155838577868,17.002921067393416,7.031388990956713,-3.70479209636449,-12.789555292934315
OF_L10,24.634198625268432,18.94493902000165,16.041455002779088,8.009560052973567,-3.8427249718426646,-13.480844604961982
OF_L11,24.524825176843475,18.962609309994978,17.486674471992337,9.317642368308935,-3.8737120268469667,-13.671332366579486
