cluster_id,size,jaccard_stability,n_runs
0,48,0.47823572158813477,50
1,40,0.801268458366394,50
2,30,0.6859447360038757,50
3,82,0.49236416816711426,50
4,316,0.24617761373519897,50
5,34,0.9462628364562988,50
6,134,0.3054725229740143,50
7,95,0.6758312582969666,50
8,32,0.8900146484375,50
9,91,0.34633466601371765,50
10,364,0.2829955220222473,50
