condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[7Networks_1],coef[7Networks_2],coef[7Networks_3],coef[7Networks_4],coef[7Networks_5],coef[7Networks_6],coef[7Networks_7],importance
audio,0,1.0,4.0,1-4Hz,0,ersp,0.06011875509399951,-0.03514180578720437,0.021536616402880893,-0.029794556253105137,-0.020922731414304785,9.938669430023972e-05,0.004104335263433584,0.024531169558461217
audio,0,1.0,4.0,1-4Hz,1,ersp,0.04033543742436873,0.03871763307276106,-0.04237855179473909,-0.010040969955405163,-0.011800711542556082,0.0137622679598418,-0.028595105164271446,0.026518668130563337
audio,0,1.0,4.0,1-4Hz,2,ersp,0.022810692386927102,-0.0033225861587577224,-0.025475603441004063,-0.013033512926238252,0.031518954616003715,0.003862871464539766,-0.01636081594147041,0.01662643384784872
audio,0,1.0,4.0,1-4Hz,3,ersp,0.00722125353250868,-0.01687468031263614,-0.009344674560650369,-0.03609089492128723,0.015776385222491016,0.01803874761742559,0.021273863422148605,0.017802928512735374
audio,0,1.0,4.0,1-4Hz,4,ersp,0.00959120138210704,-0.05792985827383194,-0.030546568063922364,-0.01126021091225986,0.016300898015035193,0.05601487063895424,0.017829667213917814,0.02849618207143264
audio,0,1.0,4.0,1-4Hz,5,ersp,-0.00724031082845602,-0.05924029402046327,0.03722046403420185,-0.0363956918612882,0.02624835062025049,0.0388379150716606,0.0005695669840945605,0.029393227631487856
audio,0,1.0,4.0,1-4Hz,6,ersp,0.00558532966831889,-0.009471602571122477,0.019370980228124224,-0.03306535381541554,0.01786855729320321,0.005337478929811076,-0.00562538973291946,0.013760670319844983
audio,0,1.0,4.0,1-4Hz,7,ersp,0.006998319747801915,-0.014631377516123594,-0.014609220653076647,-0.0025286342479049857,0.023643587090781036,0.015299837927105497,-0.014172512348583185,0.013126212790196694
audio,0,1.0,4.0,1-4Hz,8,ersp,0.01769199192858459,-0.0006671857271556488,-0.03498346740273498,0.013193015113029406,-0.006297632879901591,0.012990484512106801,-0.001927205543928525,0.012535854729634506
audio,0,1.0,4.0,1-4Hz,9,ersp,0.014515198871033908,-0.007352423084667015,-0.0062445845939627775,-0.007247803906783302,0.018844897643334368,0.004149144962214794,-0.01666442989117,0.010716926136166595
audio,0,1.0,4.0,1-4Hz,10,ersp,-0.014253717649831637,0.014095915978345374,0.017245752694803135,-0.016460851720095388,0.0009704829016573694,-0.004716655701912052,0.003119073497033246,0.0101232071633826
audio,0,1.0,4.0,1-4Hz,11,ersp,-0.0003441772957711868,0.03141986523448842,-0.007923754996160328,0.006384140330704628,-0.016982131435682467,-0.05221440004111623,0.039660458203537245,0.022132703933922925
audio,0,1.0,4.0,1-4Hz,12,ersp,0.004972684531226105,0.029640103288349814,-0.03060953632316801,0.02406150661840278,0.01183543305748714,-0.04080094842782726,0.0009007572555293612,0.020402995643141495
audio,0,1.0,4.0,1-4Hz,13,ersp,0.02981814820403646,0.005158261535791631,-0.02958978315975181,0.027498656279859153,-0.0010993138563931198,-0.02731087442097114,-0.004475094582571194,0.017850018862767787
audio,0,1.0,4.0,1-4Hz,14,ersp,0.017467107972961513,0.0511004593992823,-0.02455025007009585,-0.008298872130808738,-0.014120485707542244,-0.022145050446374083,0.0005470909825772283,0.019747045244234568
audio,0,1.0,4.0,1-4Hz,15,ersp,0.00012121498783996641,0.05295269939693395,-0.019372625517639033,-0.003149865708805888,-0.0198367350965327,-0.0019769129269785494,-0.008737775134817707,0.015163975538506829
audio,0,1.0,4.0,1-4Hz,16,ersp,-0.02808833640506195,0.029390242862113152,0.01491567997370332,0.006092592141867967,-0.018563353283580743,0.027419341410103944,-0.031166166699145525,0.0222336732536538
audio,0,1.0,4.0,1-4Hz,17,ersp,-0.015708268601675242,-0.008748553275192979,-0.014086590848369758,0.04043725947008358,-0.025687484392033087,0.0014002882442189538,0.02239334940296855,0.018351684890648878
audio,0,1.0,4.0,1-4Hz,18,ersp,0.016178514706575796,0.013661300079888718,-0.01220900357352217,-0.029445150984856172,-0.006917264992597872,-0.018799175089906247,0.03753077985441803,0.01924874132596643
audio,0,1.0,4.0,1-4Hz,19,ersp,0.03297542714324287,0.02811946642484056,-0.0138264756129283,-0.043069741199807735,0.013767664973170765,-0.018693139238684483,0.0007267975101663508,0.021596958871834437
audio,0,1.0,4.0,1-4Hz,20,ersp,0.017116313611716616,0.018390915643971068,0.007868458995532991,-0.024154156932225408,0.02462796151998725,-0.0427251254536343,-0.0011243673853483594,0.019429614220345143
audio,0,1.0,4.0,1-4Hz,21,ersp,-0.007795781703033072,0.00357945995633338,-0.004751607797071657,-0.018651528663850527,0.010670133425326125,-0.012691771117211363,0.029641095899507187,0.012540196937476187
audio,0,1.0,4.0,1-4Hz,22,ersp,-0.001904823662120333,0.025190603539778065,0.010405961183471321,-0.037581671889044994,-0.051709492445192615,0.05748205797887383,-0.0018826347057654715,0.02659389220060666
audio,0,1.0,4.0,1-4Hz,23,ersp,-0.00502558750975249,-0.0032568721006006243,0.014040577812988637,-0.009677660655642198,-0.039285584038110256,0.03703326423162222,0.006171862259494744,0.016355915515458737
audio,0,1.0,4.0,1-4Hz,24,ersp,-0.004035523850658229,-0.030980801800947266,0.0217757310771051,-0.003024226601121674,-0.005666470980000828,-0.011285063680037004,0.033216355835659926,0.015712024832218573
audio,0,1.0,4.0,1-4Hz,25,ersp,0.022176384794853538,-0.05092557295030073,0.007651752814679767,0.031896626592507034,0.013939786044392654,-0.0179787033593723,-0.006760273936760049,0.021618442927552297
audio,0,1.0,4.0,1-4Hz,26,ersp,0.016948257749541933,-0.0029895770036158903,0.0006695360814732948,-0.03168156148965425,-0.013859932171799563,0.03872478774197996,-0.007811510907925521,0.016097880449427202
audio,0,1.0,4.0,1-4Hz,27,ersp,0.024206899631380133,0.0027643403214684314,0.0061196989160105875,-0.02862037410007688,0.008520608071687242,0.0273225262860069,-0.040313699126476345,0.01969544949330093
