,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
7Networks_1,21,2,5,1,3,3,5
7Networks_2,3,68,9,4,16,7,38
7Networks_3,2,3,13,5,6,11,12
7Networks_4,0,14,12,15,11,8,9
7Networks_5,9,9,10,16,66,18,53
7Networks_6,2,11,18,23,13,18,29
7Networks_7,7,44,34,21,65,25,161
