role,n_matched,n_primary
response_active,485,328
stimulus_responsive,193,149
phonological_encoding,55,50
alpha_beta_suppression,49,44
low_f_negative_network,29,17
motor,18,18
auditory,17,17
auditory_suppression,12,11
lexical_semantic,5,5
network_negative_2,2,2
network_negative_1,1,1
none,0,2214
