k,var_explained,sizes,frac_dominant,frac_no_majority,median_top_weight
5,0.4423173899000473,244 311 375 453 305,0.3590047393364929,0.6409952606635071,0.44783107775219544
6,0.47214683689485926,285 409 191 239 236 328,0.2772511848341232,0.7227488151658767,0.41389446640816263
7,0.48604071411507166,200 285 106 374 221 217 285,0.2381516587677725,0.7618483412322274,0.3926303053179263
8,0.5098782569038595,204 351 235 127 119 200 201 251,0.18364928909952608,0.816350710900474,0.36868344324994606
9,0.5193321112376967,222 197 118 141 297 217 194 180 122,0.1783175355450237,0.8216824644549763,0.36237361733548856
10,0.504480236570229,106 149 235 260 136 168 126 196 102 210,0.13270142180094788,0.8672985781990521,0.34882806969042496
11,0.5118871071166141,218 140 113 177 244 196 189 112 81 90 128,0.14218009478672985,0.8578199052132701,0.3531395452910778
12,0.5009847559386582,233 135 101 149 189 143 186 102 76 98 112 164,0.125,0.875,0.3329968123282259
13,0.4728647765468199,129 104 137 156 85 76 226 84 94 190 94 132 181,0.12855450236966826,0.8714454976303317,0.32916464822755437
14,0.46307266523287494,110 122 168 102 75 210 105 155 100 84 149 116 92 100,0.0947867298578199,0.9052132701421801,0.32376477531668624
15,0.44512253897786214,217 108 97 111 136 132 152 89 76 81 93 67 91 136 102,0.07168246445497631,0.9283175355450237,0.320186536411074
16,0.4093853694239238,69 76 103 200 114 87 124 80 122 90 88 98 83 96 137 121,0.07938388625592417,0.9206161137440758,0.3126804153041324
17,0.368661417164331,59 96 126 73 138 126 88 126 99 96 94 80 64 133 107 85 98,0.09300947867298578,0.9069905213270142,0.3259933437855236
18,0.31501173344816935,106 70 78 106 157 54 118 106 114 79 140 101 87 74 65 73 73 87,0.08590047393364929,0.9140995260663507,0.3101681427401498
19,0.3066628840998462,128 103 125 84 85 46 109 85 85 139 74 132 54 61 67 78 55 81 97,0.0764218009478673,0.9235781990521327,0.3146702258114661
20,0.26749398321621876,78 78 102 71 72 71 131 65 101 123 102 55 86 69 46 108 101 90 92 47,0.07879146919431279,0.9212085308056872,0.31400156028364784
21,0.2635530121122922,68 72 98 114 50 136 143 63 84 84 73 80 66 90 74 58 70 89 29 62 85,0.06101895734597156,0.9389810426540285,0.3028969675650972
22,0.19407808738974952,49 102 80 95 53 88 116 85 66 60 102 74 61 71 46 102 84 42 62 71 46 133,0.06457345971563981,0.9354265402843602,0.3131199568982101
23,0.1181513480875207,85 99 39 76 87 74 76 47 120 104 87 85 51 60 79 66 41 85 66 63 61 63 74,0.0693127962085308,0.9306872037914692,0.30618054478416157
24,0.08410006634333977,76 67 94 67 66 39 53 78 45 38 99 50 50 75 129 59 69 82 47 96 102 46 90 71,0.07345971563981042,0.9265402843601895,0.31570649533872774
25,0.0205559721530566,52 66 78 102 77 49 66 96 73 55 61 44 47 48 81 104 64 99 44 35 98 57 48 79 65,0.06279620853080568,0.9372037914691943,0.3073775289744526
26,-0.04163237452119639,69 88 86 78 49 39 46 41 58 74 48 44 89 95 72 74 33 100 73 64 61 42 72 71 50 72,0.05687203791469194,0.943127962085308,0.30949734812094204
27,-0.05357688043017883,46 48 46 25 77 77 59 59 34 47 70 41 95 123 52 67 55 66 103 74 97 86 43 44 76 22 56,0.06338862559241706,0.9366113744075829,0.30102547590477224
28,-0.14267479670221705,17 71 44 82 54 76 75 45 62 99 94 82 100 66 76 65 63 65 32 50 39 71 52 36 53 44 47 28,0.061611374407582936,0.9383886255924171,0.30783573221362986
29,-0.17827381008912235,51 19 76 39 72 65 68 60 62 43 56 81 106 17 50 74 49 93 67 44 30 39 41 45 115 37 55 76 58,0.0669431279620853,0.9330568720379147,0.29855079158711123
30,-0.26752741343855435,34 38 71 88 34 40 55 97 61 68 35 77 82 69 73 58 66 65 14 43 44 49 69 61 43 52 64 41 44 53,0.0764218009478673,0.9235781990521327,0.3059684703474193
