,c0,c1,c2,c3,c4,c5,c6
c0,1.0,-0.1925913350115515,-0.19908662904872218,-0.0934998800131519,-0.23224646848854014,-0.14683906086994677,-0.09115774810844851
c1,-0.1925913350115515,1.0,-0.196440285985322,-0.13370928022073633,-0.2207505099099255,-0.14103281977849372,-0.1892541314012465
c2,-0.19908662904872218,-0.19644028598532198,1.0,-0.191850696651079,-0.07899843168184494,-0.113856131337727,-0.1731462361229914
c3,-0.0934998800131519,-0.13370928022073633,-0.191850696651079,1.0,-0.23335529380243442,-0.2299070970093925,-0.1060125308242221
c4,-0.23224646848854016,-0.2207505099099255,-0.07899843168184494,-0.23335529380243442,1.0,-0.19362142317844422,-0.15693189821510165
c5,-0.14683906086994675,-0.1410328197784937,-0.11385613133772701,-0.22990709700939246,-0.19362142317844425,0.9999999999999998,-0.17014267355193627
c6,-0.09115774810844852,-0.1892541314012465,-0.1731462361229914,-0.1060125308242221,-0.15693189821510165,-0.17014267355193624,0.9999999999999998
