role,n_matched,n_primary
tag_low_f_erd,608,333
tag_theta_tracking,471,294
tag_beta_erd,427,345
ultra_hfa,269,230
auditory,235,160
tag_hga_activation,98,98
stimulus_active,65,0
response_active,59,0
deactivation,29,14
auditory_v2,10,1
visual_reading,8,0
visual_picture,6,0
NN,5,4
picture_stim,5,0
pre_response,5,0
pic_stim,3,0
heteromodal_convergence,1,0
none,0,1377
