method,method_label,space,home,silhouette,null_mean,null_sd,z,n_null
kmeans,k-means,dB,True,0.0691420914792899,0.0658593907431086,0.0019775743257007,1.6599632658650882,50
kmeans,k-means,unit-norm,False,-0.0693246559716755,0.0589136357430549,0.0025540297498832,-50.21017931392178,50
hierarchical,Ward,dB,True,0.0612808036810753,0.0344148269381116,0.0032267515213983,8.326013504541812,50
hierarchical,Ward,unit-norm,False,-0.105798078385121,0.0313093080383937,0.005303519357843,-25.85215159453599,50
cnmf,convex NMF,dB,False,0.0184209645339324,0.0417940314163841,0.0051277640565884,-4.558140082990118,50
cnmf,convex NMF,unit-norm,True,0.046582327701157,0.0350923285897508,0.0039659583613427,2.897155760232484,50
