method,method_label,cluster,n,pct,n_gated,n_added,pct_added
kmeans,k-means,0,179,10.604265402843602,179,0,0.0
kmeans,k-means,1,332,19.66824644549763,332,0,0.0
kmeans,k-means,2,57,3.3767772511848344,57,0,0.0
kmeans,k-means,3,125,7.4052132701421804,125,0,0.0
kmeans,k-means,4,173,10.248815165876778,173,0,0.0
kmeans,k-means,5,191,11.315165876777252,191,0,0.0
kmeans,k-means,6,162,9.597156398104266,162,0,0.0
kmeans,k-means,7,160,9.47867298578199,160,0,0.0
kmeans,k-means,8,140,8.293838862559241,140,0,0.0
kmeans,k-means,9,50,2.962085308056872,50,0,0.0
kmeans,k-means,10,119,7.049763033175356,119,0,0.0
hierarchical,Ward,0,200,11.848341232227488,200,0,0.0
hierarchical,Ward,1,47,2.7843601895734595,47,0,0.0
hierarchical,Ward,2,151,8.945497630331753,151,0,0.0
hierarchical,Ward,3,218,12.914691943127963,218,0,0.0
hierarchical,Ward,4,101,5.983412322274882,101,0,0.0
hierarchical,Ward,5,101,5.983412322274882,101,0,0.0
hierarchical,Ward,6,44,2.6066350710900474,44,0,0.0
hierarchical,Ward,7,188,11.137440758293838,188,0,0.0
hierarchical,Ward,8,189,11.196682464454977,189,0,0.0
hierarchical,Ward,9,217,12.855450236966826,217,0,0.0
hierarchical,Ward,10,232,13.744075829383887,232,0,0.0
cnmf,convex NMF,0,169,10.011848341232229,169,0,0.0
cnmf,convex NMF,1,249,14.751184834123224,249,0,0.0
cnmf,convex NMF,2,168,9.95260663507109,168,0,0.0
cnmf,convex NMF,3,142,8.412322274881516,142,0,0.0
cnmf,convex NMF,4,161,9.537914691943127,161,0,0.0
cnmf,convex NMF,5,75,4.443127962085308,75,0,0.0
cnmf,convex NMF,6,139,8.234597156398104,139,0,0.0
cnmf,convex NMF,7,179,10.604265402843602,179,0,0.0
cnmf,convex NMF,8,109,6.457345971563981,109,0,0.0
cnmf,convex NMF,9,102,6.042654028436019,102,0,0.0
cnmf,convex NMF,10,195,11.552132701421801,195,0,0.0
