method,method_label,neighbours_sharing_label,over_chance
kmeans,k-means,0.26404028436018956,2.3218983615951654
hierarchical,Ward,0.2990521327014218,2.697517834718252
cnmf,convex NMF,0.24052132701421802,2.3427582227351413
