role,n_matched,n_primary
tag_low_f_erd,881,457
tag_beta_erd,596,518
tag_theta_tracking,593,335
tag_hga_activation,296,253
response_active,242,0
ultra_hfa,141,44
auditory,129,28
NN,111,81
stimulus_responsive,98,0
motor,43,43
visual_picture,28,0
phonological_encoding,20,0
picture_stim,14,1
pre_response,14,0
visual_reading,12,0
deactivation,6,6
heteromodal_convergence,2,0
lexical_semantic,2,0
maintenance,1,0
none,0,1090
