,c0,c1,c2,c3,c4,c5,c6
c0,1.0,-0.08655632114132922,-0.11770716184926978,-0.10748116023529145,-0.22340267573976147,-0.12463503301681413,-0.14862565769304584
c1,-0.08655632114132922,1.0,-0.20195891851050096,-0.2879941321326092,-0.14206717377937705,-0.2035220350106683,-0.1905917558784568
c2,-0.1177071618492698,-0.20195891851050093,1.0,-0.27809653117321814,-0.1547559779192451,-0.1891725316402159,-0.21855795415438684
c3,-0.10748116023529146,-0.2879941321326092,-0.27809653117321814,0.9999999999999999,-0.12979261187981433,-0.10056818886882633,-0.12278088984145676
c4,-0.22340267573976147,-0.14206717377937708,-0.1547559779192451,-0.12979261187981436,1.0,-0.15619838961187674,-0.1616148691174372
c5,-0.12463503301681411,-0.2035220350106683,-0.18917253164021594,-0.10056818886882632,-0.15619838961187674,1.0,-0.11051746004036071
c6,-0.14862565769304584,-0.1905917558784568,-0.2185579541543868,-0.12278088984145676,-0.16161486911743717,-0.1105174600403607,1.0
