rep,mean_best_match
0,0.6017935944308455
1,0.529964369258599
2,0.5721517304834133
3,0.5752548728025874
4,0.5736111821366866
5,0.5217819204475203
6,0.6399940337766202
7,0.4793665942325053
8,0.5531592083457335
9,0.5333871210271666
