k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
4,0.08982326835393906,116.19532860525679,2.5589980260105847,4,0,146,611,0.5939401169514499
5,0.08209419250488281,101.68660115624456,2.642949987499583,5,0,137,491,0.5129503184468377
6,0.08612313866615295,90.29297106868918,2.492942974581807,6,0,53,461,0.6225932223794663
7,0.07554339617490768,82.20902271351434,2.6044379192314757,7,0,51,369,0.5134779414398395
8,0.06997571885585785,76.26174975772541,2.6553324656159534,8,0,42,337,0.5604163812903572
9,0.08429311960935593,70.8136369929298,2.4947718446578366,9,0,55,399,0.7207609988206857
10,0.07111472636461258,66.69269734327261,2.6287017819329224,10,0,49,210,0.429908879551208
11,0.07225077599287033,63.38407075168812,2.613082604143155,11,0,50,267,0.5207007104868349
12,0.07506553828716278,60.27220400803587,2.546937357351189,12,0,44,199,0.43743331290229237
13,0.06970173865556717,57.5862765316328,2.597906654237759,13,0,46,208,0.4839489427278297
14,0.08242184668779373,55.45309108303859,2.4115403051752584,14,0,26,212,0.5462746364943857
15,0.07790808379650116,53.13433510196452,2.5358735892265045,15,0,36,188,0.504611380438972
16,0.0823279395699501,51.19082163211958,2.436936305582969,16,0,26,170,0.5043009367169592
17,0.07650873810052872,49.47644889734543,2.5610109740728224,17,0,16,135,0.4498182693278333
18,0.08922792971134186,48.52974078258778,2.3462352438731666,18,0,15,156,0.5623857320751454
19,0.07866420596837997,46.906369109313864,2.4088492921915527,19,0,26,149,0.5163931882146322
20,0.0806206464767456,45.626700829882175,2.401471446923638,20,0,22,146,0.5340517050503941
21,0.0846380665898323,44.754205754697615,2.3540253156314095,21,0,28,156,0.5108856724518995
22,0.09312625974416733,43.78213636737076,2.3277242290149527,22,0,16,104,0.41738163316774834
23,0.09714033454656601,42.65135734751181,2.1888057877804967,23,0,3,145,0.6644655681739687
