band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,perm_importance,perm_importance_std,importance
2,8.0,13.0,8-13Hz,1,ersp,0.0017209798120373643,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,2,ersp,0.0016672113406860922,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,3,ersp,0.0030154196896607062,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,4,ersp,0.00168095515110985,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,5,ersp,0.0014405342213200546,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,6,ersp,0.001315860546866579,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,7,ersp,0.0012321856170704891,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,8,ersp,0.002590999067379741,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,9,ersp,0.002569749031805287,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,10,ersp,0.0016024540578522192,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,11,ersp,0.001829145840938667,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,12,ersp,0.001676355961630261,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,13,ersp,0.0013324904907426468,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,14,ersp,0.0017547550693260327,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,15,ersp,0.0014191913521022026,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,16,ersp,0.0011144323791058783,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,17,ersp,0.0013879153066934443,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,18,ersp,0.0016684198294776651,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,19,ersp,0.0014496406601440387,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,20,ersp,0.0009777397268633562,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,21,ersp,0.0011822623102020246,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,22,ersp,0.0010811605427334043,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,23,ersp,0.0010594876528420966,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,24,ersp,0.0010114397965223561,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,25,ersp,0.0015740609041538947,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,26,ersp,0.001765035789601578,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,27,ersp,0.0011413204461231613,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,28,ersp,0.00098848323089042,0.0,0.0,0.0
2,8.0,13.0,8-13Hz,29,ersp,0.0013158505150416228,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,0,ersp,0.001687741652870629,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,1,ersp,0.003084867681334341,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,2,ersp,0.005456898478299355,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,3,ersp,0.006647564748698559,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,4,ersp,0.003222661725940565,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,5,ersp,0.002047038462788203,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,6,ersp,0.0020195240415163272,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,7,ersp,0.002633118452786817,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,8,ersp,0.003661782560096967,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,9,ersp,0.0033378535040999,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,10,ersp,0.003582361666631336,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,11,ersp,0.0023446214459204254,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,12,ersp,0.0014964426062770739,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,13,ersp,0.00252241547133505,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,14,ersp,0.0034265325283623365,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,15,ersp,0.0028253966883048727,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,16,ersp,0.0035506682536814754,-4.450378282153666e-05,0.00013351134846460998,0.0
3,13.0,20.0,13-20Hz,17,ersp,0.0028195546884001383,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,18,ersp,0.0017626831685445493,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,19,ersp,0.0018525692317392822,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,20,ersp,0.0025217605035001422,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,21,ersp,0.0027396819092753914,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,22,ersp,0.0014633938000173025,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,23,ersp,0.0011336531769383898,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,24,ersp,0.0009741470863768372,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,25,ersp,0.001219305739059582,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,26,ersp,0.00134197573490344,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,27,ersp,0.001340139409045738,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,28,ersp,0.0011699062515936446,0.0,0.0,0.0
3,13.0,20.0,13-20Hz,29,ersp,0.0021432440314552203,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,0,ersp,0.0012275757037562896,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,1,ersp,0.00354949047165227,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,2,ersp,0.004169289382174177,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,3,ersp,0.0034806706129166436,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,4,ersp,0.0017178626159850604,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,5,ersp,0.00166177941294966,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,6,ersp,0.0014531188591228234,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,7,ersp,0.0015777189841407462,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,8,ersp,0.0018622641064240245,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,9,ersp,0.0023651750075770377,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,10,ersp,0.0022746544012981766,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,11,ersp,0.0011050932693710761,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,12,ersp,0.0016694373674377009,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,13,ersp,0.0032365448058643527,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,14,ersp,0.0034581103947750897,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,15,ersp,0.0014609261877635423,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,16,ersp,0.007158904664477383,0.00032948929159806186,0.000269026880042116,0.00032948929159806186
4,20.0,30.0,20-30Hz,17,ersp,0.0026250864431553262,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,18,ersp,0.0015649348352556622,0.0,0.0,0.0
4,20.0,30.0,20-30Hz,19,ersp,0.001322255086155203,0.0,0.0,0.0
