cluster_id,size,jaccard_stability,n_runs
1,78,0.5474840998649597,50
2,10,0.5667421817779541,50
3,130,0.512482762336731,50
4,108,0.5548636317253113,50
5,121,0.47733089327812195,50
6,87,0.4865456521511078,50
7,125,0.6596359014511108,50
8,76,0.5440887808799744,50
9,189,0.5585692524909973,50
10,8,0.992284893989563,50
11,36,0.45486024022102356,50
12,130,0.8622006773948669,50
13,8,0.896876335144043,50
14,49,0.6960210204124451,50
15,57,0.5277236700057983,50
16,66,0.6251652836799622,50
17,78,0.7161180973052979,50
18,110,0.5935871005058289,50
19,72,0.7068874835968018,50
