k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
5,0.06110595166683197,145.06961440838194,2.8077084335755496,5,0,136,602,0.5873343642762624
6,0.05541560798883438,129.94583977911705,2.7869669826619283,6,0,136,557,0.48536658198903687
7,0.05541263893246651,118.03725978085387,2.6982443843709603,7,0,47,557,0.6344164424181834
8,0.05164886638522148,109.6694567955685,2.6559448866655533,8,0,47,316,0.4127641478319706
9,0.055019862949848175,103.195507199387,2.5340759773366095,9,0,47,316,0.45625151561433025
10,0.06071605160832405,97.573588230952,2.4534509234296786,10,0,41,316,0.5614513978295783
11,0.058020152151584625,92.52436109074318,2.3686965534498987,11,0,26,316,0.6280642338878383
12,0.06362493336200714,88.52482936427985,2.3788338749357525,12,0,26,316,0.6771519997122425
13,0.06705731898546219,85.27836662535822,2.4324779309237234,13,0,26,286,0.6625546085609011
14,0.06801477074623108,82.20239786486444,2.2865602939458722,14,0,3,286,0.7405266918752998
15,0.07065519690513611,79.59462826443783,2.2108421161642977,15,0,3,286,0.7939932870484534
16,0.07571806013584137,77.4286028718902,2.248351453713921,16,0,3,286,0.8142009667628841
17,0.08125648647546768,75.60319162077656,2.187417669092823,17,0,3,286,0.8603703581349804
18,0.07944857329130173,73.83665065138803,2.1954928178889155,18,0,3,262,0.8225028923602888
19,0.08279426395893097,72.17087443917154,2.1296011959327847,19,0,3,262,0.8691747353758562
20,0.0770425796508789,70.70189882798132,2.118935511196409,20,0,3,262,0.8827210397883952
21,0.07262013107538223,69.3142766368824,2.1012694787916324,21,0,3,255,0.8485780353658865
22,0.07467690110206604,67.94516161407194,2.0479952047900585,22,0,3,255,0.8924758501695466
23,0.07687641680240631,66.65640539565348,2.0398647906471012,23,0,3,255,0.9158892668797759
24,0.07956031709909439,65.40994304621492,2.0442508689083474,24,0,3,255,0.934605219424283
25,0.08247461915016174,64.28508968135974,2.131361946973974,25,0,3,228,0.8337781108528011
26,0.08591608703136444,63.264977639011164,2.1256734086803104,26,0,3,228,0.7900669039787508
27,0.08775752037763596,62.33983026565368,2.0837907276262206,27,0,3,228,0.8231382784206748
28,0.08894670009613037,61.27235952943647,2.0334356367544126,28,0,3,228,0.844462574084286
29,0.09111866354942322,60.30515189520855,2.0126304298821944,29,0,3,228,0.8752161063397956
30,0.09446277469396591,59.39907274005073,2.0106874033177067,30,0,3,228,0.8544614665206686
