cluster_1,cluster_2,r_centred,r_plain,matched
0,0,-0.3033215337647604,0.7285620812414015,False
0,1,-0.021633563139692582,0.662906811740622,False
0,2,0.07158028045249615,0.6924218296721452,False
0,3,0.042740388183342894,0.5561864007202378,False
0,4,0.3617246196787698,0.7445728917385035,False
0,5,0.4157565964599874,0.8278692006779882,True
0,6,0.22890850922307854,0.7073254799955639,False
0,7,-0.6680353668742476,0.7218180863819539,False
1,0,0.2587531035699065,0.8606225571109449,False
1,1,0.08730500924392112,0.7674649673876045,False
1,2,-0.45753582097389667,0.6915748747902755,False
1,3,-0.49865558201754107,0.49530721857561333,False
1,4,-0.008969032286165107,0.7579665232515456,False
1,5,0.033586980235141325,0.7860370833692003,False
1,6,-0.13255483945271762,0.7645921965016025,False
1,7,0.7386111633788821,0.948099043983539,True
2,0,-0.3837755939999548,0.5566835564156577,False
2,1,-0.22576829275332458,0.4802807821891294,False
2,2,0.5947595345673253,0.8299975194727653,False
2,3,0.9393482039167644,0.9578525661936448,True
2,4,-0.5171117189316945,0.30451235104256,False
2,5,-0.3207388378453054,0.46993777556337196,False
2,6,-0.38281949525241565,0.38510350332098364,False
2,7,-0.08458012971447695,0.7143948742141057,False
3,0,-0.41478395034631477,0.7524722010772615,False
3,1,0.29015671486486755,0.7869057495327807,False
3,2,-0.12601664363460768,0.6781876067045596,False
3,3,-0.0745504635239746,0.5495052013831556,False
3,4,0.5432568697043114,0.8147860684017338,True
3,5,0.005752942859023554,0.7314079887071951,False
3,6,0.08198530580860847,0.6963083322148639,False
3,7,-0.3030980115207792,0.8612113227184224,False
4,0,0.09994517054710503,0.7722300730529493,False
4,1,0.8595155844673055,0.9423823318438892,True
4,2,-0.3200905858215315,0.5634393572767906,False
4,3,-0.10281631469512083,0.5010649017703983,False
4,4,0.10158540616013147,0.6600042708024498,False
4,5,-0.1007193148965782,0.6407244516834822,False
4,6,-0.4022584744996779,0.5021643562559374,False
4,7,-0.17633304231674019,0.7425389782163876,False
5,0,0.12995119093382423,0.8284913701821983,False
5,1,-0.37464699414491603,0.6368493719806554,False
5,2,-0.08638872875984177,0.7648579493907661,True
5,3,-0.28968986240695543,0.5474882689254823,False
5,4,-0.1663941837344063,0.6892589318429783,False
5,5,0.03714694461145354,0.768920640153903,False
5,6,0.18534278739760804,0.8183497660711982,False
5,7,0.6081444860435382,0.9259406348273771,False
6,0,0.04816836838023151,0.7159570212412746,False
6,1,-0.2719779776891118,0.4456837097332159,False
6,2,-0.03278984920671624,0.5450745128109906,False
6,3,-0.4879382405454847,0.1659730557437145,False
6,4,0.4086686874010544,0.7110422715653776,False
6,5,0.4960833702152793,0.8002711245141012,False
6,6,0.7921493316905519,0.9033743852368897,True
6,7,-0.533969873681499,0.6007534166587987,False
7,0,0.4750113795752515,0.8801785254782781,True
7,1,-0.24793121002895063,0.6307999291937676,False
7,2,0.2257396584449642,0.8086263369187557,False
7,3,0.32283116390551747,0.7166178118592897,False
7,4,-0.4632821177825649,0.5558709427770251,False
7,5,-0.516609184396767,0.5956174795804849,False
7,6,-0.3167062927956815,0.6339733867438135,False
7,7,0.3715435841222192,0.878952877085067,False
